"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",567323.571124547,19.9866841165584,567266.594847175,567309.980110542,567323.36284363,567337.24956595,567379.809039409
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2973.36384659133,0.890102903380191,2970.05584644463,2972.76569622029,2973.33478035146,2973.96107150102,2975.94593310737
"Num Offtake","Juvenile Male",17146.2132890171,5.02051485983934,17132.3864426716,17142.7506945836,17146.1699620991,17149.5598526264,17159.431815904
"Num Offtake","Juvenile Combined",20119.5771356085,5.10683157171343,20105.2878031602,20116.0132795717,20119.6385199969,20122.9488075434,20134.1020736749
"Num Offtake","Adult Female",7072.37552363681,0.139056439876299,7071.88202407507,7072.28269218086,7072.36809982018,7072.47138956668,7072.79442211371
"Num Offtake","Adult Male",540131.618465302,15.095213974663,540088.016133528,540121.321794934,540131.439821435,540142.0393744,540173.067688139
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-404441.859770337,773.269652575605,-407046.884655857,-404941.75049652,-404435.437350669,-403922.946556106,-401939.004664451
"Cml Pop Growth","Neonatal Female",-19113.8880228471,338.540815426854,-20163.4121100632,-19337.8903343833,-19109.314654489,-18890.881215696,-18139.8488065086
"Cml Pop Growth","Neonatal Male",-12515.8803854807,317.480807919015,-13708.0870240631,-12742.8183941022,-12523.2151446748,-12292.3987447484,-11387.291435329
"Cml Pop Growth","Neonatal Combined",-31629.7684083278,485.527823465608,-33125.3843278537,-31956.3574130849,-31628.4599809479,-31337.6669855942,-30075.6921335377
"Cml Pop Growth","Juvenile Female",-28480.4007053147,250.412850440534,-29313.9741028805,-28651.7982625655,-28478.4554138738,-28302.4698800768,-27616.2722113521
"Cml Pop Growth","Juvenile Male",-38506.9261844286,225.051438116264,-39247.8980258481,-38647.6590016016,-38513.8251062973,-38360.4004678066,-37784.0430368239
"Cml Pop Growth","Juvenile Combined",-66987.3268897433,343.546354568219,-67989.969948538,-67222.0669688182,-66991.9938307987,-66758.8555330381,-65835.2928990151
"Cml Pop Growth","Adult Female",30185.2672190228,60.1978073937839,29961.6949829678,30145.1360611583,30183.4631340746,30225.6317234532,30358.9103475017
"Cml Pop Growth","Adult Male",-336010.031691288,45.4867881190807,-336141.288103873,-336041.169980732,-336010.489639023,-335980.250255176,-335885.627042856
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",162881.71135421,780.322207784705,160251.604134327,162381.304934046,162888.837920485,163409.8584211,165433.272389473
"Total Number Increase","Neonatal Female",-19113.8880228471,338.540815426854,-20163.4121100632,-19337.8903343833,-19109.314654489,-18890.881215696,-18139.8488065086
"Total Number Increase","Neonatal Male",-12515.8803854807,317.480807919015,-13708.0870240631,-12742.8183941022,-12523.2151446748,-12292.3987447484,-11387.291435329
"Total Number Increase","Neonatal Combined",-31629.7684083278,485.527823465608,-33125.3843278537,-31956.3574130849,-31628.4599809479,-31337.6669855942,-30075.6921335377
"Total Number Increase","Juvenile Female",-25507.0368587234,251.14005279592,-26342.9110860895,-25679.3607674296,-25504.8646871492,-25328.3431972193,-24641.2017891003
"Total Number Increase","Juvenile Male",-21360.7128954115,229.167187287212,-22115.5115831765,-21503.8476005871,-21369.87501048,-21211.1867485449,-20624.7612306577
"Total Number Increase","Juvenile Combined",-46867.7497541348,346.850604102333,-47880.5523046886,-47101.0814606752,-46872.3650733411,-46635.4678199686,-45703.0236287562
"Total Number Increase","Adult Female",37257.6427426596,60.3286129470631,37033.5770070429,37217.4780620145,37255.8097959123,37298.0796475953,37431.7047696155
"Total Number Increase","Adult Male",204121.586774013,59.7680340457014,203956.981460377,204080.365411709,204121.07097737,204161.426816981,204278.950189333
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",237879.294774837,750.72754336323,235401.491199987,237347.405326897,237871.032521408,238386.646394144,240312.751968489
"Total Mortality","Neonatal Female",30112.0487948834,493.822159257224,28600.8975017376,29788.2388261047,30096.8226315496,30439.6781257751,31722.1810156706
"Total Mortality","Neonatal Male",29343.9631107189,456.150299763735,27901.9257512113,29055.4126668451,29354.4366412528,29653.3209430659,31169.120296335
"Total Mortality","Neonatal Combined",59456.0119056023,693.535764666376,57277.1574871257,58984.038039219,59458.0318856611,59903.217076193,61681.2199475159
"Total Mortality","Juvenile Female",44603.720606811,222.599496653595,43853.0213705497,44455.0350858287,44602.7079397648,44751.9720438787,45327.773148262
"Total Mortality","Juvenile Male",42889.0198156646,217.034686685646,42162.2047455299,42747.5299315321,42883.0651804448,43031.2700622352,43515.6707054946
"Total Mortality","Juvenile Combined",87492.7404224756,309.432874294548,86481.0796436595,87286.7279018258,87496.1823630525,87709.27141311,88330.9797413485
"Total Mortality","Adult Female",90930.542446759,1.78786851269522,90924.1974523937,90929.3488994682,90930.4469976881,90931.7750087145,90935.9282843192
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2872493581.1659,7328514.28756111,2850681699.1139,2867302223.22758,2872780212.82523,2877688532.82832,2898557851.76573
"Value of Total Mortality","Neonatal Female",207261455.469369,3398981.58932547,196860189.896731,205032669.04963,207156653.674072,209516530.586895,218344007.502002
"Value of Total Mortality","Neonatal Male",332471652.558342,5168253.63381247,316133145.651236,329202331.282304,332590319.283473,335976724.772488,353150966.507549
"Value of Total Mortality","Neonatal Combined",539733108.027711,6366322.27657238,521475636.895858,535503347.525548,539658935.236746,544006342.774198,563165974.99162
"Value of Total Mortality","Juvenile Female",412582034.229028,2059033.45950189,405638106.373297,411206701.098233,412572667.112917,413953352.106789,419279481.580426
"Value of Total Mortality","Juvenile Male",652541776.06699,3302108.57060128,641483533.216573,650389055.844327,652451178.327549,654706064.944239,662076055.152433
"Value of Total Mortality","Juvenile Combined",1065123810.29602,3875054.82973442,1052094345.6056,1062501921.56501,1065161399.9815,1067741383.94135,1076386691.38429
"Value of Total Mortality","Adult Female",1267636662.84218,24924.163147499,1267548209.09202,1267620023.94105,1267635332.214,1267653845.63557,1267711745.26187
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",270554111.067959,82758238.4374758,68011606.6054725,206591346.057802,271348227.95536,334750418.291489,462122398.568461
"Population Liveweight (kg)","Neonatal Female",11557272.9047356,6453579.74856277,222944.999332135,6262570.13464266,11395273.3349604,17231120.9172202,22408504.5677281
"Population Liveweight (kg)","Neonatal Male",10948246.1262327,6339177.03017927,220556.157009821,5308113.92388683,10810698.9318606,16331482.3057722,22153307.6196379
"Population Liveweight (kg)","Juvenile Female",36688411.5300671,21509617.0915488,408799.293439603,17994472.112821,36439581.2510474,54825129.6513093,73713844.4851123
