"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",559297.092207018,24440.8457506107,504522.599163848,540048.143446949,558832.432730681,574449.694603986,615045.531625966
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",5643.65529106674,956.812722988974,3451.41183178607,4943.26541614004,5648.28487241838,6262.82391420437,7798.38042099817
"Num Offtake","Juvenile Male",33388.7860703053,5714.25311129631,20298.2170867829,29191.2485497297,33423.9850854645,37100.8269836481,46258.4489035124
"Num Offtake","Juvenile Combined",39032.441361372,6671.06184021224,23749.628918569,34134.5139658697,39072.2699578829,43364.6327572074,54056.8293245106
"Num Offtake","Adult Female",4840.71953360383,115.073211612414,4588.78144077301,4751.56452813507,4843.80124851213,4915.6778678428,5102.48197993774
"Num Offtake","Adult Male",515423.931312042,17775.7234568762,476184.188804506,501692.256094105,515801.398835085,526817.857010348,555886.220321518
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",18791901.043869,3568430.32258871,10974252.4454411,16386171.8775449,18293074.4872367,21383250.0530259,26888942.738093
"Cml Pop Growth","Neonatal Female",6457249.77225362,1328062.00610866,3562163.37572711,5540309.06736476,6284211.01959366,7390867.69675791,9651458.50341632
"Cml Pop Growth","Neonatal Male",6464362.41435182,1328355.29394202,3580581.74350442,5556172.2363847,6292605.04434008,7393021.88255768,9665343.14120338
"Cml Pop Growth","Neonatal Combined",12921612.1866054,2656399.69309213,7142745.11923152,11096567.5931792,12574153.787222,14783889.5793156,19316801.6446197
"Cml Pop Growth","Juvenile Female",2704685.18593585,542050.208921041,1604638.58811283,2316889.01817088,2675133.74245992,3105559.7284764,3977282.21588742
"Cml Pop Growth","Juvenile Male",2682120.36439851,538433.814588523,1592882.09947537,2296244.01984056,2650165.30318649,3080386.14311334,3948005.87812316
"Cml Pop Growth","Juvenile Combined",5386805.55033437,1080479.76144554,3197520.6875882,4613133.03801144,5325299.0456464,6185945.87158975,7925288.09401058
"Cml Pop Growth","Adult Female",443642.878892572,103722.705026075,205840.093841233,366866.913056,443493.651467582,511929.133381789,676807.518165549
"Cml Pop Growth","Adult Male",39840.4280366095,87999.0580460845,-162026.289812371,-24772.9624300966,36459.5949445385,96650.4041066026,237771.889669858
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",19351198.136076,3583515.49868895,11516098.1511452,16939000.1700429,18855571.1106974,21975378.0655932,27480634.621958
"Total Number Increase","Neonatal Female",6457249.77225362,1328062.00610866,3562163.37572711,5540309.06736476,6284211.01959366,7390867.69675791,9651458.50341632
"Total Number Increase","Neonatal Male",6464362.41435182,1328355.29394202,3580581.74350442,5556172.2363847,6292605.04434008,7393021.88255768,9665343.14120338
"Total Number Increase","Neonatal Combined",12921612.1866054,2656399.69309213,7142745.11923152,11096567.5931792,12574153.787222,14783889.5793156,19316801.6446197
"Total Number Increase","Juvenile Female",2710328.84122692,542932.454958213,1608089.99994462,2322151.76619945,2681342.41756799,3111853.57410438,3985028.34841495
"Total Number Increase","Juvenile Male",2715509.15046882,543702.799040271,1613180.31656215,2327336.84243059,2686916.78197892,3117654.54528695,3993988.3818849
"Total Number Increase","Juvenile Combined",5425837.99169574,1086632.25498798,3221270.31650677,4649488.60863004,5368259.19954692,6229508.11939133,7979016.73029986
"Total Number Increase","Adult Female",448483.598426175,103834.188251116,210428.875282006,371618.477584135,448351.10495101,516813.099029501,681910.000145487
"Total Number Increase","Adult Male",555264.359348651,105219.064944151,314157.898992135,477505.294184279,555560.923792942,624187.244048533,792031.183544613
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1342301.09891981,222345.953349887,862523.374619849,1171716.64435753,1314479.9162301,1505863.34620028,1868052.96268819
"Total Mortality","Neonatal Female",452528.727425963,88015.3742544668,276039.467276397,387803.592077822,451667.534628309,511830.09149929,665243.156890181
"Total Mortality","Neonatal Male",450939.174834954,87043.4089683474,261250.750918539,389275.008249465,442909.355880372,518238.327715287,654050.993421999
"Total Mortality","Neonatal Combined",903467.902260917,174664.459756609,537290.218194937,775531.356203525,895448.592368593,1024253.36958188,1319294.15031218
"Total Mortality","Juvenile Female",133993.59840453,22690.4414931155,82796.9692063064,116983.229872289,133562.392377042,148991.852654069,184751.653343717
"Total Mortality","Juvenile Male",132208.620137387,22649.3805211461,80574.3244909624,115070.696470718,132628.1086611,146310.023821132,183468.230724337
"Total Mortality","Juvenile Combined",266202.218541916,45328.3008924331,163371.293697269,232575.259167204,266264.445531455,295522.261752523,367602.427188862
"Total Mortality","Adult Female",98543.219076935,2342.56180782414,93414.4793300219,96728.2778941782,98605.9539875684,100069.156595371,103871.95459159
"Total Mortality","Adult Male",74087.759040039,2555.10742949595,68447.3833976216,72113.9487783136,74142.0167513981,75725.537905889,79903.8652319101
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1495017853.7707,396832163.35298,584161149.581816,1208149493.97721,1503609075.86725,1734744823.6081,2425971146.80352
"Population Liveweight (kg)","Neonatal Female",347031150.913698,192480643.872418,5105211.56912747,212724783.792656,348513122.422045,494492339.854436,841635520.329955
"Population Liveweight (kg)","Neonatal Male",315880185.045208,208882630.991702,5687950.82732558,146721199.318173,282641396.954819,466234363.507523,835077186.482095
"Population Liveweight (kg)","Juvenile Female",270951439.517426,178326952.697342,8102427.68072931,116603976.243533,244509416.788246,423434022.013642,668470718.451668
"Population Liveweight (kg)","Juvenile Male",278707294.341958,161283849.147933,4240566.18320451,155571222.251934,256325289.528915,390775355.048042,763237484.36112
"Population Liveweight (kg)","Juvenile Combined",549658733.859383,249610330.52094,114282237.310545,369414978.711269,536567024.38425,728764240.498805,1285603474.49169
"Population Liveweight (kg)","Adult Female",184817890.595913,96577258.0276777,20008724.9502685,97229678.8597524,186382995.779217,261842790.871564,366553054.158985
"Population Liveweight (kg)","Adult Male",97629893.3564975,62386403.6723121,2416564.93197039,42198864.5412347,97858563.9462151,149999580.532601,226898186.016663
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",60208465.5269429,35823150.6859214,7485520.38710242,30284103.6360759,55413172.0982356,84431892.2610277,133075979.74167
"Offtake Liveweight (kg)","Juvenile Female",489520.057374238,336401.801102548,10005.1908067551,191989.133130199,410131.811239638,754115.483372804,1293604.13209803
"Offtake Liveweight (kg)","Juvenile Male",3030345.92471239,1794538.85933387,42121.6635772909,1713325.87533905,2854795.57443953,4211746.32010524,7587113.12068716
"Offtake Liveweight (kg)","Adult Female",584142.449251115,310763.200739873,5080.96329971423,352233.170106351,573619.674731125,811349.965247874,1161248.82045241
"Offtake Liveweight (kg)","Adult Male",56104457.0956051,35797954.0865411,3012657.8007141,24580342.06096,53017058.6418879,80486719.3009988,125788350.209068
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",198603067.461177,37988323.0584636,113943833.880104,174332448.785392,194919857.314626,224420905.778559,276429612.961167
"Manure","Overall",4348366955.66066,590056833.058127,3087412674.04803,3893127186.74324,4319532477.5088,4770387212.0405,5566268674.52445
"Manure","Neonatal Female",945794145.455458,178695795.12609,558601421.064582,822891328.211807,924545749.064899,1059596006.98914,1370947984.7967
"Manure","Neonatal Male",940038700.161628,171055821.335997,604127716.994928,818602518.425456,933838505.820822,1049283482.98688,1314338193.12665
"Manure","Neonatal Combined",1885832845.61709,347521233.018005,1187823214.07173,1658132557.23985,1856183773.32714,2109696553.85071,2685286177.92335
"Manure","Juvenile Female",623445203.234029,109013982.197582,372811451.425889,545767399.669861,612075204.563532,704083704.507509,862832828.356702
"Manure","Juvenile Male",616306859.714196,111740441.143598,364465806.129979,537882719.321442,620843796.904774,691459456.603633,858910661.979167
"Manure","Juvenile Combined",1239752062.94823,217351553.797401,737277257.555868,1092481930.49196,1244470019.03127,1382119539.50203,1721743490.33587
