"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",47622.2500508866,493.973949383896,46782.0591741439,47248.5796838161,47533.73101052,47916.1061131253,49137.6456675451
"Num Offtake","Neonatal Female",3294.47912909298,62.4078685547601,3187.77368865639,3248.68104147897,3283.76780746162,3329.21954201415,3487.42946051591
"Num Offtake","Neonatal Male",12192.3551606036,370.733882204695,11559.4151534667,11930.6991648517,12132.1585642757,12398.8597666363,13346.4047250598
"Num Offtake","Neonatal Combined",15486.8342896966,433.124278636444,14747.1888421231,15178.8165555896,15415.6196636975,15728.2728703883,16833.8341855757
"Num Offtake","Juvenile Female",10627.1451220927,52.7419494359249,10542.1997628433,10591.9188750699,10619.4583328024,10657.990253087,10767.5851890188
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",10627.1451220927,52.7419494359249,10542.1997628433,10591.9188750699,10619.4583328024,10657.990253087,10767.5851890188
"Num Offtake","Adult Female",20097.6431529823,5.64066316200935,20088.9869269,20093.5829165167,20096.7679737686,20100.1769279593,20113.3357324481
"Num Offtake","Adult Male",1410.62748611504,6.74576149349144,1400.27621597459,1405.7709111205,1409.57918966527,1413.65915536417,1429.39612830643
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",79731.1644053792,5107.03334575589,70518.3886560446,76163.4541610261,79074.9687154493,82244.3670817735,93141.4062006685
"Cml Pop Growth","Neonatal Female",11861.4891293425,1819.95524505584,8790.02596151889,10596.6295592452,11721.7409082206,12737.8486390842,17429.37895088
"Cml Pop Growth","Neonatal Male",32070.7103791167,1665.57692802748,29100.0261610599,30888.0544755507,31995.5868734717,32885.9208289081,37444.7746352101
"Cml Pop Growth","Neonatal Combined",43932.1995084592,3482.69958363789,37890.0521225788,41521.9435867212,43758.0509058182,45637.9510156629,54874.1535860901
"Cml Pop Growth","Juvenile Female",10559.3038906758,905.560707472181,9000.50077171628,9939.44539499982,10450.0479866458,11062.0136131847,13415.4485668578
"Cml Pop Growth","Juvenile Male",25330.8563389744,870.595760045273,23828.8144585504,24735.4870985922,25240.08913327,25812.2370259623,28082.9349452434
"Cml Pop Growth","Juvenile Combined",35890.1602296502,1776.12268016169,32829.3152302666,34672.9924014244,35690.1371199158,36874.250639147,41498.3835121011
"Cml Pop Growth","Adult Female",-6598.57789798192,157.681066648481,-6856.04837803027,-6705.15183961225,-6622.84705636222,-6503.13617474284,-6174.89224757729
"Cml Pop Growth","Adult Male",6507.38256525167,157.46891609259,6250.56471579483,6400.95173945518,6483.19716374059,6602.54208682713,6930.2893132941
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",127353.414456266,5529.85052663135,117311.136268402,123490.391544423,126795.562952709,130008.478592263,142279.051868214
"Total Number Increase","Neonatal Female",15155.9682584355,1863.13554975292,12002.1279452849,13887.2561632168,15010.5155019719,16071.8731045104,20772.8774513479
"Total Number Increase","Neonatal Male",44263.0655397203,1922.88134485358,40967.0253926426,42932.9112486955,44053.5926152797,45224.7444445421,49936.0501452114
"Total Number Increase","Neonatal Combined",59419.0337981559,3784.95620523287,52969.1533379275,56871.0911362106,59064.1081172516,61296.2973730026,70708.9275965593
"Total Number Increase","Juvenile Female",21186.4490127685,954.250672472,19550.2400270597,20532.1496420808,21046.7570379046,21718.1356927754,24183.0337558766
"Total Number Increase","Juvenile Male",25330.8563389744,870.595760045273,23828.8144585504,24735.4870985922,25240.08913327,25812.2370259623,28082.9349452434
"Total Number Increase","Juvenile Combined",46517.3053517429,1824.58339769603,43379.0544856101,45273.4399882767,46286.8461711745,47532.4412396908,52265.96870112
"Total Number Increase","Adult Female",13499.0652550004,163.166401860265,13234.4899385082,13389.6165392242,13474.6334723768,13596.1218479484,13935.4822753463
"Total Number Increase","Adult Male",7918.01005136672,164.031729485616,7652.69696843379,7808.22956365814,7893.62958097621,8015.10024372467,8356.14108332102
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",18902.0584898873,346.748253643602,18310.2214316776,18637.3303192548,18839.0527975744,19109.7340599288,19964.3929865593
"Total Mortality","Neonatal Female",8326.04725352589,157.721704165666,8056.37350405888,8210.30299573775,8298.97682249392,8413.84575163576,8813.68536384931
"Total Mortality","Neonatal Male",4773.90807696875,145.16059049705,4526.08086290668,4671.45685609688,4750.33814206852,4854.76481003505,5225.77537122059
"Total Mortality","Neonatal Combined",13099.9553304946,302.857568918906,12582.4543669656,12880.3353526889,13049.1948732454,13269.099744972,14039.4607350699
"Total Mortality","Juvenile Female",4706.30712549819,23.3571490359097,4668.68846640205,4690.70693038808,4702.90297595533,4719.96711208137,4768.50201227977
"Total Mortality","Juvenile Male",1095.7960338945,22.7008197055988,1059.07859831004,1080.60319854198,1092.42195093867,1109.23262301547,1156.43023920961
"Total Mortality","Juvenile Combined",5802.10315939269,46.0578115665891,5727.76706471208,5771.37756115589,5795.32492689401,5829.19973509684,5924.93225148937
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",240628197.971038,3971478.55817834,233860892.446058,237584998.485459,239878204.147822,243015908.727015,252683313.278451
"Value of Total Mortality","Neonatal Female",92552341.2701938,1753234.46350555,89554647.8711185,91265728.1006209,92251426.3588424,93528309.3751831,97972926.5045489
"Value of Total Mortality","Neonatal Male",45738813.2854376,1390783.61755223,43364380.7475089,44757228.1382642,45512989.7391585,46513501.6449458,50068153.8316645
"Value of Total Mortality","Neonatal Combined",138291154.555631,3143764.39453847,132919028.618627,136007121.506381,137763265.503093,140047248.781705,148041080.336213
"Value of Total Mortality","Juvenile Female",79715430.0916884,395623.390370238,79078245.2439178,79451193.9869133,79657770.6067314,79946802.9444342,80768887.0839947
"Value of Total Mortality","Juvenile Male",22621613.3237181,468635.722002381,21863618.5835124,22307972.4307005,22551958.755178,22898998.2695313,23873345.8582431
"Value of Total Mortality","Juvenile Combined",102337043.415406,864256.183503038,100941863.82743,101760428.26991,102209729.361909,102845801.213966,104642232.942238
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",104416781.565184,12188313.6009207,67717424.2495009,96955935.0033827,103765484.501197,111237560.006866,132420768.578716
"Population Liveweight (kg)","Neonatal Female",4470698.72818576,2852828.96138487,63755.759021808,2163104.09660741,4145949.91030073,6703299.36414558,10175855.9748597
"Population Liveweight (kg)","Neonatal Male",3597167.88943431,2056354.1957697,47449.6221144717,1837837.12537178,3726000.54615638,5598934.30959717,7129485.59829338
"Population Liveweight (kg)","Juvenile Female",16151878.7796989,8650403.1978998,974529.514758984,8566131.10039887,16675123.5623006,23625325.7591848,30374529.6358032
"Population Liveweight (kg)","Juvenile Male",6283252.70505666,3275363.50155009,32712.8719344794,3745366.66656319,6572770.86190781,8595859.42208756,12191281.6842146
"Population Liveweight (kg)","Juvenile Combined",22435131.4847556,9350114.54108292,5034567.08130824,14607576.2585602,22669755.2435581,29089250.7762266,40402031.6636544
"Population Liveweight (kg)","Adult Female",70724577.7048407,8853764.82849341,43164900.0974722,65581747.8015538,71524736.8699545,77696361.9735073,83958060.8439018
"Population Liveweight (kg)","Adult Male",3189205.75796786,1942085.96695358,37777.9714194978,1508510.30281433,3242594.99091185,4663297.66502914,6982609.28733448
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",12649001.4850391,1493904.4792568,8317501.85636043,11662291.6368573,12800193.6696973,13784562.8856538,16153720.3385694
