"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79771.4562920881,5.09089350258974,79762.3416665462,79770.5523502643,79771.8499927827,79773.4019646958,79778.7548570851
"Num Offtake","Neonatal Female",5538.02277947361,0.683703798821723,5536.7909291699,5537.90651015588,5538.07344607034,5538.29423914925,5538.99029022364
"Num Offtake","Neonatal Male",16936.9971585326,3.6712144725982,16930.1822668269,16936.3683756894,16937.4075911361,16938.626378413,16941.7854679711
"Num Offtake","Neonatal Combined",22475.0199380062,4.35364754014707,22466.9731959968,22474.275129176,22475.4974992012,22476.9121432341,22480.7757581947
"Num Offtake","Juvenile Female",19524.1033490788,0.66960451839272,19523.1837879437,19523.8659332504,19524.0400784484,19524.3627610988,19525.3710595779
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19524.1033490788,0.66960451839272,19523.1837879437,19523.8659332504,19524.0400784484,19524.3627610988,19525.3710595779
"Num Offtake","Adult Female",36218.3043529378,0.0806026554211633,36218.2031219964,36218.2611894571,36218.2818696675,36218.3517347211,36218.4663872952
"Num Offtake","Adult Male",1554.02865206523,0.0562195860579034,1553.95814420681,1553.99848651583,1554.01282935693,1554.06183915656,1554.14165201724
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-13312.5669599346,34.2382078562977,-13362.3237711237,-13341.2301440353,-13308.2638837384,-13283.3246243499,-13269.9823681299
"Cml Pop Growth","Neonatal Female",-6618.5740225594,14.1905870028776,-6635.70332946639,-6632.43848215098,-6616.98933268849,-6607.71079314774,-6597.20701750425
"Cml Pop Growth","Neonatal Male",12155.3999663709,12.8834525554235,12139.6188611652,12143.3709192228,12155.9612363003,12164.8851958234,12176.2142303226
"Cml Pop Growth","Neonatal Combined",5536.82594381148,27.0398576086111,5504.50238347516,5510.85836352266,5539.31676433709,5557.29828703976,5579.0072128183
