"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80325.0027168372,7.57770447181553,80296.1353290776,80320.1150919552,80324.8200325858,80330.166334309,80349.9148926547
"Num Offtake","Neonatal Female",5541.70517124177,1.02333810640808,5537.80235387716,5541.04551868932,5541.68280784905,5542.40134427203,5545.07503693179
"Num Offtake","Neonatal Male",16958.8213113988,5.6256758869097,16937.3246812643,16955.2701533643,16958.7484081052,16962.5736025249,16977.3845885159
"Num Offtake","Neonatal Combined",22500.5264826406,6.64808180563744,22475.1270351415,22496.3347472993,22500.4619040441,22504.9999286474,22522.4596254477
"Num Offtake","Juvenile Female",19926.7253571486,0.842783109997452,19923.7259224193,19926.1897494497,19926.7149640857,19927.2981731544,19929.306158776
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19926.7253571486,0.842783109997452,19923.7259224193,19926.1897494497,19926.7149640857,19927.2981731544,19929.306158776
"Num Offtake","Adult Female",36330.1334843901,0.0873105579777108,36329.8291541153,36330.0737332394,36330.135657462,36330.1938221287,36330.3803645275
"Num Offtake","Adult Male",1567.61739265796,0.0608012274645533,1567.40546208962,1567.5756260223,1567.61887458371,1567.65930876569,1567.78941323777
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8368.6480096438,39.1416083514232,-8496.27452632552,-8396.55310918922,-8369.64350136073,-8341.89963155387,-8242.05007841979
"Cml Pop Growth","Neonatal Female",-6482.67382513882,14.3400972524039,-6522.24284376318,-6492.38470655091,-6482.9192768598,-6472.94842096143,-6436.15846589327
"Cml Pop Growth","Neonatal Male",12276.2770363219,12.0444871541353,12239.3922296008,12267.9196522085,12276.3446708543,12284.2534685251,12314.4580270078
"Cml Pop Growth","Neonatal Combined",5793.60321118312,26.3032830323669,5717.14938583758,5775.43999264841,5793.74710018013,5811.13138281396,5878.29956111449
