"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",49772.1579501123,5.62311719280818,49754.8931726795,49768.8269676114,49771.2234069509,49775.7898141085,49784.9072303233
"Num Offtake","Neonatal Female",3422.15488954395,0.721317568590369,3419.96347077933,3421.73758878176,3422.03395175701,3422.62462205608,3423.80571521322
"Num Offtake","Neonatal Male",11248.8361019954,4.23607986206438,11236.1796925007,11246.302482978,11248.0975881961,11251.6311737076,11258.6549042619
"Num Offtake","Neonatal Combined",14670.9909915394,4.95714313394989,14656.14316328,14668.0636318518,14670.1300184818,14674.2524789932,14682.4606194751
"Num Offtake","Juvenile Female",11769.7566720769,0.584849824287459,11767.7659343372,11769.3784011244,11769.7045898513,11770.204966673,11770.9215000738
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",11769.7566720769,0.584849824287459,11767.7659343372,11769.3784011244,11769.7045898513,11770.204966673,11770.9215000738
"Num Offtake","Adult Female",21911.9555258377,0.0609177998476061,21911.7508394869,21911.9182946792,21911.9477566217,21911.9959680859,21912.0905386177
"Num Offtake","Adult Male",1419.45476065832,0.0659854866618836,1419.23323557534,1419.41426077591,1419.44641153753,1419.49851885191,1419.60108369441
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",31536.553108327,50.996855843132,31404.0818709583,31501.4130637717,31536.4940433697,31578.0716112948,31680.8936637759
"Cml Pop Growth","Neonatal Female",1707.68386104664,18.222546200709,1665.94259805944,1695.51343355542,1708.02266558654,1720.64253574793,1758.79851788142
"Cml Pop Growth","Neonatal Male",20598.3714145906,16.3550640203625,20563.9610822856,20587.3173927132,20599.0808255727,20608.6692612754,20643.3799572835
"Cml Pop Growth","Neonatal Combined",22306.0552756373,34.5369227462669,22229.9036803451,22283.1019186072,22307.5769888973,22329.3643551819,22402.1784751649
"Cml Pop Growth","Juvenile Female",4274.78542801688,9.13430068122223,4248.40746728628,4268.89914158946,4273.20389184578,4281.66373315349,4296.40520671221
"Cml Pop Growth","Juvenile Male",19505.6658156461,8.71759864217529,19480.7516929807,19500.0017960859,19504.1218873264,19512.4376254721,19526.4114925397
"Cml Pop Growth","Juvenile Combined",23780.451243663,17.8514181947592,23729.1591602669,23768.8671368153,23777.3503175757,23794.1013586256,23822.8166992519
"Cml Pop Growth","Adult Female",-20374.475248222,1.5352494294125,-20379.6922032614,-20375.4898891394,-20374.6030897798,-20373.3002308509,-20371.4604038142
"Cml Pop Growth","Adult Male",5824.52183724866,1.56322917478882,5819.20815867101,5823.49287945543,5824.3902131417,5825.72318248895,5827.60321207369
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",81308.7110584392,55.8491382072627,81161.5906033978,81269.1110552599,81307.8771198946,81358.510001244,81465.8008940991
"Total Number Increase","Neonatal Female",5129.83875059059,18.7323581635537,5086.18661375729,5117.34150101089,5129.97393555928,5142.79345270909,5182.60423309464
