"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",40465.2324674907,4.21459295216639,40451.2084543014,40462.2855319205,40465.0512975419,40468.3211386288,40478.1255702001
"Num Offtake","Neonatal Female",2653.48229734859,0.529642156156093,2651.71094378084,2653.12518609445,2653.46018555318,2653.87581007705,2655.11311278881
"Num Offtake","Neonatal Male",8971.26449933896,3.16449993532177,8960.63942732375,8969.14955931622,8971.15060351549,8973.63836349377,8981.0542891205
"Num Offtake","Neonatal Combined",11624.7467966876,3.69404983277572,11612.3503711046,11622.2747454107,11624.617527377,11627.5201510076,11636.1674019093
"Num Offtake","Juvenile Female",9613.80386933842,0.444619483507186,9612.45447847684,9613.49427878661,9613.85270420969,9614.13184529934,9615.02945188705
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",9613.80386933842,0.444619483507186,9612.45447847684,9613.49427878661,9613.85270420969,9614.13184529934,9615.02945188705
"Num Offtake","Adult Female",17867.227606697,0.0446853021312049,17867.1065180186,17867.198063067,17867.2293132206,17867.2594418648,17867.3351103159
"Num Offtake","Adult Male",1359.45419476768,0.0580740156059654,1359.29708670139,1359.41576030178,1359.45628699518,1359.49559978486,1359.59360608788
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",30554.1099860248,44.0755017123111,30415.8500314945,30526.4179106333,30551.4141905105,30578.2478752809,30702.774395357
"Cml Pop Growth","Neonatal Female",-2040.06313340423,15.1137716857705,-2080.12224398545,-2050.8506169186,-2040.90887524159,-2031.68341591412,-1992.51428359454
"Cml Pop Growth","Neonatal Male",19990.1130704279,13.8190409368446,19956.0984841609,19979.4951894659,19989.3818037694,19998.4002670461,20032.0624804592
"Cml Pop Growth","Neonatal Combined",17950.0499370237,28.9075109323106,17875.9762401754,17928.6855197106,17947.8060036154,17966.9112469636,18039.5481968646
"Cml Pop Growth","Juvenile Female",5306.70650244495,8.3632791586768,5278.40733669033,5301.37545760434,5306.27860882067,5312.86827010592,5332.84223761316
"Cml Pop Growth","Juvenile Male",19470.060941336,8.05948903097937,19442.7541535242,19465.0612144253,19469.6167155304,19476.0098966812,19495.286479213
"Cml Pop Growth","Juvenile Combined",24776.7674437809,16.4225743639602,24721.1614902145,24766.4339610895,24775.8953243511,24788.8781667871,24828.1287168261
"Cml Pop Growth","Adult Female",-17743.7241368184,1.39031966651022,-17747.9764056055,-17744.6732874947,-17743.5581399163,-17742.6982093569,-17739.8550269105
"Cml Pop Growth","Adult Male",5571.01674203848,1.41839096558589,5566.68870671002,5570.04040972321,5571.18540450521,5572.06464616981,5574.95250857668
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",71019.3424535154,47.7430212387559,70867.0584857959,70989.5672717829,71016.4535049401,71045.4336375648,71180.8999655571
"Total Number Increase","Neonatal Female",613.419163944358,15.4834864466615,571.588699795397,602.539799417402,613.036338015774,622.357700942736,662.598829194275
"Total Number Increase","Neonatal Male",28961.3775697669,16.0221575720843,28916.7379114846,28950.2791466811,28961.5905573027,28970.4315301595,29013.1167695797
"Total Number Increase","Neonatal Combined",29574.7967337113,31.4970247637767,29488.32661128,29552.6666357027,29574.8634793468,29592.0580324247,29675.7155987739
"Total Number Increase","Juvenile Female",14920.5103717834,8.78283997254794,14890.8618151672,14914.735307094,14920.1080860834,14926.9928287036,14947.8716895002
"Total Number Increase","Juvenile Male",19470.060941336,8.05948903097937,19442.7541535242,19465.0612144253,19469.6167155304,19476.0098966812,19495.286479213
"Total Number Increase","Juvenile Combined",34390.5713131193,16.8408222288293,34333.6159686913,34379.7399759062,34389.7248016139,34403.0027253848,34443.1581687132
"Total Number Increase","Adult Female",123.503469878645,1.43398203377641,119.130112413095,122.514855555081,123.673857340826,124.563186758188,127.480083405426
"Total Number Increase","Adult Male",6930.47093680617,1.47518568371955,6925.9857934114,6929.44593823475,6930.64000070535,6931.56075083024,6934.54611466455
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",29517.2554906674,3.22803386416307,29506.5322888104,29514.9554685844,29517.1223624339,29519.602774252,29527.1126647075
"Total Mortality","Neonatal Female",7264.91289592257,1.45009602450605,7260.06314456361,7263.93516859495,7264.85235650696,7265.9902860746,7269.37787092331
"Total Mortality","Neonatal Male",3805.41665500129,1.34231253125036,3800.90972891409,3804.51954311841,3805.3683428527,3806.42359690921,3809.56927240393
"Total Mortality","Neonatal Combined",11070.3295509239,2.79226680990821,11060.9728734777,11068.4547117134,11070.2287729338,11072.4107898492,11078.9471433272
"Total Mortality","Juvenile Female",4612.33685636117,0.213311490301534,4611.68947003115,4612.18832660834,4612.36028547203,4612.49420673289,4612.92484417914
"Total Mortality","Juvenile Male",976.566359277232,0.207867073615046,975.934361798879,976.421927660351,976.590181917571,976.719923980623,977.14058888455
"Total Mortality","Juvenile Combined",5588.9032156384,0.421177620801493,5587.62383183003,5588.61025426869,5588.9504673896,5589.21413071352,5590.06543306369
"Total Mortality","Adult Female",12858.0227241052,0.0321574584981141,12857.9355835027,12858.0014632429,12858.0239521927,12858.0456340563,12858.1000883166
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
