"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",83413.1594916372,8.50159323264275,83388.3753801039,83407.549711913,83413.0766299692,83418.8628641491,83439.152487453
"Num Offtake","Neonatal Female",5879.07608090501,1.15204812036135,5875.71308271107,5878.32030601146,5879.0706813535,5879.84612442518,5882.5913787994
"Num Offtake","Neonatal Male",18008.8852407023,6.33040050259181,17990.1279643006,18004.7126353447,18008.8120754407,18013.0645500407,18028.4587724428
"Num Offtake","Neonatal Combined",23887.9613216073,7.48136133996124,23865.8410470117,23883.070021282,23887.8801483156,23892.8766226613,23911.0384205816
"Num Offtake","Juvenile Female",19931.8769774767,0.917909619957602,19929.0460500206,19931.2829992494,19931.8789663523,19932.4936660458,19934.5958843831
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19931.8769774767,0.917909619957602,19929.0460500206,19931.2829992494,19931.8789663523,19932.4936660458,19934.5958843831
"Num Offtake","Adult Female",37994.6823441997,0.100660649524759,37994.3432962964,37994.6109904344,37994.6858858739,37994.7493763144,37994.9708142122
"Num Offtake","Adult Male",1598.63884835345,0.0689782439015494,1598.40652631487,1598.58994075688,1598.64128571525,1598.68474355865,1598.83653166761
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",15256.1397817711,45.181303213567,15114.9516362246,15226.2354008119,15256.5061513767,15287.6971939652,15418.453148305
"Cml Pop Growth","Neonatal Female",-298.051628073043,16.6203991591996,-347.157161872114,-309.981881605256,-297.794521245905,-286.758047569934,-239.30516999348
"Cml Pop Growth","Neonatal Male",15653.6583025945,13.8173270534834,15615.7930353065,15643.488363212,15654.0629449218,15662.8407438845,15700.6170528197
"Cml Pop Growth","Neonatal Combined",15355.6066745215,30.3447452180305,15268.6358734344,15333.9251381587,15355.7399375167,15376.0072782689,15461.3118828262
"Cml Pop Growth","Juvenile Female",-654.662748819838,8.12497390266189,-678.993270773266,-660.060775267611,-654.767352543,-649.158852572593,-629.199320450076
"Cml Pop Growth","Juvenile Male",17993.3310815542,7.52708379247686,17970.6625568296,17988.3065245406,17993.2525913724,17998.4282067172,18017.0560637785
"Cml Pop Growth","Juvenile Combined",17338.6683327344,15.6510503948424,17291.6692860563,17328.2621930267,17338.5006949792,17349.2669793389,17387.8567433285
"Cml Pop Growth","Adult Female",-23210.7923951578,1.42566940692009,-23215.1333821267,-23211.7226112114,-23210.7934438992,-23209.8299801404,-23206.56706048
"Cml Pop Growth","Adult Male",5772.65716967304,1.42154720319364,5768.32452170249,5771.72877352474,5772.65525214655,5773.61561035285,5776.87141536238
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",98669.2992734082,52.710343800838,98503.3270163285,98634.3120505789,98669.6987649566,98706.8772868297,98857.3941807421
"Total Number Increase","Neonatal Female",5581.02445283197,17.4849165097725,5528.55592083896,5568.380008742,5581.28111281617,5593.23067407929,5643.27447814534
"Total Number Increase","Neonatal Male",33662.5435432968,18.5469150343286,33605.9209996071,33649.6592096604,33662.8017545818,33675.5126652944,33729.0758252625
"Total Number Increase","Neonatal Combined",39243.5679961288,36.0109402767346,39134.4769204461,39218.364671431,39244.5540600174,39268.4984127823,39372.3503034079
"Total Number Increase","Juvenile Female",19277.2142286569,8.98111863661309,19250.583952898,19271.2788586782,19277.1116704444,19283.2193468337,19305.0308296544
"Total Number Increase","Juvenile Male",17993.3310815542,7.52708379247686,17970.6625568296,17988.3065245406,17993.2525913724,17998.4282067172,18017.0560637785
"Total Number Increase","Juvenile Combined",37270.5453102111,16.5005564672912,37221.2465097276,37259.7553058784,37270.3032903095,37281.715199242,37322.0868934329
"Total Number Increase","Adult Female",14783.8899490419,1.52350563693737,14779.2099141697,14782.9017444688,14783.8892790262,14784.9187170228,14788.4037537322
"Total Number Increase","Adult Male",7371.29601802649,1.48858311323112,7366.73104801736,7370.3316134636,7371.2942677056,7372.29662378421,7375.70794702999
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",62119159.4547808,21397822.1628239,11094576.7409086,44967236.0710097,63177893.2569703,79062071.7072913,111390387.096096
"Population Liveweight (kg)","Neonatal Female",3982754.00214067,2261155.46723378,52417.5451557524,1992865.98055045,4142917.10795898,5927860.07103986,7711694.04663525
"Population Liveweight (kg)","Neonatal Male",2163096.45309066,1301226.80178298,30694.0104326546,1013939.54018962,2089823.37924549,3286842.42055658,4517022.20087303
"Population Liveweight (kg)","Juvenile Female",13337480.761273,7693916.16045466,70842.0829286669,6376264.25850677,13603484.0325709,20118794.4317535,26571469.1787814
"Population Liveweight (kg)","Juvenile Male",4834538.96164153,2866613.9313141,25700.725799475,2210928.72450417,4870104.46626102,7255059.22461949,9641171.84889171
"Population Liveweight (kg)","Juvenile Combined",18172019.7229145,8314457.92377123,405714.779886063,11098851.743389,18390074.3714993,24943379.8965396,35593584.4588381
"Population Liveweight (kg)","Adult Female",34454250.1564538,19919727.5998899,123925.946156344,17969442.1826964,34328122.8797851,51677176.8233257,68160438.7924969
"Population Liveweight (kg)","Adult Male",3347039.12018121,1920203.83508645,12060.270840856,1652297.74017793,3335196.07899436,5041720.86123726,6633317.96529144
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",14874552.288319,6474620.12634889,482279.662105168,9621395.85173702,14898171.508312,20416894.125139,27893190.7864908
"Offtake Liveweight (kg)","Juvenile Female",3863195.98719415,2151010.32218289,19930.7411341415,1993243.85096398,3896713.22988133,5725466.45499498,7454525.87258982
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",10569779.0133173,6120401.99834141,75989.3906201864,5157796.8814137,10448500.9408445,16005292.3292212,20897095.4038091
"Offtake Liveweight (kg)","Adult Male",441577.287807599,255213.221139788,1598.56110929904,223815.157811274,442821.210480243,657041.434858583,879339.385469799
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",48468867.8821184,7154389.80709761,26413165.5073311,43492928.1625632,48266072.5774044,53424202.5344761,71981599.0973487
"Manure","Overall",152769055.455143,5827860.99490667,132747297.040656,148999773.285328,152866015.876695,156748186.369692,170026808.246849
"Manure","Neonatal Female",12472216.6091994,317608.996841863,11361667.607525,12257734.6253599,12466965.2889445,12676369.3202572,13446924.4551494
"Manure","Neonatal Male",6233352.2709972,162851.451007856,5670882.61655746,6119551.82734941,6234885.39475861,6346436.20996067,6770166.67587625
"Manure","Neonatal Combined",18705568.8801966,353026.928316322,17459316.4907788,18471905.0881851,18714798.4141608,18934938.1735792,20107714.0304666
"Manure","Juvenile Female",29483233.8824667,991216.351668739,26671264.6688005,28809739.892687,29504388.6749514,30210251.946815,32430620.8816265
"Manure","Juvenile Male",6977381.89940598,237393.957576215,6253446.99533904,6823551.49279421,6976117.80722138,7146623.61401582,7783002.63970406
"Manure","Juvenile Combined",36460615.7818727,1010195.01777544,33230713.3458548,35787518.137585,36476153.9276912,37167939.2850953,39383360.9915552
"Manure","Adult Female",91612674.1621693,5744507.48286728,72230527.6330873,88181262.268846,91562375.1078542,94949065.7763874,107740898.482974
"Manure","Adult Male",5990196.63090488,381298.142123724,4735775.7996831,5726694.07346909,5992319.51252402,6244314.58284259,7262242.03010681
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",410772299.729566,22015274.9913166,347860924.09091,395760991.874384,410169644.729918,425950305.219377,480818311.053258
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",597947153.340861,58823289.154302,387120162.94943,558662754.522763,598862878.791433,638019475.233243,767624968.282845
"Cml Dry Matter","Neonatal Female",38055040.4023679,4420067.6968937,25604598.0625691,35248058.4370826,38421374.1840517,41611497.7527339,54482166.555092
"Cml Dry Matter","Neonatal Male",19273976.1805055,2270770.33659286,12902250.5586377,17872689.06228,19329395.903782,20807109.0690982,26239509.0588675
"Cml Dry Matter","Neonatal Combined",57329016.5828733,4920746.39484603,43429710.0015175,53890093.0231351,57144801.943813,60704466.7023663,73311521.1191653
"Cml Dry Matter","Juvenile Female",128063615.930003,19462784.6007455,68285018.9896685,115243393.343823,128010185.368692,140851201.635237,192056791.56419
"Cml Dry Matter","Juvenile Male",30484194.985594,4854713.94922398,14932083.4103994,27204112.9796901,30370663.7126328,33893749.1919868,45311317.3703551
"Cml Dry Matter","Juvenile Combined",158547810.915597,20177255.3714979,100489108.591894,144215359.520138,158907379.245685,172298036.703714,231218118.647242
"Cml Dry Matter","Adult Female",358581459.231786,54779236.4748633,185487451.616944,321501514.131571,357427310.385857,397591250.331922,536660859.04047
"Cml Dry Matter","Adult Male",23488866.6106046,3570889.02201272,11873949.075996,21176022.4196961,23577867.5782605,25935305.9954301,35368963.2724144
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",1287795955.59369,20452.9119654607,1287731169.46989,1287782590.62088,1287795972.68091,1287809724.01361,1287856333.49862
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",337606132.244501,15547.5531428421,337558181.995249,337596071.441286,337606165.932076,337616577.715484,337652185.089682
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",337606132.244501,15547.5531428421,337558181.995249,337596071.441286,337606165.932076,337616577.715484,337652185.089682
"Value of Offtake","Adult Female",888923588.124896,2355.0565562826,888915655.760151,888921918.732202,888923670.985907,888925156.408252,888930337.169309
"Value of Offtake","Adult Male",61266235.2242978,2643.52221928298,61257331.714491,61264360.8895666,61266328.6337511,61267994.1121416,61273811.2396296
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",185221822.00103,638019.526249825,183210446.324544,184794696.960559,185216205.809951,185670227.047562,187474672.17109
"Value of Herd Increase","Neonatal Female",-3313141.89765995,184752.357053663,-3858999.01137042,-3445758.59592402,-3310283.89816948,-3187602.45678739,-2660116.26964753
"Value of Herd Increase","Neonatal Male",149977700.197158,132383.810499425,149614913.071271,149880262.007935,149981577.075296,150065677.167158,150427611.983066
"Value of Herd Increase","Neonatal Combined",146664558.299498,316185.765442805,145755914.059901,146438967.099833,146666963.484406,146877502.184497,147767495.713418
"Value of Herd Increase","Juvenile Female",-11088677.6395104,137620.807963287,-11500788.0203576,-11180109.4114828,-11090449.4173733,-10995452.6448746,-10657378.0897834
"Value of Herd Increase","Juvenile Male",371454326.847605,155389.117811893,370986357.82319,371350599.892616,371452706.496292,371559551.899471,371944105.380644
"Value of Herd Increase","Juvenile Combined",360365649.208095,292991.110784078,359485569.802832,360170981.457328,360362497.056089,360564019.68124,361286727.290861
"Value of Herd Increase","Adult Female",-543039698.877112,33354.9614443023,-543141260.608236,-543061462.211902,-543039723.413466,-543017182.215364,-542940842.946991
"Value of Herd Increase","Adult Male",221231313.37055,54479.3750151928,221065268.969726,221195733.516562,221231239.883264,221268044.651163,221392820.122348
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",1473017777.59472,654529.966705232,1470956720.73213,1472585558.84385,1473011745.83675,1473480036.77194,1475320835.70149
"Value of Herd Increase plus Offtake","Neonatal Female",-3313141.89765995,184752.357053663,-3858999.01137042,-3445758.59592402,-3310283.89816948,-3187602.45678739,-2660116.26964753
"Value of Herd Increase plus Offtake","Neonatal Male",149977700.197158,132383.810499425,149614913.071271,149880262.007935,149981577.075296,150065677.167158,150427611.983066
"Value of Herd Increase plus Offtake","Neonatal Combined",146664558.299498,316185.765442805,145755914.059901,146438967.099833,146666963.484406,146877502.184497,147767495.713418
"Value of Herd Increase plus Offtake","Juvenile Female",326517454.60499,152122.187466952,326066390.994186,326416921.308291,326515717.473987,326619169.296669,326988612.192686
"Value of Herd Increase plus Offtake","Juvenile Male",371454326.847605,155389.117811893,370986357.82319,371350599.892616,371452706.496292,371559551.899471,371944105.380644
"Value of Herd Increase plus Offtake","Juvenile Combined",697971781.452595,307367.780271739,697052748.817376,697770334.74101,697967526.562935,698179498.501889,698932717.57333
"Value of Herd Increase plus Offtake","Adult Female",345883889.247784,35643.9378817878,345774395.151915,345860769.213591,345883873.572098,345907958.303465,345989494.222318
"Value of Herd Increase plus Offtake","Adult Male",282497548.594847,57048.4592314692,282322600.684217,282460588.754379,282497481.515549,282535895.809906,282666631.361977
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",76384527.7275717,2913930.49745333,66373648.5203281,74499886.6426642,76433007.9383475,78374093.1848458,85013404.1234247
"Value of Manure","Neonatal Female",6236108.3045997,158804.498420931,5680833.80376248,6128867.31267993,6233482.64447227,6338184.66012862,6723462.22757472
"Value of Manure","Neonatal Male",3116676.1354986,81425.7255039281,2835441.30827873,3059775.91367471,3117442.6973793,3173218.10498033,3385083.33793813
"Value of Manure","Neonatal Combined",9352784.4400983,176513.464158161,8729658.24538941,9235952.54409255,9357399.20708041,9467469.08678959,10053857.0152333
"Value of Manure","Juvenile Female",14741616.9412333,495608.175834369,13335632.3344002,14404869.9463435,14752194.3374757,15105125.9734075,16215310.4408132
"Value of Manure","Juvenile Male",3488690.94970299,118696.978788108,3126723.49766952,3411775.7463971,3488058.90361069,3573311.80700791,3891501.31985203
"Value of Manure","Juvenile Combined",18230307.8909363,505097.508887718,16615356.6729274,17893759.0687925,18238076.9638456,18583969.6425476,19691680.4957776
"Value of Manure","Adult Female",45806337.0810846,2872253.74143364,36115263.8165436,44090631.134423,45781187.5539271,47474532.8881937,53870449.241487
"Value of Manure","Adult Male",2995098.31545244,190649.071061862,2367887.89984155,2863347.03673455,2996159.75626201,3122157.2914213,3631121.01505341
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",0,0,0,0,0,0,0
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
