"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",528568.775663394,88782.334869069,331693.981375921,464588.62121039,524205.129035031,589697.529214188,741797.335863792
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",48814.0653524853,9410.01962833676,27939.6021448628,42192.7677423323,48239.3586702375,55285.0480165367,71301.5152250581
"Num Offtake","Juvenile Male",323250.273960305,68001.976667331,172385.104072242,275988.184582103,319606.822100664,369967.040745071,485328.731010214
"Num Offtake","Juvenile Combined",372064.33931279,77411.6152205902,200324.706217105,318180.952324435,367846.180770902,425252.088761608,556630.246235272
"Num Offtake","Adult Female",45652.9234665142,1062.43429090508,43352.2503868303,44882.9882901793,45569.0903470349,46455.2172511593,48278.8617729807
"Num Offtake","Adult Male",93689.2977300305,10419.8753746141,71109.7221289417,86099.7268202568,93118.2890283225,101485.428521443,119431.02899214
"Num Offtake","Oxen",17162.2151540589,120.273287062421,16906.1289536605,17076.2965256306,17158.1953693386,17247.4629353766,17457.1988633982
"Cml Pop Growth","Overall",24678507.0265472,4943948.05751511,11890125.3622121,21677511.1496582,25229307.0642415,27861211.2320558,36010913.4215339
"Cml Pop Growth","Neonatal Female",8310252.53350249,1821202.56448358,3684871.3486374,7315137.31734605,8434945.90104099,9498975.10415548,11948724.8710455
"Cml Pop Growth","Neonatal Male",8332737.63720603,1821202.56448358,3707356.45234094,7337622.42104959,8457431.00474452,9521460.20785902,11971209.974749
"Cml Pop Growth","Neonatal Combined",16642990.1707085,3642405.12896717,7392227.80097834,14652759.7383956,16892376.9057855,19020435.3120145,23919934.8457945
"Cml Pop Growth","Juvenile Female",3585546.17181459,738601.711142805,1987812.34565117,3093021.84639102,3589097.62457764,4064229.71760619,5396999.41563832
"Cml Pop Growth","Juvenile Male",3377909.83419813,689452.630824358,1869868.00185555,2932619.51763894,3379529.8770695,3830153.52770709,5077150.26714058
"Cml Pop Growth","Juvenile Combined",6963456.00601272,1427938.38579314,3857680.34750672,6020680.06985563,6966253.34317692,7887004.84383949,10474149.6827789
"Cml Pop Growth","Adult Female",557577.011298719,134190.968242802,259896.56948376,463840.862342039,549975.859297123,649828.462816389,877752.103787415
"Cml Pop Growth","Adult Male",512306.519746175,119292.42462942,247694.753739985,432802.615692316,505723.348043216,594056.884433368,794795.762535085
"Cml Pop Growth","Oxen",2177.31878103913,2032.41490199006,-2228.69027697831,690.499131170604,2101.20985467563,3687.08459766804,7195.99519461231
"Total Number Increase","Overall",25207075.8022106,5006476.51926962,12271968.1481263,22100637.6743292,25805058.9202012,28386048.0030206,36727286.5887555
"Total Number Increase","Neonatal Female",8310252.53350249,1821202.56448358,3684871.3486374,7315137.31734605,8434945.90104099,9498975.10415548,11948724.8710455
"Total Number Increase","Neonatal Male",8332737.63720603,1821202.56448358,3707356.45234094,7337622.42104959,8457431.00474452,9521460.20785902,11971209.974749
"Total Number Increase","Neonatal Combined",16642990.1707085,3642405.12896717,7392227.80097834,14652759.7383956,16892376.9057855,19020435.3120145,23919934.8457945
"Total Number Increase","Juvenile Female",3634360.23716707,747374.791774362,2020879.95098686,3135337.9001946,3638177.32314907,4120517.53682433,5465809.89921788
"Total Number Increase","Juvenile Male",3701160.10815843,752797.94495251,2078632.5957225,3199165.28261327,3705811.38878713,4192687.49264612,5545210.94770148
"Total Number Increase","Juvenile Combined",7335520.34532551,1500169.13788359,4099512.54670936,6334503.18280786,7343988.7119362,8313205.02947045,11011020.8469194
"Total Number Increase","Adult Female",603229.934765234,135227.81534928,303248.81987059,508564.332952228,595392.631336814,696202.736899984,926030.965560396
"Total Number Increase","Adult Male",605995.817476206,129449.651987051,318804.475868926,516598.905205951,599412.879689948,694894.868801026,914226.791527225
"Total Number Increase","Oxen",19339.533935098,2150.89170576896,14678.6123660659,17772.8793895025,19221.6651663969,20948.8269883712,24653.1940580105
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",3401692526.28511,637335838.774738,1949334664.81093,2940553566.1848,3446918936.17508,3818780131.70145,5167294418.89391
"Population Liveweight (kg)","Neonatal Female",723710538.63555,218587272.774026,231865577.665975,571255166.39273,735078629.952303,877851192.662182,1241111120.22245
"Population Liveweight (kg)","Neonatal Male",774394917.570994,256083305.091945,266679785.496476,596153239.021478,742613710.907408,946962550.258414,1549047369.40613
"Population Liveweight (kg)","Juvenile Female",642307901.164886,191148316.243469,282896398.558696,508473313.261909,600376978.450729,729843367.214849,1200509244.50017
"Population Liveweight (kg)","Juvenile Male",640056256.954499,171476007.681575,303262617.310374,509488859.618697,638961337.30962,730371655.774825,1221424604.95769
"Population Liveweight (kg)","Juvenile Combined",1282364158.11938,285297049.77123,734023424.274832,1094776532.50317,1233110772.44661,1435094585.4715,2270512942.78779
"Population Liveweight (kg)","Adult Female",428910115.858589,72020216.6492462,247437514.263531,382890774.751122,431301701.402343,479164148.079719,611414907.138721
"Population Liveweight (kg)","Adult Male",179007069.139789,41934105.5011828,81149824.4609794,150986465.375536,182512308.139388,204424149.0765,308515266.983194
"Population Liveweight (kg)","Oxen",13305726.9608069,2219654.91776381,8780810.8380644,11800353.0517087,13078348.1285751,15055187.3311519,18832591.8421808
"Offtake Liveweight (kg)","Overall",110830815.625904,23314935.3987226,65868014.0287873,91930227.138503,110130219.713902,122832152.596808,170911470.054222
"Offtake Liveweight (kg)","Juvenile Female",8225805.19194874,2301727.76972826,4272297.25254377,6385072.21511949,8071368.72369331,9554226.54800566,16885410.5799688
"Offtake Liveweight (kg)","Juvenile Male",62135441.4690505,19308309.7403239,29023651.5617568,46803451.8229365,61197993.133723,72880733.1824503,107934151.430891
"Offtake Liveweight (kg)","Adult Female",11367469.35385,1804294.26031945,7284750.587102,9873628.86565892,11434103.3902597,12852906.9139224,14446764.5918587
"Offtake Liveweight (kg)","Adult Male",24672560.2400934,5171380.5052523,16077729.6594828,20442708.9737559,23566298.873369,28180053.3449268,39288482.8196994
"Offtake Liveweight (kg)","Oxen",4429539.37096141,706974.036278461,3121036.19485733,3899352.29790665,4396517.87346168,4886628.09760822,6312942.24244084
"Meat (kg)","Overall",243103865.485082,32336316.7912715,178426897.040484,219364670.536166,243491560.646842,265314638.611491,321639574.195949
"Manure","Overall",4888386206.90925,779913819.727694,3127529676.38752,4371734428.40097,4941191799.74444,5381845089.55344,6835286812.39415
"Manure","Neonatal Female",1177918773.63234,231965230.509738,654503851.998148,1028708084.87977,1199231153.33062,1320272561.51318,1759207352.09772
"Manure","Neonatal Male",1175663332.34056,233288548.587635,671840318.487162,1036373960.76908,1165538233.73087,1335740404.52162,1692339713.01677
"Manure","Neonatal Combined",2353582105.9729,462913224.113246,1326344170.48531,2068690833.84401,2364074842.16822,2690812651.89491,3451547065.11449
"Manure","Juvenile Female",716936497.931247,140488746.71931,410604755.693879,610448857.971191,722557847.771804,813380548.046283,1031150863.1924
