"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",186888.614387718,90.6087554145627,186593.407163608,186829.095007982,186894.021063313,186952.002702914,187139.836839285
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12283.2107135477,13.0840893446614,12240.5408219244,12274.2095075213,12283.3814754074,12292.4569211234,12326.8381453443
"Num Offtake","Juvenile Male",56375.6315093553,77.7660415927519,56132.0654532779,56325.1239320937,56380.9340703029,56431.6605814325,56577.9700610209
"Num Offtake","Juvenile Combined",68658.8422229031,78.4977832697494,68400.9957613669,68605.5503592509,68664.3663753728,68715.4652770719,68873.3616465926
"Num Offtake","Adult Female",44938.2802269188,1.82006031221113,44932.7775394922,44937.0493015787,44938.3039694942,44939.5166430368,44944.1652947234
"Num Offtake","Adult Male",56591.0604390734,12.3618406614247,56548.8570773577,56583.0133935164,56591.8788382115,56599.6560068734,56624.9079198029
"Num Offtake","Oxen",16700.4314988228,0.166039420016871,16699.8632570277,16700.3262191501,16700.4403486778,16700.5452926989,16700.9078766712
"Cml Pop Growth","Overall",147462.717246573,2903.93915052111,136735.676252754,145531.93150774,147386.321390417,149522.013249797,155649.495471136
"Cml Pop Growth","Neonatal Female",-28683.6352533857,1433.41267743794,-34380.2216561457,-29625.5527745089,-28652.1583444832,-27629.4240362657,-24549.7509124095
"Cml Pop Growth","Neonatal Male",-4698.40859331526,1335.05590132201,-9985.66253465446,-5659.02682403074,-4647.17101179223,-3687.66653930287,-1215.16789720021
"Cml Pop Growth","Neonatal Combined",-33382.043846701,1971.2359705003,-40556.2035471741,-34658.0899625913,-33423.8435263992,-31986.5360683377,-28112.2471608014
"Cml Pop Growth","Juvenile Female",75181.753577428,830.677649297478,72459.9440966149,74602.967432158,75211.8079628023,75742.5204771621,77800.2834437266
"Cml Pop Growth","Juvenile Male",84753.1773254354,662.023264155122,82458.1791676944,84274.330387414,84795.6909031288,85218.8782831684,86620.9554814009
"Cml Pop Growth","Juvenile Combined",159934.930902863,1049.65386766947,156615.507163313,159260.623033637,159933.779697959,160613.327033925,163146.786064251
"Cml Pop Growth","Adult Female",-4452.25139829953,170.30383297635,-5008.41121929744,-4567.32124607288,-4449.90870387712,-4332.28134059324,-3885.01235191151
"Cml Pop Growth","Adult Male",30840.517074848,124.360865281434,30448.3960939412,30760.8434606427,30849.707158205,30929.7473950038,31160.0699890517
"Cml Pop Growth","Oxen",-5478.43548613766,2.38689681946942,-5486.56330776656,-5479.99558014672,-5478.28582126617,-5476.78820520348,-5471.93811001474
"Total Number Increase","Overall",334351.331634291,2952.37712118181,323367.369708467,332323.304807492,334274.717924526,336434.48001297,342661.708756153
"Total Number Increase","Neonatal Female",-28683.6352533857,1433.41267743794,-34380.2216561457,-29625.5527745089,-28652.1583444832,-27629.4240362657,-24549.7509124095
"Total Number Increase","Neonatal Male",-4698.40859331526,1335.05590132201,-9985.66253465446,-5659.02682403074,-4647.17101179223,-3687.66653930287,-1215.16789720021
"Total Number Increase","Neonatal Combined",-33382.043846701,1971.2359705003,-40556.2035471741,-34658.0899625913,-33423.8435263992,-31986.5360683377,-28112.2471608014
"Total Number Increase","Juvenile Female",87464.9642909758,841.979524950047,84700.4849185393,86878.3250137322,87492.7012041683,88035.1577833546,90127.1215890709
"Total Number Increase","Juvenile Male",141128.808834791,731.595610042524,138608.872448342,140608.956145955,141181.969319034,141641.252131732,143182.718237628
"Total Number Increase","Juvenile Combined",228593.773125767,1102.5659931497,225016.50292468,227899.090685176,228586.62031105,229325.818337608,231917.424276575
"Total Number Increase","Adult Female",40486.0288286193,172.016778948666,39924.4744772077,40369.4561021136,40488.7605500382,40607.0407980774,41059.1529428119
"Total Number Increase","Adult Male",87431.5775139214,136.104977341922,87004.7561156236,87343.3843147245,87441.0687631219,87529.8781453021,87784.9779088546
