"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",136125.80298818,436.500567448045,135282.566562838,135806.995576927,136106.279108408,136397.74143484,137250.821763888
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",6545.00240718911,41.0689248477562,6463.60713627615,6518.08157918233,6543.88345724286,6570.834345307,6653.29945568055
"Num Offtake","Juvenile Male",32246.197356936,304.129572122527,31647.8236890698,32026.0982848372,32247.6162277512,32432.0163892089,33021.0930109505
"Num Offtake","Juvenile Combined",38791.1997641252,344.345931296418,38111.430825346,38548.3914963885,38799.5508480552,39006.999374397,39654.065312032
"Num Offtake","Adult Female",22897.1162102326,4.7801791836634,22888.6155855598,22894.0895245714,22896.9163707677,22899.693274364,22912.0985260091
"Num Offtake","Adult Male",57720.1542562063,88.5313181830086,57563.5912329011,57663.1016011925,57704.0057656464,57767.9860493407,57965.4071306935
"Num Offtake","Oxen",16717.3327576156,1.047954019489,16715.5972580004,16716.5499801397,16717.1845069742,16717.9040913384,16720.3248046715
"Cml Pop Growth","Overall",627901.48616503,38964.4185503001,539859.662789683,606607.687869032,626273.020881958,651192.198761981,759625.055891757
"Cml Pop Growth","Neonatal Female",104542.855245432,14040.6769346098,73406.4668107861,95989.6793423026,103475.603372644,111953.090868987,155444.003915266
"Cml Pop Growth","Neonatal Male",128309.626130755,13659.126441834,97209.2102669441,120398.428354508,128281.173466432,135302.255090036,179247.956545809
"Cml Pop Growth","Neonatal Combined",232852.481376187,27587.3187862453,170615.67707773,215934.250441766,231153.109719371,248544.497284153,334691.960461076
"Cml Pop Growth","Juvenile Female",140828.46940127,6016.38927610221,128681.807767716,136597.33289576,140533.306636772,145222.553928992,155071.106588802
"Cml Pop Growth","Juvenile Male",164687.092383933,5656.51372618178,153069.326062837,160890.124413064,164775.146997057,168514.052550322,177748.901624798
"Cml Pop Growth","Juvenile Combined",305515.561785203,11617.4537523229,281997.324191983,297052.049324455,305644.681382248,313993.777094824,332820.0082136
"Cml Pop Growth","Adult Female",50854.6776316682,1084.45824945284,48701.597171634,50145.9367712848,50822.1064134943,51537.4658034812,53699.1546635146
"Cml Pop Growth","Adult Male",43941.4974645249,980.110885660238,41993.7462290161,43246.3294611692,43971.4643924461,44568.1845909212,46426.8449496063
"Cml Pop Growth","Oxen",-5262.73209255329,17.2145412490224,-5293.26688216301,-5273.79199687156,-5265.59361613353,-5253.15316869602,-5215.18089617066
"Total Number Increase","Overall",764027.289153209,39263.5679950723,675361.402815889,742380.913338952,762391.815628777,787728.114443358,896186.174792602
"Total Number Increase","Neonatal Female",104542.855245432,14040.6769346098,73406.4668107861,95989.6793423026,103475.603372644,111953.090868987,155444.003915266
"Total Number Increase","Neonatal Male",128309.626130755,13659.126441834,97209.2102669441,120398.428354508,128281.173466432,135302.255090036,179247.956545809
"Total Number Increase","Neonatal Combined",232852.481376187,27587.3187862453,170615.67707773,215934.250441766,231153.109719371,248544.497284153,334691.960461076
"Total Number Increase","Juvenile Female",147373.471808459,6053.78354578602,135145.414903992,143118.188133477,147077.612880514,151792.515922727,161670.641829476
"Total Number Increase","Juvenile Male",196933.289740869,5931.82627037446,184861.762468998,192909.142615265,197021.360908664,200947.676664734,210324.569331811
"Total Number Increase","Juvenile Combined",344306.761549328,11926.977820319,320108.755017329,335596.986979757,344446.576822418,352994.341179076,371995.211161287
"Total Number Increase","Adult Female",73751.7938419008,1089.09029570081,71590.2127571938,73039.5317098767,73719.7560762209,74437.3746933905,76611.2531895237
"Total Number Increase","Adult Male",101661.651720731,1066.01855780025,99560.4920388685,100892.817456187,101666.161086524,102318.285300131,104375.645542586
"Total Number Increase","Oxen",11454.6006650623,18.2463880134563,11422.3303758374,11442.8429467519,11451.2799007022,11464.466308965,11505.1439085008
"Total Mortality","Overall",133034.892530101,4547.43950304801,122138.062705055,130345.304483096,132661.629565257,136131.114918419,145166.008530113
"Total Mortality","Neonatal Female",44730.4226287192,2924.13878018424,38440.3038958992,42947.9953175803,44430.2889092442,46473.6712487794,52780.4263475613
"Total Mortality","Neonatal Male",42466.2454096058,2764.15412271601,35734.7521850248,40389.3496371876,42568.154989198,44145.3328944459,49525.8363113241
"Total Mortality","Neonatal Combined",87196.6680383249,4410.54488884093,76520.0541215632,84236.6394601622,86693.292113023,90356.8170019044,98922.9908319683
"Total Mortality","Juvenile Female",26562.4657625658,559.192204001953,25171.3074386607,26288.1916139938,26636.6897677023,26925.7515735607,27700.9643790317
"Total Mortality","Juvenile Male",17227.0205545175,457.593597170833,16164.1765995814,16950.3498406035,17207.3667288826,17534.9412513301,18293.2873274055
"Total Mortality","Juvenile Combined",43789.4863170833,750.061733369508,41572.7859436563,43360.2423715638,43817.4118671241,44362.0499997826,45306.8775020006
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1588.62809879467,2.4366417848535,1584.31902475875,1587.05784223466,1588.18364492605,1589.94457016534,1595.378177909
"Total Mortality","Oxen",460.110075897678,0.0288427711785947,460.062309853222,460.088531563478,460.105995604793,460.12580067904,460.192425816647
"Population Liveweight (kg)","Overall",565984448.954244,53042740.3193564,454427255.923774,528814055.87597,561211560.720342,605172401.277968,696817348.882962
"Population Liveweight (kg)","Neonatal Female",35315809.5052645,6547295.71564891,17523406.4533169,31600386.6999312,35998657.2833692,40234415.4935758,47974565.8478799
"Population Liveweight (kg)","Neonatal Male",34499294.8612376,9246244.20834084,12928700.9466898,26990250.4903575,34057844.5640875,42769659.0202039,53064690.3194921
"Population Liveweight (kg)","Juvenile Female",71715686.2601738,15343699.6182094,43442487.1595409,59801770.6935197,71927271.5276997,81623294.3601583,111484230.136281
"Population Liveweight (kg)","Juvenile Male",58947365.6456595,14040461.7170495,34522666.1521104,47355916.9978434,57530588.8531993,67397146.6234861,95994475.6632538
"Population Liveweight (kg)","Juvenile Combined",130663051.905833,19943924.0274923,84641215.9581275,114956376.908161,132096451.272313,146476141.631761,179290602.557703
"Population Liveweight (kg)","Adult Female",303631520.422324,46245557.5546279,209339063.516855,271369296.455113,296308673.78268,339069724.136636,414789842.164308
"Population Liveweight (kg)","Adult Male",50228472.6487068,7448750.13515729,33798710.872111,45906485.8152642,49845398.8275303,54910031.372302,67794842.2112333
"Population Liveweight (kg)","Oxen",11646299.6108786,1821075.73223839,7994264.04530825,10289364.0280168,11662940.3987169,12957819.6304948,15467453.4692595
"Offtake Liveweight (kg)","Overall",32730322.5349565,3287033.96326989,25671251.4211611,30078485.5418105,32832635.285368,35104200.769763,40894071.5324557
