"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",369515.777052325,58398.5681308124,196548.692028968,331882.184086556,371830.222066797,404937.045574585,519422.60348791
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29591.2645089906,5607.26747470014,13121.1293252761,26037.6622250427,29838.4172565363,32862.0241982997,44006.3314351885
"Num Offtake","Juvenile Male",200169.052889318,41220.0247630409,79230.8286811242,173589.880770146,201897.093481731,224888.828492002,305109.4669983
"Num Offtake","Juvenile Combined",229760.317398309,46826.927155406,92351.9580064004,199627.542995189,231735.510738268,257750.852690302,349115.798433488
"Num Offtake","Adult Female",26997.6109440936,659.370892132749,25023.7803743822,26538.9511526854,26977.2410903827,27401.5941960698,28708.3698506149
"Num Offtake","Adult Male",95645.738056979,11046.8769169595,62431.1614551557,87799.4106368835,95435.5015749563,102562.691289323,124159.933271825
"Num Offtake","Oxen",17112.1106529432,132.308374491248,16741.7921930298,17039.7163217538,17109.3836423621,17198.9770857772,17438.5019319817
"Cml Pop Growth","Overall",24352549.7090714,4960543.85173512,12185398.2414016,21139411.2519644,24647070.340465,27653887.7954918,38854326.5544095
"Cml Pop Growth","Neonatal Female",8033008.29637307,1794477.2934215,3875749.63367902,6939113.67982168,8063653.00874179,8992412.25453511,13281232.1174592
"Cml Pop Growth","Neonatal Male",8051966.46698883,1794697.28544867,3870732.61467916,6967977.42177822,8010335.5952291,9032646.32167587,13265933.5315652
"Cml Pop Growth","Neonatal Combined",16084974.7633619,3588913.23762799,7746482.24835818,13926005.9346078,16057342.0901326,18016246.568649,26547165.6490244
"Cml Pop Growth","Juvenile Female",3637656.28827746,751380.922433613,1806212.50135996,3224125.79591414,3590024.21488941,4114514.87737415,5424916.48685804
"Cml Pop Growth","Juvenile Male",3522576.28987278,721670.318988902,1755027.62499253,3129051.46238083,3465742.41957751,3977462.71963157,5245459.55649771
"Cml Pop Growth","Juvenile Combined",7160232.57815023,1472961.58759928,3561240.12635249,6353177.25829497,7055766.63446692,8093639.33764613,10670376.0433558
"Cml Pop Growth","Adult Female",567888.291576906,135002.500291337,171924.482073685,482193.525754962,574214.293228061,646390.101366518,914548.278032288
"Cml Pop Growth","Adult Male",537293.775861683,121733.333115859,182350.024857618,458252.29399411,544293.310598564,609489.411800435,845663.755697789
"Cml Pop Growth","Oxen",2160.30012066407,2146.39475895788,-4315.40910897557,629.607229877816,2139.42076770088,3526.84625725519,7710.88332324872
"Total Number Increase","Overall",24722065.4861237,5001547.54411123,12441864.1000015,21485481.7929646,24978953.5182815,28092676.2649478,39352248.8436101
"Total Number Increase","Neonatal Female",8033008.29637307,1794477.2934215,3875749.63367902,6939113.67982168,8063653.00874179,8992412.25453511,13281232.1174592
"Total Number Increase","Neonatal Male",8051966.46698883,1794697.28544867,3870732.61467916,6967977.42177822,8010335.5952291,9032646.32167587,13265933.5315652
"Total Number Increase","Neonatal Combined",16084974.7633619,3588913.23762799,7746482.24835818,13926005.9346078,16057342.0901326,18016246.568649,26547165.6490244
"Total Number Increase","Juvenile Female",3667247.55278645,756487.708474454,1824632.58297365,3249718.21124623,3619935.80621587,4149209.97262703,5466222.30057577
"Total Number Increase","Juvenile Male",3722745.34276209,759200.850311943,1872623.88933016,3299780.92417396,3670527.67634994,4208499.77592824,5532285.49210574
"Total Number Increase","Juvenile Combined",7389992.89554854,1515644.30699963,3697256.47230381,6549499.13542019,7287440.47478817,8366337.92898168,10998507.7926815
"Total Number Increase","Adult Female",594885.902521,135641.926781467,196948.262448068,508807.985656925,601178.759725352,673801.188648619,943256.647882903
"Total Number Increase","Adult Male",632939.513918662,132434.899376911,244781.186312774,547436.102834175,638730.788729665,712211.803339024,969823.688969614
"Total Number Increase","Oxen",19272.4107736073,2276.72825289515,12426.3830840542,17655.1345560616,19229.386528224,20698.5920235121,25149.3852552304
"Total Mortality","Overall",1156310.21699483,227080.009433006,616957.010022235,1009663.99203003,1155242.04503508,1313003.6317416,1660356.37825572
"Total Mortality","Neonatal Female",561553.399771797,114742.289257064,288502.034536946,491192.298902312,550480.771274377,650085.299824902,814942.079621429
"Total Mortality","Neonatal Male",564899.000970439,117482.845465561,287307.706243746,490446.604735187,555602.240584515,632363.864750017,829923.787063007
"Total Mortality","Neonatal Combined",1126452.40074224,226282.11557006,588658.885387402,979674.891164678,1125427.60149769,1283268.20453122,1628705.18956316
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",26754.3892238766,653.430613825247,24798.3409115499,26299.8615026612,26734.2028823613,27154.7329870962,28449.7358879967
"Total Mortality","Adult Male",2632.45150615538,304.042483953015,1718.28884738961,2416.49754046468,2626.6651809621,2822.82636576117,3417.24586986675
