"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",189017.093234947,73.4797637615408,188738.646983642,188972.468024076,189020.662161862,189068.755453479,189198.081762431
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12634.5899281569,10.289786716088,12601.0769053284,12627.6725492207,12635.2470242855,12641.8570649846,12662.5482117322
"Num Offtake","Juvenile Male",57853.1177452667,63.9655390711413,57631.1085210819,57814.560637984,57855.6663409964,57899.4267037759,58002.0351090245
"Num Offtake","Juvenile Combined",70487.7076734236,64.108348572208,70244.7306345183,70448.3732292394,70490.7797111163,70532.3879344061,70646.8815719597
"Num Offtake","Adult Female",44986.6905805503,1.21230224633722,44982.4573426032,44985.9180728648,44986.8028673703,44987.5746024509,44989.6273686694
"Num Offtake","Adult Male",56835.5834077321,9.47207202888352,56802.5401188492,56829.5806118461,56836.3126192874,56842.5308358379,56858.9973301181
"Num Offtake","Oxen",16707.1115732408,0.113716602918494,16706.732074422,16707.0392626892,16707.1224820785,16707.1962818681,16707.3777260308
"Cml Pop Growth","Overall",186083.339973967,2657.44794896555,175145.77520527,184392.467391804,186125.163796754,187961.43872108,193473.290427938
"Cml Pop Growth","Neonatal Female",-28450.3380836413,1373.17696434624,-32807.1675323975,-29353.4245497022,-28380.2348573978,-27477.3715605639,-24714.0030770412
"Cml Pop Growth","Neonatal Male",-4298.76823423177,1264.53938318627,-8791.34126646933,-5201.85243853318,-4230.06113015064,-3386.11447064504,-1258.52623327757
"Cml Pop Growth","Neonatal Combined",-32749.1063178731,1839.38473623023,-39480.7854980769,-34001.6568104577,-32636.5524684282,-31438.8503323345,-27615.0287558627
"Cml Pop Growth","Juvenile Female",95059.5030171641,699.589375719105,92693.01994873,94632.5873105637,95073.9967835287,95546.6556736681,97161.0071696354
"Cml Pop Growth","Juvenile Male",95918.1043695124,568.105328132067,93996.7499017023,95542.5236691466,95941.0358839387,96317.4182383572,97394.8556632746
"Cml Pop Growth","Juvenile Combined",190977.607386676,878.906435510229,187409.411343158,190412.30757602,190979.437262374,191570.060532675,193111.705795356
"Cml Pop Growth","Adult Female",112.50592633895,134.570640734386,-324.316966155544,23.0893678094144,120.245792451664,207.515262850851,479.181940436829
"Cml Pop Growth","Adult Male",33177.1574699161,102.860162905099,32821.486026314,33115.0391943661,33181.3248046953,33250.3334687736,33417.8964027313
"Cml Pop Growth","Oxen",-5434.82449109174,1.84020091607934,-5441.25540973544,-5435.98828374562,-5434.67437973483,-5433.48726716254,-5430.26482007149
"Total Number Increase","Overall",375100.433208914,2694.53117752496,363884.422188912,373409.879187117,375142.248050137,376993.242792818,382570.252537036
"Total Number Increase","Neonatal Female",-28450.3380836413,1373.17696434624,-32807.1675323975,-29353.4245497022,-28380.2348573978,-27477.3715605639,-24714.0030770412
"Total Number Increase","Neonatal Male",-4298.76823423177,1264.53938318627,-8791.34126646933,-5201.85243853318,-4230.06113015064,-3386.11447064504,-1258.52623327757
"Total Number Increase","Neonatal Combined",-32749.1063178731,1839.38473623023,-39480.7854980769,-34001.6568104577,-32636.5524684282,-31438.8503323345,-27615.0287558627
"Total Number Increase","Juvenile Female",107694.092945321,709.178627290981,105297.204140413,107258.523374734,107712.333912934,108187.091157225,109823.555381368
"Total Number Increase","Juvenile Male",153771.222114779,627.199085568948,151654.641193754,153359.579563151,153794.886930663,154212.525921449,155390.61456476
"Total Number Increase","Juvenile Combined",261465.3150601,921.895939516758,257654.141977676,260858.619133656,261475.285153864,262095.739937122,263739.564660838
"Total Number Increase","Adult Female",45099.1965068893,135.751205761417,44658.1403764477,45008.6059131323,45107.1772635596,45194.9569023403,45468.8093091062
"Total Number Increase","Adult Male",90012.7408776483,112.06454124385,89624.0261451631,89944.5318424614,90017.2593982117,90093.6128507925,90273.8899032749
"Total Number Increase","Oxen",11272.2870821491,1.95215991720919,11265.4766646866,11271.0493692687,11272.4380045278,11273.7181252892,11277.1129059593
"Total Mortality","Overall",95024.8943137087,2682.34027503824,87585.7185906002,93161.094728162,95004.8161912568,96768.9384147706,105822.591970105
"Total Mortality","Neonatal Female",35741.8947584916,2028.01903740632,30216.7304286688,34336.4822494839,35697.9566189004,37090.5314372366,42901.4190774322
"Total Mortality","Neonatal Male",32941.7586406404,1841.21155521826,28097.3403330873,31564.301050222,32891.4372936859,34214.5337084205,39695.3988121557
"Total Mortality","Neonatal Combined",68683.653399132,2682.73765692653,61243.6522405473,66819.4219281145,68663.3885845475,70427.4556864624,79483.3771242799
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",24317.1300435407,0.65529851153368,24314.8418068126,24316.7124718188,24317.1907391191,24317.6078932167,24318.717496578
"Total Mortality","Adult Male",1564.28211213942,0.260699230152759,1563.37266382154,1564.11689757375,1564.30218218222,1564.47332575701,1564.9265320216
"Total Mortality","Oxen",459.828758896537,0.00312981475922156,459.818313974918,459.826768697869,459.829059139776,459.831090326644,459.836084202683
"Value of Total Mortality","Overall",1147296374.65017,23590124.3641342,1088024231.34654,1130994478.68914,1146738951.72779,1161961557.04453,1247543737.96126
"Value of Total Mortality","Neonatal Female",211453120.404094,11997991.6172908,178765618.910938,203138539.923885,211193177.365705,219431808.605684,253809681.746978
"Value of Total Mortality","Neonatal Male",372459679.893921,20817864.4605675,317685722.261998,356885301.525373,371890715.95417,386850453.607426,448820468.151837
"Value of Total Mortality","Neonatal Combined",583912800.298014,23598247.5281534,524621783.550438,567603982.015291,583346834.493011,598592248.336817,684210679.709388
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
