"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187324.92137861,70.537825997011,187192.797155148,187291.7788819,187333.865198403,187362.664279169,187426.583620832
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12288.789342831,13.3606614426985,12267.0345197347,12280.5446331722,12287.1331991539,12299.4324834084,12309.4110680826
"Num Offtake","Juvenile Male",56404.7445871568,60.8932722957839,56293.8945347906,56386.7759082919,56410.771940246,56432.1858587698,56488.3111760983
"Num Offtake","Juvenile Combined",68693.5339299878,60.3178718887384,68578.5146349404,68669.0650726106,68704.4537034482,68726.8448941988,68778.6278278045
"Num Offtake","Adult Female",45337.4784637574,1.78171293162541,45335.5309734408,45336.0216940944,45336.7154160804,45339.1595274378,45340.138502578
"Num Offtake","Adult Male",56591.9686799551,10.5605814738054,56576.0949208249,56583.464271793,56591.5048422278,56598.79187225,56607.3647493375
"Num Offtake","Oxen",16701.94030491,0.152985785585369,16701.7516553666,16701.8354715687,16701.913680938,16702.0513248518,16702.1694071243
"Cml Pop Growth","Overall",175459.071606149,2888.18970069849,169795.484988522,174737.760820798,176265.602736578,176871.322312843,179639.336565275
"Cml Pop Growth","Neonatal Female",-26684.0832780411,1665.34330402473,-29676.0486994068,-27035.8395026763,-26358.548889419,-25391.8240082293,-24853.3395868389
"Cml Pop Growth","Neonatal Male",-2944.55977077158,1004.07093749301,-4544.77199640256,-3599.61526320327,-3031.01667778908,-2235.80589301508,-1359.68200804762
"Cml Pop Growth","Neonatal Combined",-29628.6430488127,1993.73649112709,-33866.1900408498,-29987.3338106995,-29438.1547069204,-28700.9441949835,-26453.6466729394
"Cml Pop Growth","Juvenile Female",75799.480868865,942.433136268672,73470.2587496609,75750.0035962581,76193.3233179276,76342.3810614046,76527.8570712563
"Cml Pop Growth","Juvenile Male",85260.8437257773,465.572508368361,84593.1582093796,84893.7415072836,85341.1825477261,85665.8938209218,85856.6306063525
"Cml Pop Growth","Juvenile Combined",161060.324594642,938.739570064996,159326.889356013,160706.406652076,161240.622878495,161835.304999627,162043.80418268
"Cml Pop Growth","Adult Female",18615.8044038748,175.076599666984,18326.9890610843,18509.1271909022,18595.9057074395,18753.2939815201,18885.825249488
"Cml Pop Growth","Adult Male",30891.383994526,96.569375402421,30713.0248174252,30869.7910395211,30901.9965532056,30935.8231938864,31021.6121440796
"Cml Pop Growth","Oxen",-5479.79833808194,2.02971108667344,-5482.90934995634,-5481.39468468397,-5479.83875744477,-5478.50395649339,-5476.85565814526
"Total Number Increase","Overall",362783.992984759,2888.68716077535,357113.672618815,362061.854787552,363503.489297036,364275.840598375,367005.780615522
"Total Number Increase","Neonatal Female",-26684.0832780411,1665.34330402473,-29676.0486994068,-27035.8395026763,-26358.548889419,-25391.8240082293,-24853.3395868389
"Total Number Increase","Neonatal Male",-2944.55977077158,1004.07093749301,-4544.77199640256,-3599.61526320327,-3031.01667778908,-2235.80589301508,-1359.68200804762
"Total Number Increase","Neonatal Combined",-29628.6430488127,1993.73649112709,-33866.1900408498,-29987.3338106995,-29438.1547069204,-28700.9441949835,-26453.6466729394
"Total Number Increase","Juvenile Female",88088.270211696,953.41959200359,85737.2932693957,88030.5919651613,88485.5603532106,88643.5220113432,88837.2681393389
"Total Number Increase","Juvenile Male",141665.588312934,514.155757603438,140887.05274417,141309.508013313,141746.107568054,142067.135749536,142344.941782451
"Total Number Increase","Juvenile Combined",229753.85852463,947.630409130904,228082.235051846,229342.181934429,229882.30682927,230559.14306736,230822.432010484
"Total Number Increase","Adult Female",63953.2828676322,176.757213029453,63662.878240646,63845.1488849966,63932.6211235199,64092.7208323895,64225.963752066
"Total Number Increase","Adult Male",87483.3526744812,106.415235391308,87289.1197382501,87453.2553113141,87494.0872579208,87530.9341163422,87628.9768934171
"Total Number Increase","Oxen",11222.1419668281,2.17589980947268,11218.8697113276,11220.3907326901,11222.0477024802,11223.5473683584,11225.3137489791
"Total Mortality","Overall",110934.370791798,2957.76910880969,106784.825966707,109289.111849733,110229.689457921,111580.625376497,116760.641959735
"Total Mortality","Neonatal Female",35503.4079097004,2702.74502879597,32499.2928662766,33869.1440160169,35004.6787085114,35549.6132012265,41097.3454384375
"Total Mortality","Neonatal Male",33517.7154385638,1552.09155158644,30996.6090421095,32582.0568869387,33164.125624137,35101.5897202326,35460.7489888107
"Total Mortality","Neonatal Combined",69021.1233482642,3042.5740953717,64693.0064752254,67542.4024321704,68439.4110674447,69693.8128413441,74711.674750788
"Total Mortality","Juvenile Female",24942.5851865732,319.124654973517,24503.0552524754,24737.997408878,24911.1987010661,25060.8559114032,25457.339156758
"Total Mortality","Juvenile Male",14953.3987069187,321.844002111744,14514.486939545,14751.02810476,14910.2634672209,15195.6043333455,15475.5435162737
"Total Mortality","Juvenile Combined",39895.9838934919,394.453841370271,39243.0498267613,39642.7532901076,39972.6981928647,40027.592250957,40708.4655267907
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1557.57711963179,0.290658205701052,1557.14022717867,1557.3430533521,1557.56435345581,1557.76491391514,1558.00086466066
"Total Mortality","Oxen",459.686430410367,0.00421061795189162,459.6812382211,459.683545089048,459.685697640496,459.689486005095,459.692735975899
"Value of Total Mortality","Overall",1500693090.21566,23618857.7155305,1465677667.79433,1483602393.8997,1503534305.4226,1512851080.31283,1547160307.42612
"Value of Total Mortality","Neonatal Female",182369055.871814,13883091.4603296,166937928.088449,173974392.3484,179807251.839146,182606396.901535,211103230.019727
"Value of Total Mortality","Neonatal Male",419343490.553626,19418372.654128,387801676.246978,407637372.822422,414919693.016538,439159500.122969,443652977.658045
"Value of Total Mortality","Neonatal Combined",601712546.425441,23248061.0561749,560888727.546067,587636996.383245,600349970.502069,613828577.556802,644677676.505587
"Value of Total Mortality","Juvenile Female",476663839.463894,6098613.36222484,468264227.9409,472754076.506521,476064029.83802,478924045.347605,486501015.601501
"Value of Total Mortality","Juvenile Male",354351108.022059,7626746.33331239,343950203.576114,349555526.19404,353328931.038664,360090661.535989,366724388.195302
"Value of Total Mortality","Juvenile Combined",831014947.485953,8531950.08255392,817558292.254232,824773259.003454,831953178.58754,834384200.106864,848038165.07801
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",66652878.7448777,12438.0397584251,66634182.9516899,66642862.4245544,66652332.4461622,66660914.9630777,66671011.9247198
"Value of Total Mortality","Oxen",14824979.8098557,135.793275577698,14824812.3607079,14824886.7576631,14824956.1778801,14825078.3534001,14825183.165612
"Population Liveweight (kg)","Overall",521523382.6541,52034952.0577011,444540616.344064,493370213.488795,509387922.940767,544621364.341108,614144449.799376
"Population Liveweight (kg)","Neonatal Female",25162492.5395243,3026507.49939873,19490221.5615033,23607358.7021149,25622162.2575948,27346292.4945123,29058938.2394564
"Population Liveweight (kg)","Neonatal Male",21272586.9852788,6830818.16058753,10823491.2868174,15849141.7035785,22942382.1275073,23338603.9865961,33293117.5113745
"Population Liveweight (kg)","Juvenile Female",60996066.738187,14755928.5451937,39949213.0585853,47042528.3534851,65234902.7542019,71820974.7625164,83308623.5069997
"Population Liveweight (kg)","Juvenile Male",51372653.4657448,11026880.0474359,33172185.9936996,43814596.0593619,50781858.461093,61274272.0097848,66444717.1388416
"Population Liveweight (kg)","Juvenile Combined",112368720.203932,15497459.163785,84287070.5631192,106227392.050897,109366073.165161,127138381.193271,131012707.373189
"Population Liveweight (kg)","Adult Female",304155149.875571,37505529.2556747,243207527.088866,280260411.83402,296335413.56169,328617283.681812,358338284.613868
"Population Liveweight (kg)","Adult Male",47298536.2420538,5814194.48778369,39810040.7305693,42655222.0127718,46695608.4517993,50973797.7010224,58626985.9013279
"Population Liveweight (kg)","Oxen",11265896.8077403,2077064.096265,8366317.35102285,10366466.1952488,11093716.5087789,12143182.1585717,15351910.4674538
"Offtake Liveweight (kg)","Overall",42569314.3784082,3187605.52622358,36539531.8359163,40938591.8597687,42348111.1595606,44433032.4315115,47117938.6939068
"Offtake Liveweight (kg)","Juvenile Female",1877208.05543822,481379.516345866,1289488.65515515,1610419.98227103,1736337.38648019,2176161.56360148,2790065.8807357
"Offtake Liveweight (kg)","Juvenile Male",10749374.3701319,2282304.60790905,6848238.8072827,9878739.99436455,10266645.6220086,11772585.4667463,14591130.497093
"Offtake Liveweight (kg)","Adult Female",11011223.2251812,1436219.78217048,8715232.7416951,10129655.7058429,10864115.3579161,12140408.0958542,13149712.5878896
"Offtake Liveweight (kg)","Adult Male",14531849.3130656,1620205.91806211,12760632.5022759,13356592.6883719,14198802.2294997,15188693.9963008,17992725.6134529
"Offtake Liveweight (kg)","Oxen",4399659.41459121,482724.374020089,3727624.47230491,4102309.37523637,4305755.77878693,4846443.24250736,5051736.0742068
"Meat (kg)","Overall",136347069.292315,5179615.92659056,127295328.497446,135335834.191408,137043377.201713,138317245.768812,144028071.399299
