"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",187123.00997363,90.9544416287335,186853.378799081,187063.157644534,187126.180733411,187190.269202509,187357.202110857
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",12282.32572001,13.2791725326198,12242.9596202024,12273.5077301745,12282.7017714122,12291.2332352195,12328.6923312666
"Num Offtake","Juvenile Male",56383.0724005081,77.8317753911449,56135.7264461127,56329.7947701426,56386.5973229684,56440.7828393352,56585.5263165691
"Num Offtake","Juvenile Combined",68665.3981205181,78.7805124063652,68428.4740772887,68614.6059110875,68667.6971014197,68723.3976625009,68870.3660770438
"Num Offtake","Adult Female",44938.1290516573,1.84289210907184,44931.6268430806,44936.9355790883,44938.209958658,44939.3070827483,44944.8447641016
"Num Offtake","Adult Male",56812.8417269235,12.3806603332949,56776.3485494511,56804.3964509312,56813.3691586881,56821.7283135273,56843.1580272197
"Num Offtake","Oxen",16706.641074531,0.165347783771723,16706.1565326886,16706.5348007555,16706.653360039,16706.7534793618,16707.0572205768
"Cml Pop Growth","Overall",148879.46251909,2825.70414283865,137294.533455225,147205.059778053,148847.173719072,150761.785993146,157130.578930261
"Cml Pop Growth","Neonatal Female",-28749.7058889307,1356.97368137727,-33411.6334666395,-29658.6921552838,-28688.7769799336,-27782.1671216077,-24646.1429391503
"Cml Pop Growth","Neonatal Male",-4593.99322693767,1309.34444970991,-9500.30096613691,-5479.1285170726,-4520.34657395413,-3689.19771846219,-898.84240143231
"Cml Pop Growth","Neonatal Combined",-33343.6991158684,1863.50401630041,-40792.2278142786,-34455.8755362988,-33326.2062875361,-32060.9023742918,-27899.4067178134
"Cml Pop Growth","Juvenile Female",75163.473666183,826.95692479413,72468.6697101208,74615.2444717738,75191.1334847683,75724.3281344011,77749.0854981856
"Cml Pop Growth","Juvenile Male",84818.566115559,662.225711315692,82476.8170692219,84354.1437386391,84833.2020530959,85286.2494916421,86607.4980821069
"Cml Pop Growth","Juvenile Combined",159982.039781742,1051.27759877357,156189.980607345,159303.898581496,159985.450610841,160689.240476692,163164.321851427
"Cml Pop Growth","Adult Female",-4463.63739398847,172.834807957902,-4972.99979429785,-4578.62663663394,-4459.4210123379,-4347.86150934367,-3862.53287195344
"Cml Pop Growth","Adult Male",32143.7946737341,124.769867913235,31742.9853545285,32059.9248339132,32148.2307842118,32236.015196057,32470.5688940383
"Cml Pop Growth","Oxen",-5439.0354265293,2.39129264115334,-5446.0705440227,-5440.66423795833,-5438.92381451143,-5437.32149939846,-5433.15237542031
"Total Number Increase","Overall",336002.47249272,2873.82750698634,324216.810594046,334296.012918878,336011.462155338,337903.596513328,344375.017968039
