"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",486793.317751128,89056.2459645947,270554.150394569,433838.016165562,483675.060560817,556254.692329885,668704.309706306
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",43484.287879314,9217.69388746888,21039.5224757003,38091.613994285,43043.4914155852,50834.4016771654,62241.8198816996
"Num Offtake","Juvenile Male",291317.788636574,67047.9641641925,128080.432370053,252368.865655399,287602.655414075,345184.346897966,427735.168528934
"Num Offtake","Juvenile Combined",334802.076515888,76265.351987245,149119.954845754,290476.948234307,330684.556783105,396018.748575131,489976.988410633
"Num Offtake","Adult Female",39451.4109280129,1042.23183449789,37012.6522923466,38767.4932840968,39394.8885027248,40131.2415483349,41718.1770575345
"Num Offtake","Adult Male",95430.2296097712,11859.1313638802,67615.6261448722,87648.4830782309,94952.5412128246,103284.192494689,121083.309543578
"Num Offtake","Oxen",17109.6006974555,136.809300930501,16795.7305616275,17024.1564587556,17101.4221467932,17196.1221303588,17421.7504627534
"Cml Pop Growth","Overall",24796115.6481364,5754669.20777251,10857439.5936187,21028337.6197968,24734282.327937,28269778.9168307,41649034.1726327
"Cml Pop Growth","Neonatal Female",8276754.59323538,2024430.64034485,3651817.57137587,6967494.31642258,8516182.22219566,9466422.04081291,14363973.1232662
"Cml Pop Growth","Neonatal Male",8299239.69693892,2024430.64034485,3674302.67507941,6989979.42012612,8538667.3258992,9488907.14451645,14386458.2269697
"Cml Pop Growth","Neonatal Combined",16575994.2901743,4048861.28068971,7326120.24645528,13957473.7365487,17054849.5480949,18955329.1853294,28750431.3502359
"Cml Pop Growth","Juvenile Female",3650968.7064767,856362.109261379,1596716.23254252,3052240.73564437,3640932.82162462,4209967.25311288,5754181.24396206
"Cml Pop Growth","Juvenile Male",3477171.02845733,808579.936786597,1546280.51321731,2910736.47637185,3455425.8285661,4006931.99337972,5478006.99248285
"Cml Pop Growth","Juvenile Combined",7128139.73493403,1664855.47227228,3142996.74575983,5966095.29036944,7092924.40881624,8214251.34842272,11232188.2364449
"Cml Pop Growth","Adult Female",557355.958793688,151131.522290094,189173.851118949,469265.113242732,549392.029044728,678658.989490606,864607.200689608
"Cml Pop Growth","Adult Male",532507.270765486,135378.624843205,202459.861552883,453379.105167638,520863.939507092,643771.087974242,807009.260898534
"Cml Pop Growth","Oxen",2118.39346885174,2309.43769634291,-3311.11126824919,604.157729082746,2028.78809221688,3660.43652073262,7093.01296240487
"Total Number Increase","Overall",25282908.9658875,5826299.9752264,11127993.7440133,21526133.7967195,25158852.8484587,28822252.2833004,42308022.340766
"Total Number Increase","Neonatal Female",8276754.59323538,2024430.64034485,3651817.57137587,6967494.31642258,8516182.22219566,9466422.04081291,14363973.1232662
"Total Number Increase","Neonatal Male",8299239.69693892,2024430.64034485,3674302.67507941,6989979.42012612,8538667.3258992,9488907.14451645,14386458.2269697
"Total Number Increase","Neonatal Combined",16575994.2901743,4048861.28068971,7326120.24645528,13957473.7365487,17054849.5480949,18955329.1853294,28750431.3502359
"Total Number Increase","Juvenile Female",3694452.99435602,865026.502047312,1617755.75501822,3088503.83370405,3688516.17777112,4257993.33941606,5815793.20098107
"Total Number Increase","Juvenile Male",3768488.81709391,871585.533853967,1674360.94558736,3163344.50412893,3766808.32023484,4336531.06706852,5901981.2079938
"Total Number Increase","Juvenile Combined",7462941.81144992,1736605.43798782,3292116.70060558,6251848.33783297,7455324.49800596,8594524.40648457,11717774.4089749
"Total Number Increase","Adult Female",596807.369721701,152149.163191415,226186.503411295,508110.102742253,588982.675842589,718745.961027673,906195.99307003
"Total Number Increase","Adult Male",627937.500375257,146947.579167611,270075.487697755,542602.750994424,619009.54402986,746473.956467339,926752.641498915
"Total Number Increase","Oxen",19227.9941663072,2444.2717048338,13494.8058433471,17624.1369861379,19129.7938752428,20847.2208297955,24514.7634251583
"Total Mortality","Overall",237770.798070109,47381.0118676969,124460.144594527,208934.53516356,235597.316673858,278162.878886144,344403.078041854
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",110134.485232341,23880.6870625429,53357.4222227875,94411.0943823107,107382.926282067,129796.801344615,163392.166806942
"Total Mortality","Juvenile Male",97882.5275804076,22642.5436837902,43770.6448120789,83350.7740116231,97466.2405895481,116129.618228241,149135.920918463
"Total Mortality","Juvenile Combined",208017.012812748,46374.5783671978,97128.0670348664,179875.514152183,205853.404212334,247688.823234634,312528.087725404
"Total Mortality","Adult Female",26656.3587351439,704.210698985059,25008.5488461801,26194.2522189844,26618.1679072465,27115.7037488749,28187.9574713071
"Total Mortality","Adult Male",2626.52008100288,326.398110932482,1860.9805360974,2412.34357096048,2613.37269393095,2842.68419710154,3332.56815257555
"Total Mortality","Oxen",470.90644121437,3.76539360359176,462.267813622775,468.554764919878,470.68134348972,473.287765055745,479.497719158351
"Population Liveweight (kg)","Overall",3394598859.2364,756948668.997017,1237833989.99726,2845828646.17511,3415904279.55764,3896762859.60545,5555654649.95052
"Population Liveweight (kg)","Neonatal Female",719636137.539503,227262565.082096,267795227.351152,565265443.794551,700027102.165067,894534711.391832,1376050970.83656
"Population Liveweight (kg)","Neonatal Male",756270130.775274,280155581.238224,154791991.603419,592013497.876075,742717931.654206,979097655.367178,1422143955.55249
"Population Liveweight (kg)","Juvenile Female",655103058.97233,207407175.95023,182419467.790888,501295194.899099,613157744.643885,779603856.643283,1400829561.53402
"Population Liveweight (kg)","Juvenile Male",655111743.436372,208589906.736385,203301749.675045,506563413.696206,619858988.860083,766852724.879093,1242484708.2063
"Population Liveweight (kg)","Juvenile Combined",1310214802.4087,361887349.070319,385721217.465933,1046291809.02364,1263999967.47534,1529007746.93688,2359602040.46788
"Population Liveweight (kg)","Adult Female",418735471.849588,71130393.9671766,269452819.012497,362429820.447546,420594606.981463,462613363.80472,595415906.245409
"Population Liveweight (kg)","Adult Male",176211078.838696,45810346.9449927,95471812.4955423,139743481.106586,171274293.004233,201547816.318796,331853417.352836
"Population Liveweight (kg)","Oxen",13531237.8246336,2155374.51385111,8903071.91646266,11916691.518664,13566297.4272872,14782821.4753179,20230498.4823854
"Offtake Liveweight (kg)","Overall",101412358.56675,21333021.0821654,54406197.3507552,87029737.377709,97987893.1724649,118458626.125027,149840202.897986
"Offtake Liveweight (kg)","Juvenile Female",7040419.0171286,2248260.43767679,3103676.03689256,5577332.49011551,6581862.95918898,8168283.22405942,13463887.2389058
"Offtake Liveweight (kg)","Juvenile Male",55315126.1346587,16794936.4473329,21347079.5520672,43726255.4319421,53527500.7837959,65694074.2953923,97121552.9774781
"Offtake Liveweight (kg)","Adult Female",9456554.63313741,1405433.29391126,6888656.73749826,8321924.15525991,9319343.27354193,10570785.309155,13143290.724754
"Offtake Liveweight (kg)","Adult Male",25133549.3569289,5025708.56859412,15367080.2971838,20808180.4245523,25451037.0029185,29490954.0773483,36650988.4938601
"Offtake Liveweight (kg)","Oxen",4466709.42489661,711236.445054805,3202665.15770552,3928275.88387701,4388005.31233696,5062591.50872115,6213698.90839801
"Meat (kg)","Overall",226588416.596112,34826550.5313353,144717766.717265,203992196.147339,226800616.179179,251400128.92688,318103411.773535
"Manure","Overall",5033164182.06575,926386197.879629,2720477882.117,4408088813.58161,5029762268.07574,5653470343.73835,7363317493.84283
"Manure","Neonatal Female",1226977511.0481,277887862.087038,545467068.244627,1034290821.00699,1227222906.24659,1419784711.70553,1950611096.14423
"Manure","Neonatal Male",1224653690.31465,282021627.366403,530750232.203632,1020384678.295,1212113145.63336,1432274912.90873,1970863368.58915
"Manure","Neonatal Combined",2451631201.36275,557950354.709698,1076217300.44826,2080907206.47984,2436314791.90176,2848628437.91865,3921474464.73337
"Manure","Juvenile Female",734910858.969577,162683054.56298,336262732.572663,608531066.779264,728224649.568301,843428133.635374,1099321856.47829
