"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",401244.796031082,60330.9000592138,268742.220115226,356337.617485775,401156.569457839,446730.427379343,546048.946878688
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",33383.4869460468,5966.2039215207,20213.931405415,29147.9883818107,33142.2845247801,37845.0691913933,47958.2364668725
"Num Offtake","Juvenile Male",224933.881393023,43711.0731616816,128224.036638756,193871.079731084,223414.55925863,257331.995054766,331702.815324043
"Num Offtake","Juvenile Combined",258317.36833907,49676.8122195204,148437.968044171,223068.485977091,256554.774332962,295177.06424616,379661.051790916
"Num Offtake","Adult Female",31148.1424938779,699.352811213043,29648.3566651647,30717.1190069256,31111.9776449082,31640.9264255398,32644.6668008046
"Num Offtake","Adult Male",94603.2974529908,10103.3982975478,72984.686513663,88263.6533078642,94106.3532252195,101789.398648969,116338.863219124
"Num Offtake","Oxen",17175.9877451438,121.318415079136,16919.0590413808,17096.2694899116,17161.8073513552,17272.2807340975,17415.1273633054
"Cml Pop Growth","Overall",23770794.3536815,5065192.81323358,13086400.5781087,19867711.2707191,23570374.4131758,27318157.0781511,35483126.6027314
"Cml Pop Growth","Neonatal Female",7892169.62526076,1890068.75973859,4191054.52396412,6579248.52519157,7830955.7320475,9140479.13312606,12028769.7920768
"Cml Pop Growth","Neonatal Male",7913617.38540507,1888058.07383018,4212915.94787233,6622568.83843287,7906864.33712171,9088274.89450829,12088954.8461605
"Cml Pop Growth","Neonatal Combined",15805787.0106658,3777816.25632762,8408423.224996,13194643.228945,15737820.0691692,18237268.7005253,24117724.6382373
"Cml Pop Growth","Juvenile Female",3511063.88660233,704379.719912922,2085598.42489526,2947338.63678107,3624264.9618406,4050361.87514004,5215176.04395778
"Cml Pop Growth","Juvenile Male",3386949.20711926,673267.042822989,2029214.79115685,2853831.22521354,3490202.70828826,3916336.05493624,5003563.16392946
"Cml Pop Growth","Juvenile Combined",6898013.09372159,1377540.87942364,4115147.79764926,5801169.8619946,7129361.60507306,7966697.93007628,10218739.2078872
"Cml Pop Growth","Adult Female",545403.523176837,123982.590556715,271423.140125429,457932.116255776,540617.224725296,637618.839768305,849136.603356198
"Cml Pop Growth","Adult Male",519238.51025972,111528.498305953,271672.389439591,438575.4024717,517130.458074611,600178.327794821,794294.468660059
"Cml Pop Growth","Oxen",2352.2158575378,1966.21607800271,-1853.41274268888,1083.76875689662,2244.83186250712,3772.29341920741,6610.53789023276
"Total Number Increase","Overall",24172039.1497126,5106348.62742571,13357588.7180028,20232267.8766389,23984299.6271055,27740968.715058,35978387.2296045
"Total Number Increase","Neonatal Female",7892169.62526076,1890068.75973859,4191054.52396412,6579248.52519157,7830955.7320475,9140479.13312606,12028769.7920768
"Total Number Increase","Neonatal Male",7913617.38540507,1888058.07383018,4212915.94787233,6622568.83843287,7906864.33712171,9088274.89450829,12088954.8461605
"Total Number Increase","Neonatal Combined",15805787.0106658,3777816.25632762,8408423.224996,13194643.228945,15737820.0691692,18237268.7005253,24117724.6382373
"Total Number Increase","Juvenile Female",3544447.37354837,709784.718125587,2106140.59846129,2974478.69949889,3657345.05282034,4083916.6294491,5263134.28042465
"Total Number Increase","Juvenile Male",3611883.08851229,712856.732590021,2163110.06084327,3034497.61070227,3731813.74563833,4162532.58289271,5335265.97925351
"Total Number Increase","Juvenile Combined",7156330.46206066,1422586.02585162,4270021.69030582,6007639.80769945,7393085.09550661,8226788.3429195,10598400.2596782
"Total Number Increase","Adult Female",576551.665670715,124659.428754031,301132.558902396,488693.747266368,571696.283936337,669365.748849352,881781.270157003
"Total Number Increase","Adult Male",613841.807712711,121295.176381883,345310.852068101,527339.044333623,609752.279320319,703422.19862956,910633.331879183
"Total Number Increase","Oxen",19528.2036026816,2085.56386875987,15065.6462986919,18219.5614626325,19425.6233721783,21011.5731156129,24014.9029580761
"Total Mortality","Overall",1349489.666138,255849.774019691,799028.248424237,1125106.18676444,1371923.89912556,1527275.8765499,1940158.75382815
"Total Mortality","Neonatal Female",558236.682362449,111852.36147934,327907.547982916,468694.906275091,575821.36519711,641492.665358795,828673.222821522
"Total Mortality","Neonatal Male",559302.44300314,116164.83052413,319602.811471241,471473.788133741,570993.862034947,641081.495312156,802216.18881318
"Total Mortality","Neonatal Combined",1117539.12536559,220498.011587632,647510.359454157,920485.241503072,1143883.10755318,1269605.94434611,1611477.62980133
"Total Mortality","Juvenile Female",107162.573946381,19383.6080970866,61439.6020878255,93084.2355441466,106391.669557913,122015.230098307,152183.324158728
"Total Mortality","Juvenile Male",95525.886193254,18440.3905360874,55646.0380173986,83349.2208510404,94693.5744044401,111483.765280032,145356.683563083
"Total Mortality","Juvenile Combined",202688.460139635,37647.0560492785,117085.640105224,176696.843557973,200424.303789035,234547.776678753,297540.007721811
"Total Mortality","Adult Female",26658.320152418,598.545198785938,25374.7196683842,26289.4261770985,26627.3682546511,27080.0721660025,27939.1292439319
