"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.8974989745,1.76905887865415,17327.2388104028,17331.8053595242,17332.9347457221,17333.9705972738,17338.9190921804
"Num Offtake","Neonatal Female",1204.52955755217,0.239031320772355,1203.76542111727,1204.3809097745,1204.53477914239,1204.67396893673,1205.34259351407
"Num Offtake","Neonatal Male",3693.29012680708,1.31314211340801,3689.11436991813,3692.47524959314,3693.3185873606,3694.08187636267,3697.74202766218
"Num Offtake","Neonatal Combined",4897.81968435925,1.55196672763193,4892.88889816538,4896.84774895266,4897.85515988588,4898.75296971477,4903.08462117625
"Num Offtake","Juvenile Female",4148.36382312229,0.192681525811057,4147.74727218636,4148.23046281982,4148.3677235831,4148.4873612418,4149.00252956219
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.36382312229,0.192681525811057,4147.74727218636,4148.23046281982,4148.3677235831,4148.4873612418,4149.00252956219
"Num Offtake","Adult Female",7938.83266681581,0.0222463893102025,7938.76315080685,7938.81698975036,7938.83292281933,7938.84739526341,7938.90284639525
"Num Offtake","Adult Male",347.881324677176,0.0154847572674207,347.832964494607,347.87041126574,347.881498785744,347.891534020018,347.930186197558
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2712.10821626299,8.94364435779507,-2738.7784830858,-2717.72324808534,-2711.94934792441,-2706.04097296442,-2683.479010749
"Cml Pop Growth","Neonatal Female",-1342.64541115449,3.26245962522488,-1352.15583121491,-1344.94945615075,-1342.65297306798,-1340.39269979767,-1332.06249381207
"Cml Pop Growth","Neonatal Male",2716.08042047666,2.71674802229574,2708.22830056191,2714.23228653014,2716.11210468255,2717.92718248885,2725.22708604569
"Cml Pop Growth","Neonatal Combined",1373.43500932217,5.96085932312476,1356.08372339394,1369.32129333143,1373.50800305605,1377.55001079369,1393.16459223363
"Cml Pop Growth","Juvenile Female",-1524.45393451234,1.62582394560671,-1529.68183654019,-1525.48656428221,-1524.42723420529,-1523.44630536178,-1518.98338000358
"Cml Pop Growth","Juvenile Male",3418.52285560014,1.50716536955478,3413.68309287359,3417.56020517955,3418.53521857881,3419.44220449457,3423.57787778259
"Cml Pop Growth","Juvenile Combined",1894.0689210878,3.13280215496338,1884.0012563334,1892.0680722708,1894.11019641835,1895.99881349712,1904.59449777901
"Cml Pop Growth","Adult Female",-7218.29151986931,0.304124768245166,-7219.2689983009,-7218.50234540448,-7218.28500907589,-7218.09569478961,-7217.27914118932
"Cml Pop Growth","Adult Male",1238.67937319635,0.310538114998808,1237.68260477139,1238.46433310561,1238.68683742912,1238.88057147017,1239.71218412894
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14620.7892827115,10.503688178668,14588.5600779481,14614.0336368307,14620.9840143356,14627.6235939566,14654.0027405396
"Total Number Increase","Neonatal Female",-138.115853602326,3.43861723515371,-148.203496558288,-140.463225930028,-138.12281861121,-135.752947094456,-127.140143732976
"Total Number Increase","Neonatal Male",6409.37054728375,3.68696318942345,6398.47560604125,6406.8927553583,6409.35317074638,6411.91632309217,6421.04389810181
"Total Number Increase","Neonatal Combined",6271.25469368142,7.11963009210196,6250.27210948296,6266.40872282049,6271.32166338945,6276.1888839693,6293.90043243395
"Total Number Increase","Juvenile Female",2623.90988860996,1.80555606643054,2618.13794832991,2622.76452494368,2623.94888373557,2625.00496109188,2630.01914955862
"Total Number Increase","Juvenile Male",3418.52285560014,1.50716536955478,3413.68309287359,3417.56020517955,3418.53521857881,3419.44220449457,3423.57787778259
"Total Number Increase","Juvenile Combined",6042.4327442101,3.31114457187972,6031.82104120351,6040.33039258283,6042.48623058075,6044.46119988694,6053.5970273412
"Total Number Increase","Adult Female",720.541146946493,0.32577679136765,719.496631530741,720.316101995014,720.548383548888,720.752913965836,721.623093703713
"Total Number Increase","Adult Male",1586.56069787352,0.325618604759536,1585.51732785883,1586.33479065376,1586.5677441802,1586.77177128259,1587.64189067784
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.26629011063,0.645305210477459,5995.1972571675,5996.86770638156,5997.27883345718,5997.66213161773,5999.46384354159
"Total Mortality","Neonatal Female",1522.08734999774,0.302048668975989,1521.12175941182,1521.8995132605,1522.09394818902,1522.26983347459,1523.11473180415
"Total Mortality","Neonatal Male",723.052574121387,0.257079934878467,722.235066786788,722.893041821756,723.058145976231,723.207578611847,723.924143443722
"Total Mortality","Neonatal Combined",2245.13992411913,0.558986636804638,2243.35905690623,2244.78750236275,2245.15341366161,2245.4756357794,2247.03887524787
"Total Mortality","Juvenile Female",918.566275119936,0.0426651950010206,918.429753126981,918.536745338675,918.567138793401,918.593629989255,918.707702974486
