"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",19006.3838203225,248.837435968704,18673.9023212871,18766.093044384,19001.8430904153,19240.5960857567,19322.5947932127
"Num Offtake","Neonatal Female",1388.30265055754,33.4638841739223,1343.32394937053,1356.02114888619,1387.77262669659,1419.69192146821,1430.74238202776
"Num Offtake","Neonatal Male",4719.54030877779,182.182445348465,4468.49464645697,4546.47731579702,4718.42140271705,4890.29179664618,4947.30892358845
"Num Offtake","Neonatal Combined",6107.84295933533,215.637132574628,5811.8185958275,5902.4984646832,6106.19402941364,6309.98371811439,6378.05130561622
"Num Offtake","Juvenile Female",4275.02632773909,27.9705962171715,4242.12051220635,4248.42510507418,4272.85819846677,4301.35501073043,4313.01186122761
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4275.02632773909,27.9705962171715,4242.12051220635,4248.42510507418,4272.85819846677,4301.35501073043,4313.01186122761
"Num Offtake","Adult Female",8266.69444682093,3.43610841978199,8262.32199904825,8263.79452625415,8266.26521967054,8269.96881208485,8271.44965522134
"Num Offtake","Adult Male",356.820086427165,2.35711182922573,353.820444395545,354.830955454562,356.525642864358,359.064965856743,360.081971147571
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",7606.08050805979,1196.66533843726,5792.50236219695,6731.32823693294,7903.62275814131,8423.62675681106,8993.71343812638
"Cml Pop Growth","Neonatal Female",1575.68237953639,404.020546037296,904.275681708916,1339.77578071164,1693.43584563026,1827.04726463524,2035.38884272666
"Cml Pop Growth","Neonatal Male",5048.48140752112,320.183261106771,4479.87214789022,4882.35944074206,5150.94060930563,5272.97266522642,5411.22892533454
"Cml Pop Growth","Neonatal Combined",6624.16378705751,722.811636876304,5384.14782959914,6222.72399310389,6843.19891163551,7100.01992986167,7446.61776806121
"Cml Pop Growth","Juvenile Female",-234.681698671535,221.508116421043,-550.150895600782,-440.199177649117,-232.98022295288,-28.4988013880993,36.9061162620583
"Cml Pop Growth","Juvenile Male",4622.21558809631,204.636926387777,4327.9491051926,4433.72762822092,4624.62896238775,4812.91804713762,4871.13963491801
"Cml Pop Growth","Juvenile Combined",4387.53388942478,426.136947269147,3777.79820959182,3993.52845057181,4391.64873943487,4784.41924574952,4908.04575118007
"Cml Pop Growth","Adult Female",-4850.42010995058,44.7879541598578,-4902.57720635744,-4893.02078303089,-4853.64354877096,-4808.54770237425,-4789.77013528497
"Cml Pop Growth","Adult Male",1444.80294152808,44.8057983652653,1392.55606348989,1402.17917794751,1441.54818729673,1486.76514371685,1505.48840476926
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",26612.4643283823,1435.12335125478,24466.404683484,25496.7434839153,26905.4658485566,27640.6074436865,28277.6979548123
"Total Number Increase","Neonatal Female",2963.98503009393,434.016384273063,2256.64599286244,2695.79692959783,3099.90732531004,3231.29259944806,3461.06119904437
"Total Number Increase","Neonatal Male",9768.0217162989,482.435468819464,9003.27243413377,9443.20538025802,9915.30345855415,10064.4641927063,10330.9343110826
"Total Number Increase","Neonatal Combined",12732.0067463928,916.089715476485,11259.9184269962,12139.0023098558,13030.2634095943,13288.2304792893,13791.995510127
"Total Number Increase","Juvenile Female",4040.34462906755,248.908001307969,3693.80670975716,3805.57988043472,4039.87797551389,4272.85620934233,4349.91797748967
"Total Number Increase","Juvenile Male",4622.21558809631,204.636926387777,4327.9491051926,4433.72762822092,4624.62896238775,4812.91804713762,4871.13963491801
"Total Number Increase","Juvenile Combined",8662.56021716387,453.471817318884,8021.75581494976,8239.30750865564,8664.50693790164,9085.77425647995,9221.05761240769
