"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9889.05257319738,0.976325640075694,9886.89148205095,9888.42931184259,9889.05933248304,9889.7284534613,9891.56555954387
"Num Offtake","Neonatal Female",650.075644118305,0.123816084765209,649.801206952851,649.994974099476,650.076481254443,650.162338192564,650.391013937522
"Num Offtake","Neonatal Male",2179.21300472286,0.735319649368768,2177.58705751401,2178.73881866404,2179.22428308202,2179.72528533994,2181.06918931373
"Num Offtake","Neonatal Combined",2829.28864884117,0.859094133771044,2827.38826446686,2828.73379276351,2829.30076433647,2829.88987558656,2831.46020325125
"Num Offtake","Juvenile Female",2343.16430161412,0.101529920837128,2342.94941498594,2343.09623167171,2343.16546574129,2343.23592799691,2343.4366742266
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",2343.16430161412,0.101529920837128,2342.94941498594,2343.09623167171,2343.16546574129,2343.23592799691,2343.4366742266
"Num Offtake","Adult Female",4405.17212844721,0.0117238453734161,4405.14543712921,4405.16352348079,4405.17177473217,4405.18016829683,4405.20394976065
"Num Offtake","Adult Male",311.427494294877,0.0137216328547162,311.396251877239,311.417447847806,311.427082959613,311.436894681835,311.464732305374
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",6842.55546176937,10.1720995744289,6819.31270003283,6834.74251285475,6843.06863820532,6849.2489698645,6866.99737319777
"Cml Pop Growth","Neonatal Female",-433.649329889983,3.65225415011576,-442.738226405156,-436.30558448604,-433.657309134913,-430.898825375049,-423.544002348686
"Cml Pop Growth","Neonatal Male",4238.18400033667,3.32698378148896,4229.77848650432,4235.77042780729,4238.12216143394,4240.72582586283,4247.75711777812
"Cml Pop Growth","Neonatal Combined",3804.53467044669,6.97403287854032,3787.04026009917,3799.44244617655,3804.45073190556,3809.96471672222,3824.21311542943
"Cml Pop Growth","Juvenile Female",964.152545193294,1.74167569240116,960.321047187055,963.074977524664,964.224632124049,965.374869225247,968.443025072593
"Cml Pop Growth","Juvenile Male",4181.1846969425,1.67469430836878,4177.51160905063,4180.16251032405,4181.25536673763,4182.36690988247,4185.29097812431
"Cml Pop Growth","Juvenile Combined",5145.33724213579,3.41629332446286,5137.83265623769,5143.23748784871,5145.47999886168,5147.74177910772,5153.73400319691
"Cml Pop Growth","Adult Female",-3497.55626763041,0.317730183060452,-3498.23646245668,-3497.76549540443,-3497.55182629738,-3497.34178421957,-3496.70723670875
