"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2247081.87961382,399642.599182577,1716691.37123216,1899949.04028073,2316607.81459454,2516888.47138956,2954741.3028994
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",271159.816228269,57537.3146114429,195340.270843368,218936.186034994,284758.692546512,306824.783852908,375129.67268564
"Num Offtake","Juvenile Male",1142229.32445826,269846.430770113,789459.930119024,893913.807790958,1211537.12034599,1304068.66480758,1633455.57134667
"Num Offtake","Juvenile Combined",1413389.14068653,327376.628803597,984800.200962393,1112849.99382595,1496295.8128925,1610893.44866049,2008585.24403231
"Num Offtake","Adult Female",169058.223057475,6403.46542496732,160375.478899148,165329.654006794,167664.70234618,174710.22315499,178214.930459372
"Num Offtake","Adult Male",664634.515869813,69846.505337831,570702.478333178,621756.770789948,652672.542671931,725336.708830117,767941.128407722
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",77573051.0128625,10708442.7225277,58310080.6039122,73068403.8244877,80348400.2439278,85745258.5749459,89221839.4611913
"Cml Pop Growth","Neonatal Female",26967953.2188408,4063769.07257255,19716876.7812851,24555645.4299999,26360583.4645648,30201964.6010388,32834780.3415529
"Cml Pop Growth","Neonatal Male",27300164.8596211,4070950.75305537,20032080.7451991,24859012.8468643,26735597.2742507,30496747.2515278,33236716.4404821
"Cml Pop Growth","Neonatal Combined",54268118.0784619,8134623.38892633,39748957.5264842,49414658.2768642,53096180.7388154,60698711.8525665,66071496.782035
"Cml Pop Growth","Juvenile Female",10801833.2795183,2444631.00438849,7055279.75013176,9004190.37039594,10716392.1233714,12171746.1025017,15427268.8748377
"Cml Pop Growth","Juvenile Male",10006194.5509936,2280019.62298507,6447874.20112777,8445830.29955546,9819725.02843549,11292989.9446162,14296632.0277102
"Cml Pop Growth","Juvenile Combined",20808027.8305119,4723920.53619251,13503153.9512595,17450020.6699514,20536117.1518069,23464736.047118,29723900.9025479
"Cml Pop Growth","Adult Female",1465964.58900671,420894.178373775,913910.135435326,1077869.49719045,1575773.46468328,1716539.85628647,2232158.12179492
"Cml Pop Growth","Adult Male",1030940.51488198,348599.395112151,585554.066095675,691577.157801845,1152800.57409562,1207759.96990764,1681316.70898626
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",79820132.8924763,10837452.1556408,60303934.1573871,75609984.1517842,82388082.8086697,88011054.0238912,91548705.7322134
"Total Number Increase","Neonatal Female",26967953.2188408,4063769.07257255,19716876.7812851,24555645.4299999,26360583.4645648,30201964.6010388,32834780.3415529
"Total Number Increase","Neonatal Male",27300164.8596211,4070950.75305537,20032080.7451991,24859012.8468643,26735597.2742507,30496747.2515278,33236716.4404821
"Total Number Increase","Neonatal Combined",54268118.0784619,8134623.38892633,39748957.5264842,49414658.2768642,53096180.7388154,60698711.8525665,66071496.782035
"Total Number Increase","Juvenile Female",11072993.0957466,2494333.81683662,7269787.32070127,9202043.09902013,11025856.259121,12467654.8805355,15802398.5475233
"Total Number Increase","Juvenile Male",11148423.8754518,2513644.70308703,7321193.40621464,9247062.17517418,11135500.7708057,12551591.8079339,15930087.5990569
"Total Number Increase","Juvenile Combined",22221416.9711984,5007904.99055774,14590980.7269159,18449105.2741943,22161357.0299267,25019246.6884694,31732486.1465802
"Total Number Increase","Adult Female",1635022.81206419,426793.835630182,1074466.6806873,1243211.77285528,1743412.92371339,1892080.98048717,2410373.05225429
"Total Number Increase","Adult Male",1695575.03075179,412877.595958898,1156888.69111347,1313333.92859179,1805473.11676755,1939350.5071856,2449257.83739398
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",4642973.46966392,955065.60699528,3280617.29971348,3817812.99482671,4864981.07115661,5152514.82288434,6379226.99765375
"Total Mortality","Neonatal Female",1774526.94640131,390689.204539933,1186119.16374823,1479749.05007339,1819673.46581643,1986748.06400183,2497676.67708101
"Total Mortality","Neonatal Male",1731093.48748851,387463.551106397,1148426.32735504,1410776.08889712,1764776.04492891,1947474.94421347,2393899.1600749
"Total Mortality","Neonatal Combined",3505620.43388981,776590.221130375,2334545.49110327,2869271.82740184,3584449.51074535,3934223.0082153,4891575.83715591
"Total Mortality","Juvenile Female",438605.835670062,92318.9103879999,320211.54264059,355304.200063163,460754.111499256,495399.848353772,603958.151752249
"Total Mortality","Juvenile Male",375508.294848676,88745.9442427132,258635.953467197,293483.74641209,399465.884482769,430087.448962928,533917.381428208
"Total Mortality","Juvenile Combined",814114.130518738,181032.560697281,578847.496107787,648787.946475253,860219.995982025,925487.2973167,1137875.53318046
"Total Mortality","Adult Female",234080.61654112,8866.33674226242,222058.35539882,228917.982470945,232151.126325479,241906.462829987,246759.134482207
"Total Mortality","Adult Male",89158.2887142432,9369.65315507489,76557.6495324995,83406.3960815784,87553.6337730639,97301.2658186743,103016.492835182
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",51250649250.8961,9800358957.03533,37895742518.6277,42855555882.1201,54409682519.1114,56356018918.9863,69080724298.8459
"Value of Total Mortality","Neonatal Female",12322936123.3203,2713082560.61141,8236826563.35948,10275895251.7334,12636449353.4637,13796673832.1301,17344740924.219
"Value of Total Mortality","Neonatal Male",18020845492.715,4033531891.26558,11955225731.371,14686311344.0027,18371484073.3693,20273396742.7265,24920714681.5843
"Value of Total Mortality","Neonatal Combined",30343781616.0352,6733586441.43146,20192052294.7304,24740957629.8335,31007933426.833,34070070574.8566,42265455605.8033
"Value of Total Mortality","Juvenile Female",4998781702.0431,1052156725.85633,3649444375.69879,4049394671.69071,5251205146.83753,5646061898.29314,6883298652.80218
"Value of Total Mortality","Juvenile Male",7617880264.95509,1800375614.90835,5246908664.21361,5953860595.21989,8103904280.33135,8725119350.50566,10831501564.3995
"Value of Total Mortality","Juvenile Combined",12616661966.9982,2852058397.61411,8896353039.91241,10003255266.9106,13355109427.1689,14371181248.7988,17714800217.2017
"Value of Total Mortality","Adult Female",4723130988.53689,178899348.613201,4480553388.59493,4618962615.60785,4684198952.3682,4881035977.27389,4978950124.10274
"Value of Total Mortality","Adult Male",3567074679.32577,374864221.88578,3062944086.23446,3336951032.22507,3502875106.94411,3892861634.89018,4121518351.73817
