"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",805621.174910563,2162.23831841523,801190.496701115,803906.106372133,805234.688813445,807166.180155933,810980.404562687
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",59979.9225953936,300.777295466442,59356.2473656485,59740.8490452472,59923.5498062378,60200.2689978715,60737.659512647
"Num Offtake","Juvenile Male",164262.118164023,1415.06819282268,161319.35272356,163137.087733361,163997.364240825,165294.759922084,167841.76567605
"Num Offtake","Juvenile Combined",224242.040759417,1715.83153388613,220675.600089209,222877.936778609,223920.914047063,225495.028919956,228579.425188697
"Num Offtake","Adult Female",133774.555952179,34.5564846449975,133709.69571405,133747.992631253,133768.900907923,133796.7136335,133863.802570355
"Num Offtake","Adult Male",447604.578198967,421.28760358651,446805.200897856,447284.025731565,447534.439884703,447886.672268272,448688.080119603
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1575403.65727625,92816.5363391169,1400239.44740613,1500659.34650998,1572957.03057979,1638925.04612844,1802015.31837744
"Cml Pop Growth","Neonatal Female",95081.3576361032,32921.3072794378,26252.0210239112,71646.4084409881,96745.9536034438,118282.755102194,174013.513282291
"Cml Pop Growth","Neonatal Male",398630.581636045,32921.3072794379,329801.245023853,375195.63244093,400295.177603386,421831.979102136,477562.737282232
"Cml Pop Growth","Neonatal Combined",493711.939272148,65842.6145588757,356053.266047764,446842.040881918,497041.13120683,540114.734204329,651576.250564523
"Cml Pop Growth","Juvenile Female",597214.853132445,14816.7386247074,566537.158114605,585203.427861045,594077.785532376,606186.509786507,635012.92495637
"Cml Pop Growth","Juvenile Male",428228.637286034,13886.6940561735,399637.363251274,417258.278272221,425256.044853132,436777.98060469,463479.602508276
"Cml Pop Growth","Juvenile Combined",1025443.49041848,28701.2462251388,966174.521365879,1002461.70613327,1019333.83038551,1042908.87778957,1098492.52746465
