"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1377121.54895002,230876.346609011,892143.260709392,1214428.63511601,1349327.94571209,1521161.93312003,1982965.47275013
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",132712.108943473,28534.0325895952,71000.9685627437,112043.965878449,129461.285221643,149773.667349416,209153.900023604
"Num Offtake","Juvenile Male",574775.354518179,136825.350713041,277996.766026882,475357.200387527,559187.861658187,655902.436537901,942357.466678453
"Num Offtake","Juvenile Combined",707487.463461653,165358.991849,348997.734589626,587401.166265976,688649.14687983,805676.103887316,1151511.36670206
"Num Offtake","Adult Female",82520.3783082199,3281.47189150278,75610.8731408051,80202.9667812372,82195.6058279003,84734.8264286127,91619.0413006918
"Num Offtake","Adult Male",587113.707180143,62968.7252789347,454946.851205266,542119.398127373,581151.463051833,629815.198769299,760721.913317288
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",77195487.0727165,17037067.6213409,47638810.4231352,64942082.4937436,76268593.6942829,89154582.7029567,125457970.210258
"Cml Pop Growth","Neonatal Female",26330754.8572447,6304905.7224139,15044647.1817809,22267534.5037572,25509787.2193836,30710290.5151532,47567325.4243681
"Cml Pop Growth","Neonatal Male",26650950.1918869,6299926.21329424,15401405.0339962,22622863.2209617,25831319.9780987,31029570.7035528,47872469.8513095
"Cml Pop Growth","Neonatal Combined",52981705.0491316,12604751.9530016,30446052.2157771,44890397.7247189,51341107.1974822,61718107.0375181,95439795.2756777
"Cml Pop Growth","Juvenile Female",10883379.075704,2472135.74535187,5572710.30931471,8951294.36152814,10461742.5085163,12691028.0190676,18462360.3190832
"Cml Pop Growth","Juvenile Male",10460673.43802,2380844.39752502,5366692.50172714,8598945.75370222,10054814.3507752,12219015.3580707,17779557.6888813
"Cml Pop Growth","Juvenile Combined",21344052.513724,4852866.20221383,10939402.8110418,17550240.1152304,20516556.8592915,24916197.1323028,36241918.0079645
"Cml Pop Growth","Adult Female",1585829.69321887,436135.205444433,637475.584282599,1265320.50889096,1536697.62921667,1844433.63468446,2758559.46996059
"Cml Pop Growth","Adult Male",1283899.81664205,383563.032979539,438118.033687111,1002710.83835993,1241662.35935617,1512007.30843648,2326613.95311292
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",78572608.6216666,17204312.9976653,48792621.4966653,66177792.3528539,77660408.6877048,90482826.5813264,126891908.395509
"Total Number Increase","Neonatal Female",26330754.8572447,6304905.7224139,15044647.1817809,22267534.5037572,25509787.2193836,30710290.5151532,47567325.4243681
"Total Number Increase","Neonatal Male",26650950.1918869,6299926.21329424,15401405.0339962,22622863.2209617,25831319.9780987,31029570.7035528,47872469.8513095
"Total Number Increase","Neonatal Combined",52981705.0491316,12604751.9530016,30446052.2157771,44890397.7247189,51341107.1974822,61718107.0375181,95439795.2756777
"Total Number Increase","Juvenile Female",11016091.1846475,2499005.17787391,5643711.27787745,9065947.12301354,10589245.1447389,12836778.016017,18671514.2191068
"Total Number Increase","Juvenile Male",11035448.7925382,2509617.97335527,5644689.26775402,9087509.56857044,10604721.3138014,12868373.1101906,18721915.1555598
