"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1446339.30141256,242615.6388976,920079.570778243,1294358.3976138,1423105.81544693,1605569.61517361,2123799.64828501
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",146453.224255898,30988.8456489841,79021.8519835049,127969.540011842,143235.695393896,165523.696688186,235364.959233084
"Num Offtake","Juvenile Male",631108.73015958,148487.536312224,307535.069063926,542093.253023965,613799.804906696,722091.103602978,1057524.50940102
"Num Offtake","Juvenile Combined",777561.954415479,179475.907678439,386556.92104743,670062.793035807,757035.500300592,887614.800291164,1292889.46863411
"Num Offtake","Adult Female",89821.9380806245,3415.67943085012,82632.9324011735,87345.0809618051,89722.588346776,92138.6745853563,98420.4818604986
"Num Offtake","Adult Male",578955.408916458,60572.1680603331,450889.717329639,535504.278486396,576724.077294913,619813.461018705,732489.697790402
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",75644687.4451023,15386931.7342822,41317640.8086514,64369524.5953877,75494323.443016,85557793.5511537,123147242.719492
"Cml Pop Growth","Neonatal Female",25447753.983258,5521304.08335642,12393367.0295583,22267472.8771556,25589145.0682919,28715158.3893114,41359319.5790519
"Cml Pop Growth","Neonatal Male",25775229.2977219,5523874.57013583,12707576.5794723,22618341.28878,25978480.5114325,29024014.0194907,41638619.261522
"Cml Pop Growth","Neonatal Combined",51222983.2809798,11045107.0185288,25100943.6090306,44874143.3960812,51567625.5797244,57739172.4088021,82997938.8405739
"Cml Pop Growth","Juvenile Female",11048273.5670363,2465809.31846461,6129825.87098463,9413402.09287,10943837.2611577,12675617.8155376,19477058.1796821
"Cml Pop Growth","Juvenile Male",10547498.5556952,2366475.4575548,5799290.91976031,8943004.15938755,10426910.1661444,12085864.2877845,18659894.288301
"Cml Pop Growth","Juvenile Combined",21595772.1227315,4832173.1363257,11929116.7907449,18352158.7354447,21370158.0330021,24775095.8982215,38136952.467983
"Cml Pop Growth","Adult Female",1610334.41122887,436448.417816806,660086.735082964,1347854.09323773,1559127.4456266,1873144.11554935,2868665.89869072
"Cml Pop Growth","Adult Male",1215597.63016211,375630.366359859,395749.27373006,997339.649306915,1166798.15814183,1443467.79244015,2313767.61546098
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77091026.7465148,15568811.0608184,42550194.8989781,65763822.4277477,76802430.4175332,86976208.3344646,125271042.367777
"Total Number Increase","Neonatal Female",25447753.983258,5521304.08335642,12393367.0295583,22267472.8771556,25589145.0682919,28715158.3893114,41359319.5790519
"Total Number Increase","Neonatal Male",25775229.2977219,5523874.57013583,12707576.5794723,22618341.28878,25978480.5114325,29024014.0194907,41638619.261522
