"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",834018.403676667,93.9069623744503,833683.965378237,833959.484048404,834013.74786687,834079.231307661,834283.722458473
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",64851.6027097959,23.9170634493512,64766.8733311656,64836.585840727,64852.0031765974,64867.1906202581,64933.8286352494
"Num Offtake","Juvenile Male",172840.365370851,68.7740281897658,172602.233479269,172796.458224536,172840.374669749,172885.449951275,173042.741944427
"Num Offtake","Juvenile Combined",237691.968080647,74.0168600395285,237418.275605574,237646.175487104,237688.533741375,237740.830216564,237907.311193003
"Num Offtake","Adult Female",154832.476595608,3.20892823466284,154821.094303167,154830.480341921,154832.437224645,154834.583934656,154843.498328192
"Num Offtake","Adult Male",441493.959000412,20.3869345126355,441427.047540195,441480.226270909,441493.624000801,441506.973867907,441554.041226823
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",581128.162647666,2872.27408476521,571579.460617247,579265.139493739,581193.112270912,583002.441216252,589887.928962463
"Cml Pop Growth","Neonatal Female",-161260.980858965,1512.69371165038,-166127.472164101,-162188.584071139,-161254.26354929,-160186.677755134,-156156.01141602
"Cml Pop Growth","Neonatal Male",164164.062973284,1221.93320470362,160185.274825386,163303.43269829,164192.628245616,165009.62634706,168342.500932133
"Cml Pop Growth","Neonatal Combined",2903.08211431856,1942.23007682131,-2683.72911333444,1564.26620456603,2890.84446723014,4136.28184582081,8948.56029156467
"Cml Pop Growth","Juvenile Female",391297.480160467,863.364287682711,388349.537338272,390728.79152284,391309.785777543,391868.39183373,394055.631809654
"Cml Pop Growth","Juvenile Male",272060.457194579,516.450535476399,270285.240600491,271707.563702705,272083.378240534,272416.086102134,273602.840232001
"Cml Pop Growth","Juvenile Combined",663357.937355047,1020.02639369714,659841.482067385,662653.201438546,663389.547939109,664063.838909029,666549.741032926
"Cml Pop Growth","Adult Female",145522.830664863,177.064887390005,144897.041188918,145410.375713795,145525.044355713,145638.574707247,146130.185624763
"Cml Pop Growth","Adult Male",-230655.687486562,85.6415924219207,-230951.881179351,-230709.731648227,-230655.775710814,-230598.223260817,-230407.531823598
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1415146.56632433,2923.03997719377,1405347.27782705,1413217.68377879,1415200.91645807,1417061.56655224,1424029.54177093
"Total Number Increase","Neonatal Female",-161260.980858965,1512.69371165038,-166127.472164101,-162188.584071139,-161254.26354929,-160186.677755134,-156156.01141602
"Total Number Increase","Neonatal Male",164164.062973284,1221.93320470362,160185.274825386,163303.43269829,164192.628245616,165009.62634706,168342.500932133
"Total Number Increase","Neonatal Combined",2903.08211431856,1942.23007682131,-2683.72911333444,1564.26620456603,2890.84446723014,4136.28184582081,8948.56029156467
"Total Number Increase","Juvenile Female",456149.082870263,884.070988741814,453150.893701297,455565.536541178,456166.231778897,456736.671387098,458968.651951659
"Total Number Increase","Juvenile Male",444900.82256543,576.11304116055,442911.549401656,444506.203562655,444922.092952287,445299.142340888,446594.653869926
"Total Number Increase","Juvenile Combined",901049.905435694,1071.89594918071,897314.875441008,900305.003321328,901097.066804663,901816.782079184,904397.709497055
"Total Number Increase","Adult Female",300355.307260471,180.089977597886,299718.135492085,300241.737745766,300358.141550082,300473.04165545,300973.683952954
"Total Number Increase","Adult Male",210838.27151385,104.849677199292,210475.166360844,210771.580220003,210838.249933024,210906.745493941,211146.435070646
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",458742.882079094,2752.47966967413,449447.684381152,456921.219715169,458724.28251777,460511.656785331,468984.518892486
"Total Mortality","Neonatal Female",137714.778077535,2248.41075804629,130256.237911852,136135.726642287,137617.138865779,139226.941865491,145711.574046971
"Total Mortality","Neonatal Male",100368.401258238,1644.44971310677,94199.6183083538,99185.9098686033,100388.26104373,101535.34503892,105302.796985118
"Total Mortality","Neonatal Combined",238083.179335773,2723.83735554257,228274.507881915,236287.520654943,238125.994675526,239835.635513492,248242.990946432
"Total Mortality","Juvenile Female",104734.949291123,516.417290623696,102893.36816338,104382.065949467,104727.603037242,105092.48548051,106437.011307092
"Total Mortality","Juvenile Male",56699.9540740937,290.827551344511,55945.3972122548,56491.969389462,56694.3505680744,56896.2142254698,57671.9741686083
"Total Mortality","Juvenile Combined",161434.903365216,591.397474596325,159339.381226414,161052.298893752,161436.562217703,161831.588916458,163509.838785987
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",59224.7993781041,2.7348326785243,59215.823450514,59222.957182683,59224.7544391318,59226.5452749632,59232.859188964
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",6289530601.74611,26118938.4338943,6201736409.3771,6272119190.09434,6289389547.68538,6306735236.56713,6384227681.24672
"Value of Total Mortality","Neonatal Female",1277814476.96036,20862334.8698816,1208608900.52372,1263162928.21597,1276908511.74702,1291845395.11424,1352014368.95227
"Value of Total Mortality","Neonatal Male",929838316.035416,15234599.0657554,872689146.792892,918883416.000338,930022302.123339,940649179.079304,975551809.085177
"Value of Total Mortality","Neonatal Combined",2207652792.99578,25260242.0004313,2116682189.98707,2190995818.65684,2208058418.00179,2223890719.01033,2301891410.28549
"Value of Total Mortality","Juvenile Female",1204454054.22247,5938809.38093904,1183275833.67144,1200395888.59198,1204369572.15293,1208565727.69683,1224027802.14088
"Value of Total Mortality","Juvenile Male",1219624562.5369,6255744.48647197,1203393930.6509,1215150780.60619,1219504030.27741,1223846147.9892,1240532861.35139
"Value of Total Mortality","Juvenile Combined",2424078616.75937,8603991.00541725,2397438086.76591,2418239512.71463,2424284864.48967,2429677468.15337,2451710798.92011
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1657799191.99097,76552.448506295,1657547941.068,1657747625.92215,1657797934.07549,1657848062.50522,1658024799.30533
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",614679059.427291,198790131.604923,153186673.717535,448440698.11725,631731288.179864,769314790.132064,1090160896.2347
"Population Liveweight (kg)","Neonatal Female",49021164.4060922,28955967.9177108,992558.807105791,24844529.4251193,47726992.0339858,73390207.038566,99505398.4888397
"Population Liveweight (kg)","Neonatal Male",43947528.1230977,24470455.2631941,847722.083768423,22924056.7448129,45876789.0427471,64595098.046332,85187379.0950694
"Population Liveweight (kg)","Juvenile Female",106028612.701302,61875088.6401941,1172027.17142686,50151979.1053853,107373893.584412,160807225.959987,211595946.852349
"Population Liveweight (kg)","Juvenile Male",62774071.9255952,35614781.2138974,679848.444653491,31929112.525676,65364936.8173744,93175596.9160227,122579262.969676
"Population Liveweight (kg)","Juvenile Combined",168802684.626898,71229289.3730324,11684489.2418662,117012262.572745,165998799.694417,224020559.706669,332383493.810179
"Population Liveweight (kg)","Adult Female",297861134.849176,178302952.832805,2475593.45800849,141108855.121113,302056432.643596,455489452.123607,594259659.235217
"Population Liveweight (kg)","Adult Male",55046547.4220282,30887952.8521558,443336.300897918,26155710.1345592,57419755.5644884,82035373.1956461,106423491.81048
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",93967651.2938969,34565219.2178621,12121391.0383911,66066277.9882943,96507102.3979296,122314258.493308,166252807.881799
"Offtake Liveweight (kg)","Juvenile Female",5705645.49230134,3414996.50044349,64791.9668044084,2723131.40217329,5512389.12285855,8752826.76332421,11677237.7779607
