"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1637631.20293548,276557.610440752,1027104.15410787,1438133.71135929,1649311.28939291,1830189.54285991,2350820.17016303
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",175208.270365832,36367.6922283335,93580.2373751261,148096.763034818,177468.220070323,200257.640193999,267001.540856989
"Num Offtake","Juvenile Male",753357.919108816,173053.782881834,364114.666795787,622701.53180977,764411.37314214,872993.901599465,1187764.16185046
"Num Offtake","Juvenile Combined",928566.189474648,209420.372047499,457694.904170913,770798.294844588,941820.764273003,1073362.84155866,1454765.70270745
"Num Offtake","Adult Female",108254.851194777,4224.15690982035,99724.2812223193,105120.317812669,108637.542436919,110811.130306137,119867.248859097
"Num Offtake","Adult Male",600810.162266059,64247.6221054216,469684.968714633,551895.196057283,606647.054194681,641050.576303786,776187.218596478
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",75387546.1917141,16778103.8270697,40335951.2184557,64258018.8480251,74446034.1064095,88651729.8724725,127456835.860778
"Cml Pop Growth","Neonatal Female",25673697.168174,6317518.00259756,13577030.63418,21107127.4290539,25271818.7482096,30072921.0116724,45705417.9360549
"Cml Pop Growth","Neonatal Male",26003719.2252811,6318800.40082316,13895142.7199177,21350670.7391905,25605311.8295988,30384567.3560723,46014271.0912363
"Cml Pop Growth","Neonatal Combined",51677416.3934551,12636261.83618,27472173.3540977,42457798.1682444,50877130.5778084,60457488.3677447,91719689.0272912
"Cml Pop Growth","Juvenile Female",10756270.3157864,2349047.68690765,5706299.90646201,8865896.89373405,10716327.2668653,12357322.3530455,16055106.207147
"Cml Pop Growth","Juvenile Male",10216407.4776599,2238887.20847334,5439007.67685704,8445588.03076698,10129938.5216772,11759871.4180036,15256822.1524312
"Cml Pop Growth","Juvenile Combined",20972677.7934463,4587707.31152702,11145307.5833191,17309023.9034008,20846265.7885424,24109972.1160107,31311928.3595782
"Cml Pop Growth","Adult Female",1568615.99308805,421537.566625761,618976.943869383,1249000.57429577,1598667.08973219,1858093.54531413,2625968.4330624
"Cml Pop Growth","Adult Male",1168836.01172464,356130.22676308,357533.219810517,882486.552993432,1187026.75308033,1409897.87983611,2040685.28440478
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",77025177.3946496,16972016.4247152,41475619.8648698,65681201.3440652,75913580.7151548,90393308.1852979,129692656.33911
"Total Number Increase","Neonatal Female",25673697.168174,6317518.00259756,13577030.63418,21107127.4290539,25271818.7482096,30072921.0116724,45705417.9360549
"Total Number Increase","Neonatal Male",26003719.2252811,6318800.40082316,13895142.7199177,21350670.7391905,25605311.8295988,30384567.3560723,46014271.0912363
"Total Number Increase","Neonatal Combined",51677416.3934551,12636261.83618,27472173.3540977,42457798.1682444,50877130.5778084,60457488.3677447,91719689.0272912
"Total Number Increase","Juvenile Female",10931478.5861523,2382449.80901845,5799880.14383714,9008178.74802128,10904053.666046,12555216.4765964,16309280.7971907
"Total Number Increase","Juvenile Male",10969765.3967687,2397786.88777663,5803122.34365283,9031138.56517229,10922412.4862954,12613826.7354585,16385471.3289174
"Total Number Increase","Juvenile Combined",21901243.982921,4780213.02437087,11603002.48749,18039317.3131936,21826466.1523414,25169043.2120549,32694752.1261081
"Total Number Increase","Adult Female",1676870.84428282,425630.679630178,718701.225091702,1355227.77582116,1706301.02240455,1969597.30086256,2745835.6819215
"Total Number Increase","Adult Male",1769646.1739907,418328.31883951,827218.18852515,1451404.34634161,1798387.94692613,2057893.31294353,2816872.50300126
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",4643150.7705874,943604.923057223,2500447.30464305,3886109.69249467,4640574.94363488,5306123.65426814,6813231.14929457
"Total Mortality","Neonatal Female",1756669.60321841,378437.109340057,900873.440439781,1451915.10365636,1727679.45354939,2030704.99861338,2612034.00842182
"Total Mortality","Neonatal Male",1715447.19347466,374910.528789228,876559.954692423,1402309.70728845,1711646.78462382,1974475.56727709,2595947.56653945
"Total Mortality","Neonatal Combined",3472116.79669307,751956.052158259,1777433.3951322,2862401.52101158,3446126.42406245,4008305.13517174,5207981.57496127
"Total Mortality","Juvenile Female",448245.890100028,93109.5839931429,240105.575230985,377064.840282205,452317.580201153,512857.504805479,683680.750259911
"Total Mortality","Juvenile Male",391330.212819152,90083.6864385942,190695.699763142,323722.757237649,398416.107432051,452927.059168768,615727.200040705
"Total Mortality","Juvenile Combined",839576.10291918,183141.808505331,430801.274994127,700419.386381434,848472.235595099,966097.762435707,1299407.95030062
"Total Mortality","Adult Female",237327.943003934,9260.65168691383,218626.308833546,230456.081358543,238166.919957862,242932.093363453,262785.89172956
"Total Mortality","Adult Male",94129.9279712192,10065.7818740878,73586.3256831772,86466.3388125728,95044.4035432446,100434.460605316,121606.543243376
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",47442067839.6135,9240330284.33608,26437159147.7558,39540692696.0461,48041779104.6076,53782939564.6014,68508762677.3298
"Value of Total Mortality","Neonatal Female",11633518309.4429,2506194125.75606,5966020955.01962,9615286170.60208,11441531474.6106,13448313638.0136,17298156355.7486
"Value of Total Mortality","Neonatal Male",13741514235.251,3003204288.59577,7021644933.91319,11233140185.3902,13711071227.4323,15816449622.0584,20794723717.0925
"Value of Total Mortality","Neonatal Combined",25375032544.6939,5499304113.10898,12987665888.9328,20893675672.5714,25211612379.0393,29306679364.5002,38092880072.841
"Value of Total Mortality","Juvenile Female",5724951433.97349,1189186243.91462,3066604262.48841,4815834223.47248,5776954650.50701,6550164479.82377,8731901793.24817
"Value of Total Mortality","Juvenile Male",9986660901.95341,2298915851.0894,4866512287.09324,8261333515.46722,10167491372.9161,11558598863.7371,15713222627.5548
"Value of Total Mortality","Juvenile Combined",15711612335.9269,3487221182.81069,7933116549.58165,13076446345.0633,15915562985.3978,18123742421.1629,24445124420.803
"Value of Total Mortality","Adult Female",3929877640.19391,153345735.598541,3620200098.51449,3816087518.87525,3943770133.13068,4022675921.38828,4351431976.34042
