"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318508.28489981,37.6972745494067,318395.682491572,318483.888701568,318509.119613554,318532.942048767,318618.066062901
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16650.6888525741,18.8154441299243,16579.2818820797,16638.6463173552,16651.4950467498,16664.1475314816,16703.8819666443
"Num Offtake","Juvenile Male",20682.1969395125,23.0664276172241,20606.7090300321,20666.6035909952,20682.6502302807,20698.2818241499,20747.474512776
"Num Offtake","Juvenile Combined",37332.8857920865,30.088564633449,37242.5471591518,37313.7209647723,37333.5468101239,37352.9329495094,37419.2540658848
"Num Offtake","Adult Female",52438.3972814241,2.61109816671297,52428.7957419829,52436.6930545949,52438.4515907416,52440.3179249738,52445.5565343487
"Num Offtake","Adult Male",35392.2690999434,7.74210634719223,35370.2615952352,35387.1039380562,35392.3064439537,35397.4160663798,35414.0766655966
"Num Offtake","Oxen",193344.732726356,0.111575674986448,193344.417323528,193344.659865035,193344.73359673,193344.805558025,193345.059266333
"Cml Pop Growth","Overall",146922.908175287,4272.55425013259,132127.024943713,144033.678291616,147008.161445637,149878.037317595,159085.429210547
"Cml Pop Growth","Neonatal Female",-81938.6282470651,2134.54973373854,-89849.5259488233,-83272.9904875962,-81980.9896472953,-80498.8583204958,-76658.8719549389
"Cml Pop Growth","Neonatal Male",13115.0758895723,1806.91518527076,5739.70272043179,11852.7667474266,13153.3533725606,14413.9255322368,18223.7188150791
"Cml Pop Growth","Neonatal Combined",-68823.5523574928,2763.94525117509,-77709.0520659235,-70568.120094883,-68698.8799044749,-66894.1243432552,-61202.1685467765
"Cml Pop Growth","Juvenile Female",119967.40570651,1337.95476645549,115502.46419031,119123.686047354,120067.788458492,120921.246034863,123378.46176917
"Cml Pop Growth","Juvenile Male",114634.997941036,995.078610342219,110864.728892325,113972.465306109,114656.923174447,115331.007520485,117432.189841941
"Cml Pop Growth","Juvenile Combined",234602.403647546,1674.23403688955,229709.215717983,233430.991114857,234685.650153942,235755.095687429,238792.316699469
"Cml Pop Growth","Adult Female",38396.291485447,283.502902201929,37319.1126580518,38216.1066810205,38407.2238781761,38599.8432395834,39198.8726552569
"Cml Pop Growth","Adult Male",130880.64616061,197.890978254159,130225.886112965,130745.343364639,130885.062719238,131018.331290297,131442.009567475
"Cml Pop Growth","Oxen",-188132.880760822,4.08213875523514,-188144.474337451,-188135.58068959,-188132.864121789,-188130.153648881,-188121.40752713
"Total Number Increase","Overall",465431.193075098,4297.15961650518,450560.536547697,462516.067880022,465515.199994176,468358.396658814,477642.835539795
"Total Number Increase","Neonatal Female",-81938.6282470651,2134.54973373854,-89849.5259488233,-83272.9904875962,-81980.9896472953,-80498.8583204958,-76658.8719549389
"Total Number Increase","Neonatal Male",13115.0758895723,1806.91518527076,5739.70272043179,11852.7667474266,13153.3533725606,14413.9255322368,18223.7188150791
"Total Number Increase","Neonatal Combined",-68823.5523574928,2763.94525117509,-77709.0520659235,-70568.120094883,-68698.8799044749,-66894.1243432552,-61202.1685467765
"Total Number Increase","Juvenile Female",136618.094559084,1354.39153086531,132092.177270534,135767.538489818,136721.473201133,137580.021217486,140068.480800252
"Total Number Increase","Juvenile Male",135317.194880548,1014.9478722669,131471.437922357,134644.436659494,135342.358716549,136026.897485627,138179.664354717
"Total Number Increase","Juvenile Combined",271935.289439632,1699.77359762171,266974.224553331,270733.42496539,272009.122793233,273099.806111097,276178.670588862
"Total Number Increase","Adult Female",90834.6887668711,285.979153226366,89748.3934658018,90652.5374734463,90845.48057517,91039.810402764,91644.0233327491
"Total Number Increase","Adult Male",166272.915260553,205.19258924019,165598.647936662,166133.472562546,166277.524559824,166415.445923071,166854.142349657
"Total Number Increase","Oxen",5211.85196553386,4.18974101944919,5199.94298607708,5209.0591044288,5211.87321765353,5214.63818696027,5223.65173920299
"Total Mortality","Overall",217366.790460159,4263.89414331967,205412.898420805,214335.514033389,217305.540847673,220201.67971109,231640.085771608
"Total Mortality","Neonatal Female",55806.6386818048,3236.71448447193,48108.0620245297,53644.351697958,55784.9818851289,57807.0248258912,67087.7943479193
"Total Mortality","Neonatal Male",44995.1868225458,2612.47490598439,37187.7449775329,43027.23173151,44938.1672913154,46806.4891979165,54107.5925298371
"Total Mortality","Neonatal Combined",100801.825504351,4114.77120150988,89190.4600263143,97869.6773528264,100581.431347995,103570.910614089,115058.425375447
"Total Mortality","Juvenile Female",39025.0365791892,832.479861012868,36584.9207173644,38467.6550628209,39016.4780441788,39577.934278088,41509.2370901796
"Total Mortality","Juvenile Male",28230.7251244303,606.514598334314,26263.7883835888,27832.0717005244,28237.130605251,28648.7770435749,30310.7557599332
"Total Mortality","Juvenile Combined",67255.7617036195,1022.50291722854,63622.2090599126,66567.1416667479,67273.358617867,67948.9205460383,70550.3125498121
"Total Mortality","Adult Female",32773.9983008901,1.63193635419568,32767.9973387393,32772.9331591218,32774.0322442135,32775.1987031086,32778.4728339679
"Total Mortality","Adult Male",2558.47728433326,0.559670338351254,2556.88638037845,2558.10389913659,2558.47998390027,2558.84935419613,2560.0537348624
"Total Mortality","Oxen",13976.7276669655,0.0080657114448762,13976.7048667611,13976.7223998821,13976.7277298841,13976.7329319055,13976.751272265
"Value of Total Mortality","Overall",2029821860.9509,32506170.0072939,1941942080.00232,2006601576.7061,2028963994.42529,2052867973.07808,2137554600.33038
"Value of Total Mortality","Neonatal Female",288804194.867215,16750278.152978,248963393.026326,277614172.206966,288692119.066287,299156366.641266,347185153.768906
"Value of Total Mortality","Neonatal Male",432473924.404287,25109958.5263342,357432230.998558,413558806.557833,431925877.77574,449883365.321795,520058355.880002
"Value of Total Mortality","Neonatal Combined",721278119.271502,29877710.8668143,632532181.403854,699727839.796733,719540330.074599,742694568.625104,813990998.756855
"Value of Total Mortality","Juvenile Female",446829996.112833,9531752.0665376,418891086.719589,440448073.054623,446732002.35035,453160580.227686,475273667.201184
"Value of Total Mortality","Juvenile Male",358022460.335488,7691826.82229893,333077740.418572,352966731.904182,358103694.734993,363324200.761227,384401438.644177
"Value of Total Mortality","Juvenile Combined",804852456.448321,12156751.2256342,761461261.098629,796798277.730052,805037801.134234,812986072.497679,844593412.87044
"Value of Total Mortality","Adult Female",386926677.643193,19266.4839320787,386855830.860132,386914102.68173,386927078.374811,386940849.476546,386979503.551156
"Value of Total Mortality","Adult Male",82132094.0971472,17966.5057705709,82081022.9877353,82120107.7065332,82132180.7584955,82144038.2629895,82182701.2235
"Value of Total Mortality","Oxen",390615062.96008,225.416739807506,390614425.750605,390614915.758089,390615064.7185,390615210.102165,390615722.669976
"Population Liveweight (kg)","Overall",1072115895.13464,88372901.0247429,781704325.836611,1013270483.11963,1070063647.72473,1133116114.51699,1352233339.59073
"Population Liveweight (kg)","Neonatal Female",33346612.7107232,6829162.56308008,14221677.7568869,28770477.3987193,33804719.2179631,38588095.6221243,47812487.2326523
"Population Liveweight (kg)","Neonatal Male",31617631.3322848,8712741.16202416,11772095.6936458,25039074.1333319,31468294.6009501,37945765.7478833,52967107.3840642
"Population Liveweight (kg)","Juvenile Female",95377090.4433734,20225592.2511989,53920073.3996872,79219606.6580117,93926496.3458071,110475428.585996,150784956.245383
"Population Liveweight (kg)","Juvenile Male",79912920.8255741,17495439.6331021,43895479.0357626,66105721.4692793,77972328.6664114,93144171.4981354,129210813.064894
"Population Liveweight (kg)","Juvenile Combined",175290011.268948,26738079.4776021,109355133.74049,155873388.116066,175038522.689009,193704194.844691,257846976.177849
"Population Liveweight (kg)","Adult Female",401206697.105324,59440110.5969696,263194393.154812,356996658.84311,402396959.395629,445595356.790137,546710476.408767
"Population Liveweight (kg)","Adult Male",87548828.3878679,14471280.9565332,56307800.5534092,76685427.0704054,86984833.1749995,98217582.8632647,125203229.073175
"Population Liveweight (kg)","Oxen",343106114.329492,55488649.9908718,229957612.584325,299513932.487525,340760895.175033,382219936.316742,496582583.037201
"Offtake Liveweight (kg)","Overall",80070430.5354602,8458799.12853778,60975321.7962218,73787659.0564438,80202178.5742203,86080183.7301886,102565243.89791
"Offtake Liveweight (kg)","Juvenile Female",2783612.27785159,587749.515661891,1614555.66284756,2328931.28595737,2739769.24699036,3228123.54299379,4414150.09294786
"Offtake Liveweight (kg)","Juvenile Male",3782538.71495658,833242.417319342,2149898.15389755,3101993.84691601,3706704.89246643,4386355.72815418,6175897.88494502
"Offtake Liveweight (kg)","Adult Female",12750111.6125091,1808277.05274742,8312075.21663024,11440276.1002516,12779236.5382112,14056322.7810134,17422334.1443999
"Offtake Liveweight (kg)","Adult Male",9379171.39019587,1540286.10576577,6157021.16722448,8215136.46300722,9327764.85019603,10509241.3532257,13626818.2891199
"Offtake Liveweight (kg)","Oxen",51374996.5399471,8070311.58332053,34255683.4230627,45151896.0048996,51136425.4380849,57532492.867838,73884823.7581207
"Meat (kg)","Overall",259119378.42352,8939305.59458065,231972133.727306,252836863.867656,259017699.361585,265303495.690112,283667343.694334
"Manure","Overall",2806343770.81095,89702263.921283,2534724267.8929,2743995266.56375,2806630489.90101,2868405291.41552,3090973643.38045
"Manure","Neonatal Female",100438298.713193,2603088.48383247,90750821.9685232,98669832.2913904,100365051.306202,102156541.916362,109050822.473698
"Manure","Neonatal Male",82575430.5422678,2115273.74834586,75556596.5162056,81173562.3184559,82545437.4406124,84069816.1724403,88741124.1849768
"Manure","Neonatal Combined",183013729.255461,3278975.99514018,171600661.82056,180893977.937721,183012171.924958,185275821.246371,191922203.233146
"Manure","Juvenile Female",219943299.410078,7432144.71511609,194670677.717694,214670196.64646,219870028.034805,225173161.971794,242711270.239143
"Manure","Juvenile Male",159997426.327978,5391332.83609885,143582812.04641,156326537.256155,160041208.51748,163625381.761596,178505946.216696
"Manure","Juvenile Combined",379940725.738056,9272596.08543341,348128394.742629,373197006.23606,380094679.79586,386272405.873309,405654881.563551
"Manure","Adult Female",1119755371.95748,67713832.9752268,926269058.923194,1083181439.4915,1122924362.45323,1162645922.54358,1320232029.83689
"Manure","Adult Male",181163551.238931,10984102.4954573,149724885.72337,174450758.990458,181643295.231691,188936731.267921,213335497.023588
"Manure","Oxen",942470392.621016,57333852.9766476,778494481.088707,910695808.147761,944130942.415326,979424568.800114,1112074181.49288
"Hides","Overall",58282.4824779042,510.855123085526,56466.5541565597,57938.1525681827,58290.33106159,58628.8289028373,59929.3401279589
"Hides","Juvenile Female",19512.5182895946,416.239930506434,18292.4603586822,19233.8275314104,19508.2390220894,19788.967139044,20754.6185450898
"Hides","Juvenile Male",14115.3625622151,303.257299167157,13131.8941917944,13916.0358502622,14118.5653026255,14324.3885217875,15155.3778799666
"Hides","Juvenile Combined",33627.8808518097,511.251458614272,31811.1045299563,33283.570833374,33636.6793089335,33974.4602730192,35275.156274906
"Hides","Adult Female",16386.999150445,0.815968177097841,16383.9986693697,16386.4665795609,16387.0161221068,16387.5993515543,16389.236416984
"Hides","Adult Male",1279.23864216663,0.279835169175627,1278.44319018923,1279.0519495683,1279.23999195013,1279.42467709807,1280.0268674312
"Hides","Oxen",6988.36383348275,0.0040328557224381,6988.35243338054,6988.36119994103,6988.36386494206,6988.36646595273,6988.37563613252
"Milk","Overall",128168229.074235,20583741.4771219,46487933.9984523,114097172.701053,128254373.87414,141975709.904699,191740725.385483
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",9917386132.93149,225758195.993056,9076107189.89389,9770223312.89956,9918811026.28473,10064170144.8454,10707527000.3853
"Cml Dry Matter","Neonatal Female",335284354.92802,20663934.8528697,264599068.587412,320923074.447473,335917762.238847,349920900.097815,395391641.781925
"Cml Dry Matter","Neonatal Male",292976696.310004,23077382.8375295,220226667.190117,276966312.630227,292787862.17923,308453946.162474,363971311.234309
"Cml Dry Matter","Neonatal Combined",628261051.238024,32210700.6114641,509170599.097201,606764364.669528,628175187.969318,648783300.143912,737848863.527773
"Cml Dry Matter","Juvenile Female",835768939.193143,50430855.3103104,696158024.670937,800647018.55093,835074051.717594,870923824.333786,994790836.483536
"Cml Dry Matter","Juvenile Male",662512057.108088,41291681.6744067,529437281.21393,634583173.345984,659726681.918482,691930807.648813,795950751.391418
"Cml Dry Matter","Juvenile Combined",1498280996.30123,64107212.3152161,1283827863.44609,1454578046.8449,1497410360.55882,1542846021.41153,1710263208.71248
"Cml Dry Matter","Adult Female",3711710750.93065,153609086.085348,3243807032.28862,3608642012.58997,3714039510.53875,3809326415.3643,4311329323.35228
"Cml Dry Matter","Adult Male",660676853.126318,31617782.40356,561657870.755006,639549996.424365,660462689.259608,680873219.801314,779823683.176637
"Cml Dry Matter","Oxen",3418456481.33526,157083776.071589,2967727269.45094,3308598037.99695,3416811992.13035,3519268528.26792,3867073243.77437
"Value of Offtake","Overall",8536988908.47081,1611874181.45227,3300843430.33216,7379376156.09018,8673669611.3521,9793339155.54346,12057142112.0155
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
