"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",275665.9159552,183.954578487937,275225.428106921,275525.787732269,275645.728650509,275785.475232362,276426.254975591
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",8752.87885138965,48.7924048494775,8628.2542839186,8717.39255911782,8747.21953136372,8784.59993719099,8959.66603609231
"Num Offtake","Juvenile Male",11094.3641635046,83.2162448974772,10893.739979857,11031.5402575487,11087.206025998,11147.6552512106,11420.3351371319
"Num Offtake","Juvenile Combined",19847.2430148942,131.059865689402,19521.9942637756,19748.6640450624,19834.2277406522,19934.2213976476,20380.0011732242
"Num Offtake","Adult Female",26683.2702199937,5.71034006536611,26669.8044124542,26679.0782575276,26682.5233958139,26686.7937075968,26708.9570870271
"Num Offtake","Adult Male",35784.7694585018,48.0273903318254,35683.972772799,35748.956090353,35779.6650337107,35814.6028319339,35984.1632229404
"Num Offtake","Oxen",193350.633261811,0.579178878911964,193349.425191937,193350.221711018,193350.546810736,193350.991901334,193353.133492399
"Cml Pop Growth","Overall",718621.239088061,47714.481148419,579473.768895516,681974.674882655,715269.058691871,750012.796253055,876904.031227716
"Cml Pop Growth","Neonatal Female",81571.1119870473,16476.7299042553,36074.8334340494,70013.3800093105,80255.3385436819,92056.8406029952,129994.778932532
"Cml Pop Growth","Neonatal Male",176593.854905919,16469.7663935676,132408.746366988,164255.154781587,175167.757581401,187594.118943237,233291.677435452
"Cml Pop Growth","Neonatal Combined",258164.966892967,32735.151168705,168483.579801037,233632.054553076,255806.165916318,279690.31537806,361690.409923248
"Cml Pop Growth","Juvenile Female",200273.230313919,7955.56206255855,178849.936023394,194720.904597363,199573.418408769,205341.597931939,229616.922463121
"Cml Pop Growth","Juvenile Male",196297.909396895,7879.62225938265,174031.152941421,190574.612340493,195817.586355249,201174.812355106,223870.40349449
"Cml Pop Growth","Juvenile Combined",396571.139710814,15728.173896961,352881.088964815,385564.914359689,395357.440469299,406913.904399012,453487.325957611
"Cml Pop Growth","Adult Female",107868.828156799,1490.43503699151,104057.492898512,106791.850693324,107700.227263087,108832.537674679,114171.455045924
"Cml Pop Growth","Adult Male",143942.710769271,1437.7888486161,140457.730337919,142861.571976019,143819.271946279,144869.349167228,149547.542919798
"Cml Pop Growth","Oxen",-187926.40644179,25.4290829285018,-187979.935893256,-187945.375961539,-187929.056418567,-187910.562300992,-187820.982358931
"Total Number Increase","Overall",994287.155043261,47845.8687894595,854798.014936649,957632.036717911,991039.301151739,1025710.20364741,1153330.28620331
"Total Number Increase","Neonatal Female",81571.1119870473,16476.7299042553,36074.8334340494,70013.3800093105,80255.3385436819,92056.8406029952,129994.778932532
"Total Number Increase","Neonatal Male",176593.854905919,16469.7663935676,132408.746366988,164255.154781587,175167.757581401,187594.118943237,233291.677435452
"Total Number Increase","Neonatal Combined",258164.966892967,32735.151168705,168483.579801037,233632.054553076,255806.165916318,279690.31537806,361690.409923248
"Total Number Increase","Juvenile Female",209026.109165309,8000.77673339238,187514.089464609,203458.261724702,208317.734328304,214103.997959575,238576.588499213
"Total Number Increase","Juvenile Male",207392.2735604,7956.94598841613,184953.590232994,201583.562601149,206896.087986311,212319.660333467,235290.738631622
"Total Number Increase","Juvenile Combined",416418.382725708,15849.9008823615,372467.679697602,405347.752970972,415213.84121744,426869.702182179,473867.327130835
"Total Number Increase","Adult Female",134552.098376793,1495.96077459005,130727.364599013,133469.63395944,134381.763740882,135520.059195643,140880.412132951
"Total Number Increase","Adult Male",179727.480227773,1484.36092458204,176141.703110718,178609.538608176,179597.221503758,180682.931857156,185531.706142738
"Total Number Increase","Oxen",5424.22682002035,25.9978155176952,5369.65347658942,5404.8409911593,5421.46601683373,5440.37976041791,5532.15113346881
