"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",357583.778605748,23635.9076714693,297539.918774457,340353.837197574,355553.519451403,373295.503968485,446232.759865685
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",31003.9709069661,6131.9583085517,15504.5624090144,26628.2740511155,30621.9266434565,34962.0008553879,54309.5713586067
"Num Offtake","Juvenile Male",49410.5874913543,10507.3853766825,22820.0998009337,41836.305688765,48744.1740030269,56223.7376113327,88849.8987034822
"Num Offtake","Juvenile Combined",80414.5583983204,16639.1213265346,38324.6622099481,68467.3551660164,79384.9515596156,91205.9739057028,143159.470062089
"Num Offtake","Adult Female",27655.1595944342,715.860084624245,25854.2622297804,27108.3365463501,27583.6051702389,28138.5166327634,30275.0238416084
"Num Offtake","Adult Male",55950.2177974122,6337.52617268286,39977.3724606348,51122.389897263,55292.7616542025,60216.627985442,78980.7480316024
"Num Offtake","Oxen",193563.842815581,75.8965255006893,193383.621874094,193502.834388989,193556.296222413,193615.319681815,193817.517930386
"Cml Pop Growth","Overall",33545365.8133005,7067401.42421632,16373698.7272728,28761617.5781211,33067489.3527642,38094806.2583123,65863921.4316834
"Cml Pop Growth","Neonatal Female",11123311.111515,2555562.59635402,4900836.73727005,9390851.65207664,10985121.0447439,12691455.6230089,23366926.4632065
"Cml Pop Growth","Neonatal Male",11216871.4993551,2556889.45518342,5000621.82114865,9498676.89912214,11107885.990351,12764199.9023203,23410715.0306361
"Cml Pop Growth","Neonatal Combined",22340182.61087,5112077.52968813,9901458.5584187,18883449.0449951,22102544.9175736,25456455.1181543,46777641.4938426
"Cml Pop Growth","Juvenile Female",4878290.95258761,1061187.73370916,2039889.55305835,4153726.46142169,4834865.5942097,5547997.75170914,8846726.81212359
"Cml Pop Growth","Juvenile Male",4859051.77677176,1057331.37219161,2015388.15094984,4149865.40399271,4810595.64157629,5531258.33053853,8803718.25744803
"Cml Pop Growth","Juvenile Combined",9737342.72935937,2118447.52077462,4055277.70400819,8299094.02054864,9645785.8458958,11074395.2346811,17650445.0695716
"Cml Pop Growth","Adult Female",795540.519359007,194225.804796231,304918.791639354,655948.418142083,782980.927947431,920441.312490702,1533941.54835916
"Cml Pop Growth","Adult Male",849521.908045904,189496.041497928,370547.00836061,712695.352715292,837997.543958055,971599.114328216,1560961.59750188
"Cml Pop Growth","Oxen",-177221.954333773,3355.84010354652,-185688.681759829,-179780.064934171,-177575.727252394,-174961.46728661,-165007.535354002
"Total Number Increase","Overall",33902949.5919063,7083623.42911779,16679018.2781699,29119881.9522439,33417740.7767547,38447018.6479515,66277773.4425961
"Total Number Increase","Neonatal Female",11123311.111515,2555562.59635402,4900836.73727005,9390851.65207664,10985121.0447439,12691455.6230089,23366926.4632065
"Total Number Increase","Neonatal Male",11216871.4993551,2556889.45518342,5000621.82114865,9498676.89912214,11107885.990351,12764199.9023203,23410715.0306361
"Total Number Increase","Neonatal Combined",22340182.61087,5112077.52968813,9901458.5584187,18883449.0449951,22102544.9175736,25456455.1181543,46777641.4938426
"Total Number Increase","Juvenile Female",4909294.92349457,1066841.63115763,2058301.8963625,4179835.85047571,4862523.37088529,5584198.07342106,8898519.81903067
"Total Number Increase","Juvenile Male",4908462.36426312,1067019.1030875,2043130.60549744,4190663.01893439,4859685.2815347,5586891.89681421,8888717.89932911
"Total Number Increase","Juvenile Combined",9817757.28775769,2133789.84366976,4101432.50185994,8367276.96097422,9714277.67284031,11162130.2057919,17787237.7183598
"Total Number Increase","Adult Female",823195.678953441,194921.840582235,330773.053869135,683048.110606883,810669.971944823,948682.979570023,1564216.57220077
"Total Number Increase","Adult Male",905472.125843317,195658.052677731,410524.380821245,765198.235006604,892976.227962776,1031628.71020992,1639942.34553348
"Total Number Increase","Oxen",16341.8884818082,3430.60177889708,7694.94011426487,13728.8980072279,15985.2888979774,18651.7023204676,28809.9825763835
"Total Mortality","Overall",1896967.38504952,397007.998329761,927881.285080876,1623724.11706474,1889329.84875075,2126884.5711872,3372682.22314275
"Total Mortality","Neonatal Female",781265.676523959,174372.040041054,330795.9088455,660385.148848527,771020.358233853,893240.300587681,1482973.81792368
"Total Mortality","Neonatal Male",772959.943784493,173550.477406227,342336.185502472,653068.190703494,762244.631345821,880568.223530303,1414005.1876141
"Total Mortality","Neonatal Combined",1554225.62030845,339715.129829013,715001.479707755,1322129.86722553,1549527.98584345,1758519.3934022,2828807.33088098
"Total Mortality","Juvenile Female",151862.353959491,30660.8657904354,77769.0287237169,129399.665567461,149943.964864232,171562.08111972,264392.888563629
"Total Mortality","Juvenile Male",140877.521442472,30217.4946082885,65029.9492654335,118596.222040972,137917.055534603,160154.184518322,249480.161173707
"Total Mortality","Juvenile Combined",292739.875401963,60628.7462102461,142798.97798915,248014.007892907,289335.53171059,330873.155637684,513873.049737336
"Total Mortality","Adult Female",36009.3223885862,932.10948518782,33664.4039450266,35297.3132113934,35916.1525654153,36638.693532244,39420.6039604277
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",13992.566950524,5.48649581932694,13979.5389306574,13988.1567028185,13992.0214136684,13996.2881697698,14010.9049106303
"Value of Total Mortality","Overall",22255854936.45,4674485366.04983,10769190284.356,18989651655.6909,22135919816.1188,25014255858.8712,39179037977.5388
"Value of Total Mortality","Neonatal Female",6336921617.94387,1414348515.88189,2683117675.43285,5356447942.94118,6253820848.37704,7245158645.64436,12028544358.2483
"Value of Total Mortality","Neonatal Male",11747904447.2425,2637723263.32879,5203028731.8974,9925718355.2803,11585046762.7478,13383399013.7479,21490890913.0057
"Value of Total Mortality","Neonatal Combined",18084826065.1863,3965292511.59174,8496605048.95992,15386660467.4882,17964167599.275,20343360756.7693,32483321658.4899
"Value of Total Mortality","Juvenile Female",1078981668.73126,217845379.534508,552548766.696376,919384320.385876,1065351518.70849,1218948184.00445,1878510853.18458
"Value of Total Mortality","Juvenile Male",2483753852.51026,532752265.074402,1146516387.87189,2090921393.07485,2431559091.21262,2823612800.11205,4398482490.99919
"Value of Total Mortality","Juvenile Combined",3562735521.24152,748062524.310249,1699065154.56827,3013392023.95457,3514349070.09059,4038429151.82144,6276993344.18377
"Value of Total Mortality","Adult Female",573337353.825961,14840967.5679722,536001762.757069,562000804.552796,571853911.863438,583358147.391172,627651487.495268
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",394706930.175415,154764.878376065,394339431.506588,394582524.457773,394691541.492387,394811899.551672,395224213.384768
"Population Liveweight (kg)","Overall",5083233662.70715,956948258.110198,2518830007.76651,4413901850.6369,4986454014.0296,5695811399.06693,8542104665.78826
"Population Liveweight (kg)","Neonatal Female",968331941.032779,301434159.745317,278869896.961154,745888538.618398,951430532.993111,1156986099.1089,2015845975.39311
"Population Liveweight (kg)","Neonatal Male",1035389785.97261,364965342.993695,279133548.874148,777622522.315978,1000425474.37783,1249277110.69362,2330786211.78635
"Population Liveweight (kg)","Juvenile Female",893549834.747094,259496691.973001,385182941.772751,695796355.449251,863920291.501366,1063589983.74691,1969236318.08304
"Population Liveweight (kg)","Juvenile Male",934809765.472064,284899669.425759,346822564.040007,719867659.566874,896333340.110722,1108540196.56627,2041032703.59413
"Population Liveweight (kg)","Juvenile Combined",1828359600.21916,468513863.916432,850225443.796564,1505210762.33705,1775587916.62137,2122812898.37541,3531488903.85971
"Population Liveweight (kg)","Adult Female",585533709.782494,97669401.2433765,352843162.388869,513571540.964778,583331617.917779,648807841.664711,965558148.736002
"Population Liveweight (kg)","Adult Male",319039260.345739,79055515.6680821,115949875.010919,260420920.074495,311408575.046783,369804591.295116,588280867.098887
"Population Liveweight (kg)","Oxen",346579365.354369,54168024.4356832,228840619.463029,306068078.933147,345178014.924112,386091879.258698,507458038.248628
"Offtake Liveweight (kg)","Overall",89509899.1848377,10779882.12524,64442872.4893124,81922775.2061363,88939518.1286586,96484528.3431182,124418054.856811
"Offtake Liveweight (kg)","Juvenile Female",5274780.93586977,1560218.24732347,2035887.22675768,4161432.02440488,5081645.04978719,6133952.75005403,13655912.7672458
"Offtake Liveweight (kg)","Juvenile Male",9144176.57346219,2873536.10390543,3436348.63916036,7047103.71454789,8760857.89216482,10815088.4196786,20498772.9341817
"Offtake Liveweight (kg)","Adult Female",6713711.66683153,1046273.69463315,4355129.29723918,5919039.87956132,6700901.43289157,7528317.01688636,9318600.1197532
"Offtake Liveweight (kg)","Adult Male",17122037.2590657,3402580.97154824,9020652.25714606,14637037.5887735,16955182.0394345,19326062.9869661,27242588.1591067
"Offtake Liveweight (kg)","Oxen",51255192.7496085,8332848.60441549,33838459.5893214,44868819.1703602,50443388.4429695,57109114.2885891,73895448.4833854
"Meat (kg)","Overall",260283293.197815,12848208.196652,220895984.19376,251730858.303038,259566356.984906,269190741.421989,304021735.852235
"Manure","Overall",7747693584.9048,1146728742.37577,4864849519.08126,6939143805.80981,7702193216.3291,8461122542.62483,12196673384.3801
"Manure","Neonatal Female",1636619076.53829,339692269.26742,800673588.665036,1401728141.06596,1625700212.60562,1844826554.47561,2996922783.57239
"Manure","Neonatal Male",1619112827.38758,340470137.646524,768368512.136766,1381633396.50132,1608498226.09999,1823911295.4934,2900142972.08381
"Manure","Neonatal Combined",3255731903.92587,676901653.286443,1569042100.8018,2785379513.05023,3237557801.16582,3673748760.68037,5897065755.6562
"Manure","Juvenile Female",1002922608.16712,205193464.341877,503699874.139795,860429461.529952,987203182.819994,1127016305.86373,1796323684.35652
"Manure","Juvenile Male",940810108.496471,203878755.612134,450106188.005037,794116305.160399,927159378.730076,1070960467.22214,1718388966.52633
"Manure","Juvenile Combined",1943732716.66359,405176371.913636,960128429.5993,1659545724.08628,1917953688.47775,2202038805.33184,3514712650.88286
