"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",371309.999937653,22942.1172852817,319150.620424477,354178.67489158,371465.72783813,387647.065769615,441951.805464499
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",35049.6922213206,6106.76802076806,21017.6180038519,30359.8531982774,35130.8199365871,39244.7591915824,53725.2256299934
"Num Offtake","Juvenile Male",55696.0972587754,10466.4400683824,31752.2744463573,47748.0561063677,55755.0710936056,62855.8484410572,87988.5870614187
"Num Offtake","Juvenile Combined",90745.789480096,16572.8804560434,52769.8924502091,78064.3594817833,90885.8910301926,102100.60763264,141713.812691412
"Num Offtake","Adult Female",31388.6657065079,732.765795621085,29786.5142983685,30879.5092423585,31369.1748965345,31887.9076884231,33592.1111075897
"Num Offtake","Adult Male",55616.3560858696,5700.93641060502,43176.7828463386,51640.0431613682,55453.9747731974,59494.7580313246,72884.7512538131
"Num Offtake","Oxen",193559.18866518,70.2202639102385,193407.60792277,193506.320692002,193558.187963717,193603.301913136,193761.130411684
"Cml Pop Growth","Overall",33016959.0699977,6324912.8329556,18567069.3147078,28368230.8346648,32651222.6792445,36812697.1712074,49548466.7271532
"Cml Pop Growth","Neonatal Female",10876002.2780984,2327081.95566199,5949040.77216296,9399955.32599124,10901659.2843076,12347380.6291005,16800917.9908603
"Cml Pop Growth","Neonatal Male",10972544.7829,2331843.17360343,5992885.72710841,9468311.02825622,10985147.100538,12482915.7413131,17019465.49917
"Cml Pop Growth","Neonatal Combined",21848547.0609984,4658530.02699527,11941926.4992714,18868266.3542475,21886806.3848456,24853861.3149445,33820383.4900303
"Cml Pop Growth","Juvenile Female",4874885.15529486,952642.488295906,2866696.07870197,4122058.07515797,4852649.74391657,5478074.66805205,7481960.73593627
"Cml Pop Growth","Juvenile Male",4845633.08526055,948937.487246679,2863614.24391342,4083552.01524853,4825416.06284905,5446576.18088988,7474115.41021112
"Cml Pop Growth","Juvenile Combined",9720518.24055541,1901498.27114081,5730310.32261539,8204697.78147082,9675589.09726823,10924650.8489419,14956076.1461474
"Cml Pop Growth","Adult Female",786813.715530641,170012.081419979,395940.366441422,656571.779482535,789937.646381931,901857.17554963,1306541.78475701
"Cml Pop Growth","Adult Male",838478.026013648,165509.523523939,459497.478908251,712690.395184216,840925.401424023,951536.062598224,1348807.09357773
"Cml Pop Growth","Oxen",-177397.973100444,3016.54665526909,-183990.314647537,-179493.846797446,-177487.908471067,-175352.662782361,-168252.130123113
