"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",388267.844316698,27097.8842011963,317011.159274275,369634.314756124,388966.63032842,406658.324114305,458494.887074572
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",39901.7102693221,7459.21469213893,19924.6408017462,34777.0004449983,40027.2373236317,44947.6797872578,59066.882692895
"Num Offtake","Juvenile Male",63660.5856396236,12783.2785945364,29395.0699948905,54859.5049225669,63919.7846969284,72315.6554794481,96496.1645523887
"Num Offtake","Juvenile Combined",103562.295908946,20242.4688362028,49319.7107966366,89647.2943450086,103947.02202056,117272.288031382,155563.047245284
"Num Offtake","Adult Female",34621.1771467323,857.485321834179,32537.9865938964,34022.6107939887,34633.3633538685,35189.8068417052,36894.9642633226
"Num Offtake","Adult Male",56516.7219804811,6069.06291145957,41747.9331054457,52266.5304395907,56595.8626153289,60553.9015155277,72613.2870264876
"Num Offtake","Oxen",193567.649280538,72.403944093326,193397.775809217,193514.376443338,193568.017399355,193616.479093776,193759.796804382
"Cml Pop Growth","Overall",35457486.6526784,7345133.83258099,15770195.446243,30421411.0436991,35168000.5971634,40138039.3798358,59805453.7638673
"Cml Pop Growth","Neonatal Female",11841898.2402628,2644412.24408697,5143063.65461661,10026725.7099273,11726143.8298788,13598028.4796491,20756069.1124478
"Cml Pop Growth","Neonatal Male",11930641.1429975,2644412.24408697,5231806.55735133,10115468.612662,11814886.7326135,13686771.3823838,20844812.0151825
"Cml Pop Growth","Neonatal Combined",23772539.3832603,5288824.48817395,10374870.2119679,20142194.3225893,23541030.5624922,27284799.8620329,41600881.1276303
"Cml Pop Growth","Juvenile Female",5098638.6274207,1067091.7369724,1944228.37505344,4392687.93248819,5093165.15168547,5796822.99351347,8197383.06482508
"Cml Pop Growth","Juvenile Male",5071760.46455737,1062617.95311642,1933167.33073526,4367777.75463603,5064167.63697151,5768688.45245988,8149822.5032892
"Cml Pop Growth","Juvenile Combined",10170399.0919781,2129702.30929027,3877395.7057887,8758705.03323524,10156166.3637405,11565444.2227007,16347205.5681143
"Cml Pop Growth","Adult Female",818156.609111881,188932.229877975,311215.231435815,687196.456122192,820395.379646106,945933.33105362,1305048.6142038
"Cml Pop Growth","Adult Male",873310.463470862,184165.123712798,377979.5708637,744697.401253548,875071.47020628,997950.436401485,1348923.46062332
"Cml Pop Growth","Oxen",-176918.895142726,3214.08731642953,-184752.229777389,-179184.252200855,-176884.784587374,-174788.617546201,-168389.635523663
"Total Number Increase","Overall",35845754.4969951,7365150.35464515,16092454.3375106,30791056.6090436,35563448.6207357,40537253.2021563,60242189.8064117
"Total Number Increase","Neonatal Female",11841898.2402628,2644412.24408697,5143063.65461661,10026725.7099273,11726143.8298788,13598028.4796491,20756069.1124478
"Total Number Increase","Neonatal Male",11930641.1429975,2644412.24408697,5231806.55735133,10115468.612662,11814886.7326135,13686771.3823838,20844812.0151825
"Total Number Increase","Neonatal Combined",23772539.3832603,5288824.48817395,10374870.2119679,20142194.3225893,23541030.5624922,27284799.8620329,41600881.1276303
"Total Number Increase","Juvenile Female",5138540.33769002,1074026.53988716,1965331.62512004,4430892.10807083,5134693.226749,5842243.97481242,8255831.52930777
"Total Number Increase","Juvenile Male",5135421.050197,1074503.02264863,1964656.29942901,4425453.64071105,5128315.90559355,5837054.47095962,8245314.58404493
"Total Number Increase","Juvenile Combined",10273961.387887,2148522.56883183,3929987.92454904,8857051.92145154,10260973.7339285,11678270.4722686,16501146.1133527
"Total Number Increase","Adult Female",852777.786258613,189764.962583885,343753.218029711,721429.663667116,855177.975178837,981274.190838853,1341581.59532785
"Total Number Increase","Adult Male",929827.185451343,190059.084470114,419727.503969145,797872.309292431,933052.831141608,1058489.8928061,1419002.49053668
"Total Number Increase","Oxen",16648.7541378123,3285.30548786201,8653.29900090658,14347.8389804567,16691.0686535453,18833.3090306773,25362.4730679772
"Total Mortality","Overall",354341.727653153,59883.3768409861,199598.642104147,312784.679063236,354330.684855333,394605.00266581,523363.398971903
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",155635.259012949,29491.0905912155,78528.3461490229,135157.409349301,155354.813166378,175282.435352932,242559.791672938
