"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",377830.310852882,25692.632513554,318553.255556998,357234.241266072,380249.211890439,396961.823987545,438062.477051219
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",36912.1753455749,6897.12964626626,20374.3897901869,31696.8462937849,37406.2922793859,42042.5503763408,52885.2342408721
"Num Offtake","Juvenile Male",58766.7405478491,11825.7099841054,30415.3442418407,49829.1251247417,59593.4597654164,67604.2834510273,86178.5820267043
"Num Offtake","Juvenile Combined",95678.915893424,18722.8228551153,50789.7340320276,81525.9714185266,96999.7520448023,109646.833827368,139063.816267576
"Num Offtake","Adult Female",32877.1426598297,833.013940728427,31188.6345297132,32228.2565753762,32941.6321215106,33480.8697389955,34878.8948612471
"Num Offtake","Adult Male",55714.3828712446,6187.87228841214,43148.4826946769,50876.9566136156,56185.0154805977,60188.2681496888,70583.2046365512
"Num Offtake","Oxen",193559.869428384,75.9851501303994,193414.101782759,193499.532145845,193564.263969728,193615.002707714,193742.400322301
"Cml Pop Growth","Overall",34385142.4029726,6835159.76840568,20137978.4963002,30280023.1433924,34725470.6438201,38718680.403978,53473594.5639002
"Cml Pop Growth","Neonatal Female",11519246.9900551,2514341.64625925,6021509.36211224,9788631.33269822,11671493.137474,13034722.7462371,19609565.3959776
"Cml Pop Growth","Neonatal Male",11607989.8927898,2514341.64625925,6110252.26484696,9877374.23543295,11760236.0402087,13123465.6489718,19698308.2987123
"Cml Pop Growth","Neonatal Combined",23127236.8828449,5028683.29251849,12131761.6269592,19666005.5681312,23431729.1776827,26158188.3952089,39307873.69469
"Cml Pop Growth","Juvenile Female",4912365.07508681,981461.764182989,2265608.05023006,4287266.76873928,4927857.35479111,5652442.16952769,7109680.19353463
"Cml Pop Growth","Juvenile Male",4887259.05610717,978057.027075368,2248188.61127381,4260984.87279572,4905495.18654377,5626514.91990108,7079030.68614662
"Cml Pop Growth","Juvenile Combined",9799624.13119398,1959512.30024249,4513796.66150387,8546641.61555094,9831902.17299441,11278957.0894288,14188710.8796812
"Cml Pop Growth","Adult Female",790650.048894091,183193.24196342,349675.313041861,652703.452874405,803295.347455168,926405.954059043,1214266.71385528
"Cml Pop Growth","Adult Male",844976.896062753,178400.728753074,414219.070778513,710820.187196272,856589.274710479,977388.282788302,1257360.98669639
"Cml Pop Growth","Oxen",-177345.556023134,3274.34525187621,-184015.28025893,-179907.844939907,-177104.347767684,-174979.993389198,-169479.872530603
"Total Number Increase","Overall",34762972.7138254,6852759.30564238,20492979.0519878,30673743.688964,35085140.0103538,39071984.669285,53865547.1539998
"Total Number Increase","Neonatal Female",11519246.9900551,2514341.64625925,6021509.36211224,9788631.33269822,11671493.137474,13034722.7462371,19609565.3959776
"Total Number Increase","Neonatal Male",11607989.8927898,2514341.64625925,6110252.26484696,9877374.23543295,11760236.0402087,13123465.6489718,19698308.2987123
"Total Number Increase","Neonatal Combined",23127236.8828449,5028683.29251849,12131761.6269592,19666005.5681312,23431729.1776827,26158188.3952089,39307873.69469
"Total Number Increase","Juvenile Female",4949277.25043239,987780.358502558,2285982.44002025,4325660.91651183,4962701.74631537,5693583.42433749,7158420.01323455
