"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",352097.547533162,23094.8829333062,307258.306570607,333596.52045831,353115.819671221,367873.393913662,405733.686123269
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29225.6799209044,5863.40835844036,17686.0253285495,24165.6019179848,29324.5406504101,33321.9595983494,42180.1601106567
"Num Offtake","Juvenile Male",46513.8302532964,10056.7966795273,26866.7610480051,37887.9356323152,46534.1028827443,53595.0503555001,69058.5817650087
"Num Offtake","Juvenile Combined",75739.5101742008,15919.9889555258,44552.7863765546,62045.6843080823,75858.6435331544,86913.976449427,111219.323779408
"Num Offtake","Adult Female",26553.3696215397,707.074097289935,25222.9564628908,25957.8406542796,26563.0680778287,26991.6270492891,28312.8201016033
"Num Offtake","Adult Male",55373.1901154067,6505.39859428454,43192.6368979109,49909.7208454669,55413.0560472064,59437.9062485662,71668.7031995393
"Num Offtake","Oxen",194431.477622014,78.8847368586978,194289.926833251,194364.387983239,194426.231443608,194484.275311165,194629.550037005
"Cml Pop Growth","Overall",32960613.1605474,6974370.3287078,17402711.0294001,28574907.0745987,32904366.2441765,36917527.017503,48654996.8993356
"Cml Pop Growth","Neonatal Female",10989776.793934,2560884.524494,5449786.54976051,9139830.8459755,11069967.2745512,12485667.7771942,16822043.643831
"Cml Pop Growth","Neonatal Male",11077900.468545,2560655.69991841,5520140.3059977,9293481.86504064,11158475.8751527,12534443.8240023,16851633.2033274
"Cml Pop Growth","Neonatal Combined",22067677.262479,5121207.17566193,10969926.8557582,18433312.7110161,22228443.1497039,24989978.2057071,33654414.4723885
"Cml Pop Growth","Juvenile Female",4735567.08257059,1000518.49882085,2626340.69790663,3998023.46785383,4619464.68917071,5475537.5134249,7020921.32789739
"Cml Pop Growth","Juvenile Male",4717918.57824251,996313.683552725,2618870.52183359,3976214.44906325,4595695.25268284,5476641.55937913,6983043.51279712
"Cml Pop Growth","Juvenile Combined",9453485.6608131,1996758.18136627,5245631.27888202,7974237.91691708,9215159.94185355,10954039.7192853,14003964.8406945
