"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318976.616286145,36.6217497087641,318922.39174687,318959.592688004,318972.729108818,318993.070998354,319050.298143783
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16656.5389354299,13.7459002312962,16625.7027013375,16656.6875694942,16658.3743053204,16661.8112123029,16676.9153765043
"Num Offtake","Juvenile Male",20681.7187177431,28.8543621711058,20639.8922809743,20661.9220522085,20683.4370585557,20697.6779382087,20732.9145439495
"Num Offtake","Juvenile Combined",37338.257653173,27.195249928618,37296.4215114756,37321.1088779925,37338.4905032584,37349.017040459,37392.4174689923
"Num Offtake","Adult Female",52902.8831203903,1.87489087188739,52899.6554507805,52901.5419337979,52903.4558396181,52904.0592832421,52905.6310587839
"Num Offtake","Adult Male",35390.1500847789,10.0660372360498,35376.0245621743,35383.3766225585,35389.244416623,35396.9190125969,35408.8917160724
"Num Offtake","Oxen",193345.325427802,0.14272485101549,193345.110761659,193345.234965506,193345.28739058,193345.422614011,193345.592054631
"Cml Pop Growth","Overall",183666.559939761,3959.4357102328,176719.097024986,180931.569501513,184299.32617873,185119.079618501,190743.167408351
"Cml Pop Growth","Neonatal Female",-80115.3855390581,2794.08617218307,-85141.2982336967,-80781.2389274059,-80373.7754584405,-78968.0934807406,-75073.0269301877
"Cml Pop Growth","Neonatal Male",15816.3866407124,1712.59416838518,13008.3025019927,14412.4292330941,15905.1722462848,17325.9669297202,18106.5253806133
"Cml Pop Growth","Neonatal Combined",-64298.9988983456,2856.74265743423,-68978.5146556678,-65758.9280381199,-64046.9942205201,-63010.957470424,-58594.3887885002
"Cml Pop Growth","Juvenile Female",120702.903134408,1119.67980879163,118280.345191923,120229.487122709,120818.901514907,121298.684691672,122149.40124413
"Cml Pop Growth","Juvenile Male",114929.988171872,1212.39444838419,112785.846126713,114000.399372458,115142.222519703,115625.676172992,116455.560000325
"Cml Pop Growth","Juvenile Combined",235632.89130628,1099.28861861989,233755.546075659,235114.520159282,235795.092432328,236130.835843997,237134.658182192
"Cml Pop Growth","Adult Female",69587.6129530193,209.022925638283,69117.4298545446,69592.3310347964,69619.0270524662,69663.8412579899,69896.0908168461
"Cml Pop Growth","Adult Male",130879.719750606,246.401007146684,130517.5113139,130710.685533055,130896.803193768,131013.875424496,131314.878779069
"Cml Pop Growth","Oxen",-188134.665171799,5.30608606606454,-188142.093403492,-188138.240529095,-188135.115409802,-188131.098043415,-188124.789947457
"Total Number Increase","Overall",502643.176225905,3974.43069799971,495675.944442174,499875.723940567,503288.507427296,504082.074329834,509716.477285135
"Total Number Increase","Neonatal Female",-80115.3855390581,2794.08617218307,-85141.2982336967,-80781.2389274059,-80373.7754584405,-78968.0934807406,-75073.0269301877
"Total Number Increase","Neonatal Male",15816.3866407124,1712.59416838518,13008.3025019927,14412.4292330941,15905.1722462848,17325.9669297202,18106.5253806133
"Total Number Increase","Neonatal Combined",-64298.9988983456,2856.74265743423,-68978.5146556678,-65758.9280381199,-64046.9942205201,-63010.957470424,-58594.3887885002
"Total Number Increase","Juvenile Female",137359.442069838,1130.39669901227,134906.047893261,136891.191387101,137477.234270665,137960.310458674,138815.237455447
"Total Number Increase","Juvenile Male",135611.706889615,1239.02821795844,133425.738407687,134664.518821323,135833.223415281,136305.416165696,137188.474544275
"Total Number Increase","Juvenile Combined",272971.148959453,1119.51525728725,271072.306049403,272449.541441478,273121.44676216,273484.810327914,274527.075651184
"Total Number Increase","Adult Female",122490.49607341,210.614218825652,122017.085305325,122494.549459365,122521.150928027,122568.431020092,122801.72187563
"Total Number Increase","Adult Male",166269.869835385,256.251533798818,165896.492387506,166094.062155613,166286.047610391,166410.794437093,166723.770495141
"Total Number Increase","Oxen",5210.66025600311,5.44728017829195,5203.01735816695,5206.99443641091,5210.17198077773,5214.32322816227,5220.80210717476
"Total Mortality","Overall",186111.125802802,4085.45980702598,178768.806959783,184703.248172763,185354.692166991,188877.044823524,193029.252228121
"Total Mortality","Neonatal Female",57110.1403719402,3974.3984384214,49991.4720258704,56422.546618356,57050.8164594237,57705.4915773354,65388.1191837513
"Total Mortality","Neonatal Male",45212.1929085594,3072.06733576236,40896.3490207598,43067.1984189271,44902.92468224,47910.1415139663,49977.8898552
"Total Mortality","Neonatal Combined",102322.3332805,4484.83319888679,93697.3779000142,100718.825393019,102380.978222066,104332.688132322,109752.285578233
"Total Mortality","Juvenile Female",38648.4956418823,753.318554100617,37349.487894883,38203.5675022401,38837.2406437673,39277.853524723,39572.9876341677
"Total Mortality","Juvenile Male",28605.2022650526,409.930872348822,28052.0787301605,28390.2545297827,28512.5339589817,28636.7110616748,29447.4210670313
"Total Mortality","Juvenile Combined",67253.6979069349,889.131706416917,65990.9183395828,66593.8220320228,67293.4824413603,67918.4423178597,68536.5064299033
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",2558.32410251414,0.727665342365051,2557.30298039814,2557.83445464278,2558.25863252696,2558.81342259737,2559.67891923415
"Total Mortality","Oxen",13976.7705128532,0.0103174591108628,13976.7549948187,13976.7639734101,13976.7677631744,13976.7775383623,13976.7897870818
"Value of Total Mortality","Overall",1750969845.24153,43327584.1634214,1694517226.64684,1715686479.2312,1752774142.85641,1775240628.74463,1816160091.97165
"Value of Total Mortality","Neonatal Female",223644249.037018,15563809.6552704,195767426.706835,220951620.588526,223411935.619851,225975654.149608,256060950.219238
"Value of Total Mortality","Neonatal Male",675236404.97871,45880802.7261157,610780011.166071,643201277.401339,670617536.662891,715529808.150212,746411277.650245
"Value of Total Mortality","Neonatal Combined",898880654.015728,45253217.3751304,845568458.860425,852992230.601203,906670329.800418,930502614.05988,971041193.184542
"Value of Total Mortality","Juvenile Female",251043222.216585,4893218.06802794,242605452.904353,248153169.396274,252269224.746918,255131247.590192,257048305.850558
"Value of Total Mortality","Juvenile Male",476125337.469302,6823181.08180696,466918755.838715,472547594.440417,474582900.254844,476649792.296995,490143826.400074
"Value of Total Mortality","Juvenile Combined",727168559.685888,8743470.87791329,719071983.005554,720700763.836691,723489522.617839,731199452.937954,742656309.605129
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",91953325.9273531,26154.3282677844,91916623.941607,91935726.612919,91950972.7528418,91970913.4601647,92002021.8307783
"Value of Total Mortality","Oxen",371833316.052037,274.48222255077,371832903.215453,371833142.078885,371833242.900506,371833502.956325,371833828.817153
"Population Liveweight (kg)","Overall",1068996973.36169,103338547.420062,869107001.960934,1015724924.78828,1067776856.79276,1138713554.33078,1214098979.78495
"Population Liveweight (kg)","Neonatal Female",30084292.9543816,9848713.24560388,12500814.1322643,27885498.2686024,32780861.7005723,35787745.5256622,40236276.6402649
