"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318653.692030271,38.0526167731277,318520.114430526,318630.504132768,318654.219888416,318680.099204929,318762.275260028
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16652.2202086543,17.6657832111238,16594.3425199548,16640.4608511261,16653.1496812923,16665.0210086186,16705.2909778301
"Num Offtake","Juvenile Male",20683.3533317598,23.352186009558,20597.6424395098,20668.2401433225,20684.6993972838,20698.8770291941,20747.8731050239
"Num Offtake","Juvenile Combined",37335.5735404141,30.2054531534341,37230.165840479,37316.9708718658,37336.0202257856,37356.4660197651,37421.5942300449
"Num Offtake","Adult Female",52438.6152241317,2.47061889813894,52430.6814325487,52436.9795753558,52438.6800401673,52440.2915391869,52445.2393554972
"Num Offtake","Adult Male",35531.2808089983,7.89753283717511,35500.9175750733,35526.0727496727,35531.2467471979,35536.3890119225,35553.2880825147
"Num Offtake","Oxen",193348.222456727,0.114942355383661,193347.797885532,193348.146248807,193348.222135281,193348.30453523,193348.556036259
"Cml Pop Growth","Overall",149676.531185344,4182.21659071347,134047.009532373,146839.767013552,149809.748422955,152521.412047485,161516.442273335
"Cml Pop Growth","Neonatal Female",-81857.8695838463,2074.25385563833,-89470.7632578541,-83231.1535015742,-81739.9600063776,-80423.9537326425,-76543.1650454482
"Cml Pop Growth","Neonatal Male",13207.1118850213,1727.73835074987,7385.35212353745,12106.314600312,13272.0937489617,14441.4199157342,17958.1228454488
"Cml Pop Growth","Neonatal Combined",-68650.757698825,2695.26990307398,-79218.1827485515,-70561.3791655231,-68598.3978989337,-66841.1866227214,-60742.3380821164
"Cml Pop Growth","Juvenile Female",120044.138209075,1232.77952508037,115776.810778711,119191.464027691,120093.756916946,120935.185821928,123681.029432013
"Cml Pop Growth","Juvenile Male",114689.851835105,1001.6445157266,111504.513563388,114058.186415531,114728.330066547,115330.32390851,117435.564707932
"Cml Pop Growth","Juvenile Combined",234733.99004418,1626.27627827288,229523.294799202,233633.171892782,234741.317872882,235885.901265546,239694.155060743
