"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",418194.516044991,36570.9917171302,327726.112269257,393339.478092828,418008.442637919,438259.326291446,535397.881757345
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",48611.7180854441,10551.5891572042,22440.6425761263,41384.5305409315,48680.8454417593,54567.1790018226,83515.7007446683
"Num Offtake","Juvenile Male",77215.0451209042,18068.2297735641,32377.9720265425,64770.9011334618,77297.8068369883,87336.4987906438,137152.302641671
"Num Offtake","Juvenile Combined",125826.763206348,28619.5049224668,54818.6146026688,106155.431674393,125992.921036735,141903.677792466,220668.003386339
"Num Offtake","Adult Female",43067.7121223377,1201.82911042357,40178.2811833417,42224.8476165658,42915.062342383,43848.5290922509,46384.4244030469
"Num Offtake","Adult Male",55740.7189322933,6809.35928608373,39350.8766405825,50987.1629633951,54854.5728784635,60071.4426122889,74599.5808152781
"Num Offtake","Oxen",193559.321784012,79.7062829413687,193378.339842664,193506.791910754,193544.024901067,193608.25395774,193752.832501764
"Cml Pop Growth","Overall",33856554.3550584,7619403.28400467,17548004.3973901,28571701.6848782,33333339.5371677,38392930.096007,59818733.525763
"Cml Pop Growth","Neonatal Female",11226554.7697486,2637646.02983243,5189467.51838063,9244294.41891209,10962807.388688,12766096.0346807,20250524.6739835
"Cml Pop Growth","Neonatal Male",11318942.3203362,2631136.55214943,5325864.38124941,9329111.60123168,11068019.0266543,12869255.6362121,20163452.004283
"Cml Pop Growth","Neonatal Combined",22545497.0900849,5268438.40450144,10515331.89963,18575196.7007306,22018291.6035038,25595974.807184,40413976.6782665
"Cml Pop Growth","Juvenile Female",4948405.88880315,1201457.51598997,2302411.58788486,4159894.70776516,4963257.06669625,5572111.54380197,9686173.01877885
"Cml Pop Growth","Juvenile Male",4909787.17825325,1195358.31888774,2280115.79419734,4125124.45462148,4922797.13797571,5515438.34643179,9639959.4817805
"Cml Pop Growth","Juvenile Combined",9858193.06705639,2396754.37773383,4582527.3820822,8285019.16238664,9881384.04736939,11087549.8902338,19326132.5005594
"Cml Pop Growth","Adult Female",784245.98746435,213592.172781201,254345.28405768,637668.542579703,786048.84551198,904273.234396773,1493815.29159776
"Cml Pop Growth","Adult Male",845948.900655501,208265.86535149,328929.936026489,702056.561563488,847720.208268826,961535.648910345,1542014.27577157
"Cml Pop Growth","Oxen",-177330.690202697,3607.4202032179,-186022.684303264,-179834.378304135,-177788.267291539,-175032.371126864,-167306.043059049
"Total Number Increase","Overall",34274748.8711034,7648309.49478578,17924667.6630383,28953596.5534253,33754524.8445483,38801657.0222186,60354131.4075203
"Total Number Increase","Neonatal Female",11226554.7697486,2637646.02983243,5189467.51838063,9244294.41891209,10962807.388688,12766096.0346807,20250524.6739835
"Total Number Increase","Neonatal Male",11318942.3203362,2631136.55214943,5325864.38124941,9329111.60123168,11068019.0266543,12869255.6362121,20163452.004283
"Total Number Increase","Neonatal Combined",22545497.0900849,5268438.40450144,10515331.89963,18575196.7007306,22018291.6035038,25595974.807184,40413976.6782665
"Total Number Increase","Juvenile Female",4997017.60688859,1211385.60997098,2324852.23046098,4202329.93095404,5012408.65965336,5625350.59027407,9769688.71952352
"Total Number Increase","Juvenile Male",4987002.22337415,1212354.10041401,2312493.76622389,4191703.66064258,5003916.3882343,5600550.46582659,9777111.78442217
"Total Number Increase","Juvenile Combined",9984019.83026274,2423681.66453001,4637345.99668487,8394033.59159662,10008545.0458663,11225901.0561007,19546800.5039457
"Total Number Increase","Adult Female",827313.699586688,214766.258388946,294523.565241022,679984.408406034,829048.194427625,948292.229052372,1540199.71600081
"Total Number Increase","Adult Male",901689.619587794,214917.113874948,368280.812667072,753495.049919105,903092.270526831,1021993.53008132,1616613.85658684
"Total Number Increase","Oxen",16228.6315813148,3686.12979228975,7355.65553940041,13656.3602643589,15749.7323121534,18573.2661886717,26439.830093632
"Total Mortality","Overall",1585951.20561411,389021.217798887,669001.815648141,1309068.94609151,1580863.77136823,1803372.07777346,3131424.17883879
"Total Mortality","Neonatal Female",768803.868487166,194633.682427317,315162.369125366,640771.462483653,749026.74675679,880230.624595915,1565671.99821411
"Total Mortality","Neonatal Male",763235.887334663,199648.267341855,303533.746754736,627015.595424967,750502.050134603,870537.583189101,1507700.02707024
"Total Mortality","Neonatal Combined",1532039.75582183,387709.775558134,618696.115880102,1256248.89864472,1526325.3551561,1748013.07956552,3073372.02528435
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",35889.7601019481,1001.52425868631,33481.9009861181,35187.3730138048,35762.5519519859,36540.4409102091,38653.6870025391
"Total Mortality","Adult Male",4029.4495613706,492.24283995786,2844.64168486139,3685.81900940205,3965.39081049134,4342.51392377992,5392.74078182733
"Total Mortality","Oxen",13992.2401289647,5.76189997166506,13979.1570970601,13988.4427887292,13991.1343301976,13995.7773945354,14006.2288555492
"Value of Total Mortality","Overall",17942000392.117,4402600634.48262,7614186282.98239,14860615294.0847,17767903930.521,20388753781.444,35045751352.8114
"Value of Total Mortality","Neonatal Female",5137278089.93962,1300575339.54099,2105968505.16268,4281743796.83261,5005124001.86583,5881850608.6978,10462086342.3655
"Value of Total Mortality","Neonatal Male",11982328035.3179,3134353442.58647,4765290762.34276,9843754299.70808,11782414722.7871,13666897825.3519,23669951325.6664
"Value of Total Mortality","Neonatal Combined",17119606125.2575,4373721684.66898,6871259267.50544,14058002591.2022,16951910913.1096,19538375587.7955,34132037668.0318
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",641492590.15852,17901217.1991754,598454582.198507,628938142.561573,639218875.166368,653122841.123478,690894943.961735
"Value of Total Mortality","Adult Male",123893334.810061,15134972.1717351,87464091.3875366,113327739.093428,121923722.79499,133519113.040645,165810398.92693
