"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318993.618834,24.3541124125779,318906.840829164,318977.436701883,318993.421961746,319010.004151445,319070.826850317
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16828.555715298,11.5961170659802,16788.0698808479,16820.7337675061,16828.3328692965,16836.4962039488,16864.4802788055
"Num Offtake","Juvenile Male",20913.4246201537,14.1833326889018,20869.5706157485,20903.4207200083,20913.3873292068,20923.4936226913,20960.0292323898
"Num Offtake","Juvenile Combined",37741.9803354516,18.763053910505,37675.3686540943,37729.1686639646,37742.0167552807,37754.5727782921,37801.2518316315
"Num Offtake","Adult Female",52456.504757877,1.90522129158174,52449.6106396415,52455.1521726038,52456.4614215166,52457.787783197,52462.6939170449
"Num Offtake","Adult Male",35449.4203310255,5.67994460804988,35432.8571784642,35445.4590882502,35449.5343611705,35453.2069356387,35467.0999469133
"Num Offtake","Oxen",193345.713409646,0.092915433281542,193345.445813113,193345.647834397,193345.717918532,193345.779405034,193345.978247982
"Cml Pop Growth","Overall",246690.23156245,1087.03438816003,243676.422725018,245979.870332459,246658.626234949,247426.547345743,250458.94310048
"Cml Pop Growth","Neonatal Female",-46272.7185876302,122.206366390973,-46654.4432152409,-46350.6427210649,-46275.505118991,-46189.7738900719,-45881.3918834498
"Cml Pop Growth","Neonatal Male",42470.1841470898,122.206366390971,42088.4595194792,42392.2600136551,42467.3976157289,42553.1288446481,42861.5108512702
"Cml Pop Growth","Neonatal Combined",-3802.53444054039,244.412732781944,-4565.98369576171,-3958.38270740988,-3808.10750326212,-3636.64504542382,-3019.88103217963
"Cml Pop Growth","Juvenile Female",136831.825882404,679.018680975924,135002.793675841,136379.665601977,136824.179113002,137312.461398893,138654.528483195
"Cml Pop Growth","Juvenile Male",127774.557438546,502.963093669718,126136.910700913,127428.786624839,127735.924480356,128121.446998058,129432.032077905
"Cml Pop Growth","Juvenile Combined",264606.383320951,859.717102559203,262235.284475694,264039.01102107,264602.43278256,265157.994665452,267616.438594758
"Cml Pop Growth","Adult Female",41098.8816796757,173.594315194752,40495.4468914308,40981.5195626999,41094.4771954333,41217.1541973801,41635.3288304529
"Cml Pop Growth","Adult Male",132890.447732031,120.349648329797,132518.515476075,132805.626387072,132889.89196638,132975.283925406,133285.583030761
"Cml Pop Growth","Oxen",-188102.946729667,2.9825696461346,-188111.661345071,-188105.026932011,-188102.887416406,-188100.945736578,-188093.639534592
"Total Number Increase","Overall",565683.85039645,1105.04785806703,562625.156269093,564963.464210734,565651.988218935,566427.624060884,569485.30277867
"Total Number Increase","Neonatal Female",-46272.7185876302,122.206366390973,-46654.4432152409,-46350.6427210649,-46275.505118991,-46189.7738900719,-45881.3918834498
"Total Number Increase","Neonatal Male",42470.1841470898,122.206366390971,42088.4595194792,42392.2600136551,42467.3976157289,42553.1288446481,42861.5108512702
"Total Number Increase","Neonatal Combined",-3802.53444054039,244.412732781944,-4565.98369576171,-3958.38270740988,-3808.10750326212,-3636.64504542382,-3019.88103217963
"Total Number Increase","Juvenile Female",153660.381597702,687.770376234987,151812.436676704,153203.257860248,153653.51272521,154146.517370674,155500.644609441
"Total Number Increase","Juvenile Male",148687.9820587,513.468736985585,147019.84416308,148332.880502941,148650.364171818,149044.56350165,150377.905809993
"Total Number Increase","Juvenile Combined",302348.363656403,873.350877452893,299930.246713357,301768.008137878,302349.148931503,302914.179037999,305388.392866638
"Total Number Increase","Adult Female",93555.3864375527,175.386454663452,92945.0575310722,93436.5349343153,93551.332887057,93675.4551315194,94097.7151616963
"Total Number Increase","Adult Male",168339.868063056,125.660492108417,167951.372654539,168250.98777745,168339.417896324,168429.307321804,168752.682977674
"Total Number Increase","Oxen",5242.76667997933,3.0729487596147,5233.80455011813,5240.62421698605,5242.82735804912,5244.81367466723,5252.33326296168
"Total Mortality","Overall",117309.411123487,1047.04100020943,114073.565553457,116621.77979244,117304.933792314,118030.702890254,120185.614426278
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",39465.5252685183,830.932595776676,37206.1116161335,38876.471249432,39459.4312810137,40037.0366069245,41904.6677913917
"Total Mortality","Juvenile Male",28519.1631229342,611.729398086899,26505.4785752371,28103.9554237635,28552.5925923661,28929.6993852545,30477.1163557123
"Total Mortality","Juvenile Combined",67984.6883914525,1047.89644396685,64745.7698109547,67297.6605966292,67980.1409879558,68707.066269866,70866.1599546638
"Total Mortality","Adult Female",32785.3154736731,1.19076330723847,32781.0066497759,32784.4701078774,32785.2883884479,32786.1173644981,32789.1836981531
"Total Mortality","Adult Male",2562.60869862835,0.410598405401205,2561.41136229862,2562.32234372893,2562.61694177136,2562.88242908232,2563.88674315036
"Total Mortality","Oxen",13976.7985597334,0.00671677830946369,13976.7792154058,13976.793819354,13976.798885677,13976.8033304844,13976.8177046734
"Value of Total Mortality","Overall",1295090582.34897,12802490.1509815,1255903146.24182,1286638379.13749,1294900924.35713,1303895149.33695,1331409313.43684
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",511601960.045392,10771597.28073,482312587.985887,503965898.224682,511522962.08627,519010611.493141,543221204.614968
"Value of Total Mortality","Juvenile Male",307470103.468272,6595162.01487371,285760216.906595,302993676.383981,307830512.445942,311896166.971924,328579140.941543
"Value of Total Mortality","Juvenile Combined",819072063.513664,12813857.2860738,779860225.380025,810611505.932405,818886309.583503,827880465.865875,855460135.107143
"Value of Total Mortality","Adult Female",403405260.337066,14651.6870439177,403352242.630788,403394858.576278,403404927.068278,403415127.162269,403452856.710041
