"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",34508.3790116131,310.010600693735,33808.7446918914,34289.7299473316,34498.4381361297,34716.6827540618,35502.3105142729
"Num Offtake","Neonatal Female",2543.35439667262,41.2573106607751,2449.94167608923,2514.72055901631,2541.89159853765,2570.98559607521,2675.53994338592
"Num Offtake","Neonatal Male",8760.54164569329,231.873492530098,8228.13965582428,8602.18583039687,8751.07326430943,8914.55418355355,9494.81441213159
"Num Offtake","Neonatal Combined",11303.8960423659,273.090769418479,10678.0813319135,11115.2713891706,11292.8845389361,11485.5397796288,12170.3543555175
"Num Offtake","Juvenile Female",7925.7427557337,33.7154398286465,7862.06221824682,7902.01401093768,7924.6178442427,7946.23882918167,8034.62379335926
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",7925.7427557337,33.7154398286465,7862.06221824682,7902.01401093768,7924.6178442427,7946.23882918167,8034.62379335926
"Num Offtake","Adult Female",14589.6769426674,3.61241606804987,14582.7764847643,14587.0637847626,14589.4592248728,14591.9408399715,14600.6618710936
"Num Offtake","Adult Male",689.063270846075,2.78242898005701,683.748946273206,687.051846735227,688.894862076761,690.807147058534,697.523575225715
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",27877.1100188804,2077.31860199409,22960.4142422575,26540.9368168615,28018.1919742728,29167.7610460743,34480.8661754245
"Cml Pop Growth","Neonatal Female",6016.58500151987,799.755606540138,4124.98958118535,5504.19439556456,6002.67373863654,6479.26108330285,8663.77392812703
"Cml Pop Growth","Neonatal Male",12379.1124009821,703.466918411882,10755.7430554703,11885.8055242229,12361.2271501569,12821.1135412842,14686.7841019978
"Cml Pop Growth","Neonatal Combined",18395.6974025019,1500.10295034553,14880.7326366556,17389.8860933429,18340.6021439425,19317.6171754451,23350.5580301248
"Cml Pop Growth","Juvenile Female",3858.22116957719,346.727861989961,3053.21509469621,3638.51635692618,3837.37021077729,4085.66753160308,4942.61939618927
"Cml Pop Growth","Juvenile Male",10836.9629295036,324.829060398393,10079.0746564102,10637.7318662226,10816.7090900001,11048.7696356403,11844.2633521186
"Cml Pop Growth","Juvenile Combined",14695.1840990808,671.512987932983,13132.2897511064,14280.1420154866,14654.0793007774,15134.5955338032,16786.8827483079
"Cml Pop Growth","Adult Female",-8083.00150767028,59.0230558956714,-8195.9192107006,-8124.74329606239,-8085.264115128,-8046.40206889079,-7891.06979297553
"Cml Pop Growth","Adult Male",2869.23002496795,58.8530409771177,2756.69096054251,2827.66365924844,2867.0782615567,2905.77068575584,3060.39329553826
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",62385.4890304934,2333.63795608096,56862.437193615,60789.8174580697,62496.8378096644,63849.6607185032,69606.9838106263
"Total Number Increase","Neonatal Female",8559.93939819248,826.964595151301,6596.23716465057,8030.38165539272,8561.09654629531,9076.13264285849,11290.2111144412
"Total Number Increase","Neonatal Male",21139.6540466754,857.262419039502,19098.1910042705,20614.3120871209,21177.7228208753,21677.1405953869,23940.5857441846
"Total Number Increase","Neonatal Combined",29699.5934448678,1683.43634353522,25694.4281689211,28652.1003509713,29745.1839036993,30706.4482387785,35230.7968586258
"Total Number Increase","Juvenile Female",11783.9639253109,377.453813773732,10915.277312943,11532.7772089129,11765.1512903762,12033.905766236,12977.2431895485
"Total Number Increase","Juvenile Male",10836.9629295036,324.829060398393,10079.0746564102,10637.7318662226,10816.7090900001,11048.7696356403,11844.2633521186
"Total Number Increase","Juvenile Combined",22620.9268548145,701.957575488703,20994.3519693532,22172.4487668945,22578.2567938539,23082.8337684362,24821.5065416672
"Total Number Increase","Adult Female",6506.6754349971,62.5288831374821,6388.03027315453,6462.59023102872,6504.615612938,6545.31957422271,6709.11150061242
"Total Number Increase","Adult Male",3558.29329581403,61.5533977801201,3441.34261841848,3514.92324642957,3556.22965519632,3596.46204668056,3757.54436734641
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",54372482.2114881,3644904.27949605,44121401.2299875,52298627.8547137,54650760.4436667,57127466.4563376,63313940.6844246
"Population Liveweight (kg)","Neonatal Female",4305262.97368096,769292.82495853,1714370.63472316,3830297.99754938,4352429.86218457,4873726.89004695,5869036.6836167
"Population Liveweight (kg)","Neonatal Male",2754141.20292849,649878.862405465,1387940.0187181,2270887.02431691,2751203.81335038,3241373.80930412,4355475.68713392
"Population Liveweight (kg)","Juvenile Female",9784462.69793585,1698139.48592383,7099310.11592162,8509128.49154975,9411057.87410662,11029046.6797233,14147322.4915631
"Population Liveweight (kg)","Juvenile Male",5534662.39717474,794762.439943841,3683431.65498959,4982417.49355885,5579419.72544617,6137539.80405047,7127654.45770142
"Population Liveweight (kg)","Juvenile Combined",15319125.0951106,1785416.78521793,11317285.3140841,14182594.7034277,15159415.2482878,16438406.4686675,20193077.7206287
"Population Liveweight (kg)","Adult Female",29085891.3223106,3179128.18876218,19943768.800754,27487560.1919091,29514006.5706583,31763947.9671767,33474898.3420556
"Population Liveweight (kg)","Adult Male",2908061.61745738,411015.821362882,1923464.05262935,2624849.14405764,2967892.05768525,3214575.77623039,3611962.10456248
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",9980235.95629075,949187.727261312,7223820.97475746,9567045.06633649,10206531.8062441,10639291.5693035,11758801.1192292
"Offtake Liveweight (kg)","Juvenile Female",2119166.11638443,330554.892546374,1557642.77909186,1889380.83597995,2101753.34989855,2356744.00880913,3008387.5595772
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",7508187.38252453,897403.070374125,4765871.35160026,7066530.45704734,7676131.48016083,8216036.78606825,8711520.99049439
"Offtake Liveweight (kg)","Adult Male",352882.457381793,51601.4378123709,206698.576978801,317375.868558591,356627.99389029,391852.024152388,437596.806843979
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",32574595.9815323,941239.93087512,30175326.2857746,31844291.460823,32690066.1774679,33198003.9670219,34751248.7117326
"Manure","Overall",70979378.4951644,2762567.3483056,63567543.6457522,69410413.135426,70927495.1183988,72519045.4774818,78395663.5198671
"Manure","Neonatal Female",6419277.35496638,194848.485074043,6035798.75763187,6268030.4764584,6428995.15796034,6538081.06691545,6891737.97622116
