"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",21052.6507796988,193.775301044941,20616.789490855,20922.7367957963,21037.1003496557,21182.7695841491,21562.1344685619
"Num Offtake","Neonatal Female",1457.67235059901,24.5063653484179,1402.76073992984,1441.3493774024,1455.57825454614,1474.26447368414,1523.231037933
"Num Offtake","Neonatal Male",5404.85465716361,145.789915004977,5079.63920836283,5307.31696532355,5393.18736617181,5501.71411184062,5803.40831752744
"Num Offtake","Neonatal Combined",6862.52700776261,170.289280637386,6482.39994829267,6748.85299284955,6848.75623850053,6975.97858552476,7326.63935546044
"Num Offtake","Juvenile Female",4634.71952805088,20.2112388976343,4589.50954597903,4620.49136793434,4632.70281902862,4649.2809231566,4688.32147071769
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4634.71952805088,20.2112388976343,4589.50954597903,4620.49136793434,4632.70281902862,4649.2809231566,4688.32147071769
"Num Offtake","Adult Female",8920.66417611988,2.27861472543437,8915.87125549583,8919.10283790042,8920.46566204511,8922.43180276609,8927.82181123257
"Num Offtake","Adult Male",634.740067765412,2.72475527996365,629.008741087445,632.87303740804,634.502692528662,636.854482407092,643.299527555141
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",35818.7238617069,2163.63592380641,30995.3702679655,34325.3711850497,35721.4886830456,36901.1655937109,42401.3591406191
"Cml Pop Growth","Neonatal Female",5508.61804638413,808.863408948484,3856.46435762646,4961.85421161732,5414.4357823903,5981.62308501277,7810.54872963914
"Cml Pop Growth","Neonatal Male",14407.2952330303,751.509482791216,12923.327922415,13896.2018174804,14325.0081589618,14875.8918789699,16490.7881663635
"Cml Pop Growth","Neonatal Combined",19915.9132794144,1559.22630135458,16779.7922800414,18872.5102809356,19739.4439413521,20861.9451707658,24289.1349041448
"Cml Pop Growth","Juvenile Female",3925.42851774963,353.688664608687,3146.0751588144,3690.99535986365,3897.19619915305,4157.37914272926,4934.98269439667
"Cml Pop Growth","Juvenile Male",11029.6459481312,340.122097523844,10281.2992669726,10808.820223806,11005.6189209991,11253.7474627141,12010.9112200349
"Cml Pop Growth","Juvenile Combined",14955.0744658809,693.796198683811,13427.374425787,14499.8155836696,14902.8151201521,15411.1266054433,16945.8939144316
"Cml Pop Growth","Adult Female",-2132.91576986369,64.8244714365616,-2278.23776672677,-2179.17531744288,-2139.83326030752,-2086.74132263908,-1963.59902513168
"Cml Pop Growth","Adult Male",3080.65188627527,64.7171860158582,2935.57339017456,3034.50262631828,3073.7518122733,3126.78936807689,3249.85759625992
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",56871.3746414057,2322.90257850574,51645.1365114921,55345.6026785314,56851.8061798547,58026.0197943223,63963.493609181
"Total Number Increase","Neonatal Female",6966.29039698314,824.724447051281,5263.2733262058,6417.54567096072,6874.6579957175,7437.04645057174,9333.77976757214
"Total Number Increase","Neonatal Male",19812.1498901939,845.961424249275,18025.8423000373,19254.5733912207,19697.8791638034,20289.988644156,22258.5603043973
"Total Number Increase","Neonatal Combined",26778.4402871771,1670.3006431082,23289.1156262431,25680.7347401255,26576.0573050852,27721.2515039817,31592.3400719694
"Total Number Increase","Juvenile Female",8560.14804580051,372.275839826956,7736.78234084977,8310.01638659438,8529.08033533634,8801.99733204116,9607.14954493693
"Total Number Increase","Juvenile Male",11029.6459481312,340.122097523844,10281.2992669726,10808.820223806,11005.6189209991,11253.7474627141,12010.9112200349
"Total Number Increase","Juvenile Combined",19589.7939939318,712.291170690419,18019.104474244,19113.7621014421,19532.5361245502,20055.7447947552,21618.0607649719
"Total Number Increase","Adult Female",6787.74840625619,67.0352496372182,6637.63348876906,6740.24024182651,6780.7202377911,6835.64385924354,6964.22278610089
"Total Number Increase","Adult Male",3715.39195404068,67.362037868029,3564.582131262,3667.74942809783,3708.45170810968,3763.66883673257,3893.15712381506
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",8332.62605394554,135.799483319542,8027.01039233988,8242.15372109109,8322.14048573368,8422.73654311077,8687.12527663638
"Total Mortality","Neonatal Female",3683.9355769684,61.934268789638,3545.1589609136,3642.68297198061,3678.6432251257,3725.86839712901,3849.6202595034
"Total Mortality","Neonatal Male",2116.26703477674,57.0839385512444,1988.92915482375,2078.07622022528,2111.6987152053,2154.19228604464,2272.3204398206
"Total Mortality","Neonatal Combined",5800.20261174513,119.008296285724,5534.08811573736,5721.18075388381,5790.3182289088,5880.06068317364,6121.940699324
"Total Mortality","Juvenile Female",2052.51864813682,8.9506915118095,2032.49708464785,2046.21760579949,2051.62553414125,2058.96726596935,2076.25665131783
"Total Mortality","Juvenile Male",479.904794063588,8.70092989128705,460.425191954675,473.750967795971,479.008345630834,486.140558077956,502.866128492779
"Total Mortality","Juvenile Combined",2532.42344220041,17.6515587621593,2492.92227660253,2519.96857359546,2530.63387977208,2545.11198407847,2579.12277981061
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",105899297.764567,1551969.12631296,102395370.52436,104887585.565826,105780708.418231,106906960.111055,109851057.62701
"Value of Total Mortality","Neonatal Female",40950627.8735807,688461.331865616,39407987.0095156,40492063.9165365,40891798.0904973,41416753.1024861,42792378.8046397
"Value of Total Mortality","Neonatal Male",20275954.4601959,546921.215259472,19055930.2323664,19910048.2659784,20232185.390382,20639316.2925937,21771102.1339212
"Value of Total Mortality","Neonatal Combined",61226582.3337766,1235280.85413743,58463917.241882,60406151.164951,61123719.90471,62056069.3950797,64563480.9385609
"Value of Total Mortality","Juvenile Female",34765560.8621414,151606.812827029,34426435.6197653,34658833.8070318,34750433.2972844,34874787.5509888,35167635.1600215
"Value of Total Mortality","Juvenile Male",9907154.56864871,179621.99667573,9505017.66271232,9780114.97918002,9888648.28720294,10035885.6809613,10381168.3566049
"Value of Total Mortality","Juvenile Combined",44672715.4307901,331227.642234379,43931453.2824777,44438948.7862118,44639081.5844874,44910759.1116336,45548803.5166264
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",47076568.271461,6094565.10331415,32181737.9146773,42857805.0693789,47469601.4215751,52019854.4828008,58539002.5393778
"Population Liveweight (kg)","Neonatal Female",2016300.19589279,1200555.17184188,56957.5788804689,1005962.94019559,1989756.38362081,3073281.87527434,4285813.10254222
"Population Liveweight (kg)","Neonatal Male",1599206.39087585,864997.562640749,21056.494489341,893841.749691204,1525389.84195358,2410560.64033507,3146909.18281086
"Population Liveweight (kg)","Juvenile Female",6864005.36564635,3755603.39145096,35124.835252891,3867899.71617871,7311707.6480285,9885292.63238902,12975229.8700508
"Population Liveweight (kg)","Juvenile Male",2762601.94316131,1602566.11852074,14703.4751159943,1377254.63663156,2970735.47523314,4022394.35754514,5506617.44812625
