"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18705.0507474352,1.95683780627132,18697.6760810909,18703.7856812172,18705.0439292314,18706.3436044504,18711.0815245434
"Num Offtake","Neonatal Female",1233.52093401397,0.245735312156891,1232.59750536706,1233.36361559279,1233.5195974732,1233.68449957958,1234.27739328428
"Num Offtake","Neonatal Male",4204.92235415706,1.46861668441994,4199.42248006417,4203.99298254152,4204.92897863972,4205.8968911414,4209.43654594515
"Num Offtake","Neonatal Combined",5438.44328817103,1.71429511556928,5432.01998543123,5437.36117058465,5438.44956412077,5439.5778778942,5443.71393922943
"Num Offtake","Juvenile Female",3958.34316226429,0.188081387367346,3957.64096127885,3958.21505658448,3958.34989196388,3958.47285494231,3958.90464852607
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",3958.34316226429,0.188081387367346,3957.64096127885,3958.21505658448,3958.34989196388,3958.47285494231,3958.90464852607
"Num Offtake","Adult Female",8608.22643934703,0.0318987584044212,8608.10978028547,8608.20348671618,8608.22757115641,8608.24869842843,8608.3145134596
"Num Offtake","Adult Male",700.037857652836,0.0400630941103952,699.891439524991,700.008984290732,700.039257858498,700.065765775348,700.148423328262
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",14723.1991382685,21.298331054013,14654.643424558,14708.8486879538,14722.9876925532,14737.3895501142,14795.8116085212
"Cml Pop Growth","Neonatal Female",17.0626995003391,7.61228938430173,-5.0503252599774,11.7078592508533,17.1206970660005,22.3263824864653,43.225708626007
"Cml Pop Growth","Neonatal Male",9601.71447972579,6.99280179581008,9581.44572547345,9596.73472031644,9601.86279173411,9606.43207569254,9625.47497518117
"Cml Pop Growth","Neonatal Combined",9618.77717922612,14.5939748105787,9576.52196869424,9608.45959712383,9618.9708142934,9628.68547325886,9668.70068380718
"Cml Pop Growth","Juvenile Female",-3889.43064027723,3.44016604908426,-3902.08545335072,-3891.74235676579,-3889.39648625411,-3887.07043245024,-3878.96936283098
"Cml Pop Growth","Juvenile Male",7274.28146852317,3.30618271270541,7262.16469440354,7272.09183420086,7274.30897082114,7276.5413910497,7284.31124494155
"Cml Pop Growth","Juvenile Combined",3384.85082824593,6.74618948681714,3360.07924105282,3380.35061618904,3384.89977467249,3389.46813128464,3405.34188211057
"Cml Pop Growth","Adult Female",-2247.50727020989,0.934745877132301,-2251.01110126789,-2248.13899788488,-2247.48261529943,-2246.87139046768,-2244.70480720251
"Cml Pop Growth","Adult Male",3967.07840100629,0.952632588976866,3963.51095966793,3966.43132471184,3967.10458580853,3967.72668829445,3969.93180839479
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
