"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35465.6421060354,3.57135288953825,35454.1462363473,35463.0268661361,35465.671152654,35468.156316767,35476.6619990375
"Num Offtake","Neonatal Female",2448.19936050942,0.482073593807402,2446.65358895318,2447.84890747014,2448.19819813792,2448.53737566371,2449.68265970362
"Num Offtake","Neonatal Male",7501.82287548527,2.64557381238486,7493.24711298967,7499.93115260252,7501.87284440086,7503.65995960239,7509.99587107381
"Num Offtake","Neonatal Combined",9950.02223599469,3.12722575389912,9939.90261111478,9947.78702230475,9950.06189776593,9952.20653880777,9959.67853077743
"Num Offtake","Juvenile Female",8699.73024604653,0.397417691834115,8698.41997503854,8699.44546057528,8699.73095692924,8700.01760921512,8700.94325782094
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8699.73024604653,0.397417691834115,8698.41997503854,8699.44546057528,8699.73095692924,8700.01760921512,8700.94325782094
"Num Offtake","Adult Female",16113.1561784759,0.0435527624242459,16113.0109762604,16113.1248189135,16113.1559771838,16113.1872004952,16113.2881076968
"Num Offtake","Adult Male",702.733445518313,0.030321412435114,702.63232466933,702.711691228741,702.733316321706,702.755029799318,702.825305004063
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3535.14239116491,17.8842136494913,-3594.48258554666,-3547.63701757031,-3534.93961217384,-3522.5227607298,-3478.19227869908
"Cml Pop Growth","Neonatal Female",-2765.35693811657,6.4843720684651,-2785.0392451405,-2769.86584911414,-2765.23878523514,-2760.81990472533,-2746.42454240257
"Cml Pop Growth","Neonatal Male",5496.3966631792,5.41910028070827,5480.14860342745,5492.56379561258,5496.52328426416,5500.33598402125,5510.96678267261
"Cml Pop Growth","Neonatal Combined",2731.03972506263,11.863581841137,2695.23912240195,2722.79887549254,2731.44212187648,2739.69679794056,2764.46238229945
"Cml Pop Growth","Juvenile Female",-1357.19570217054,3.3630493473958,-1368.25613648231,-1359.55965390673,-1357.13205001243,-1354.82581591536,-1346.83994364962
"Cml Pop Growth","Juvenile Male",7386.66997822694,3.12188158896472,7376.38591521616,7384.46739502165,7386.75393471079,7388.85206876901,7396.30912408316
"Cml Pop Growth","Juvenile Combined",6029.4742760564,6.48458341700598,6008.12977873385,6024.88687685648,6029.55491881499,6034.04319125404,6049.46918043353
"Cml Pop Growth","Adult Female",-14772.2006804898,0.603015245809255,-14774.1793465035,-14772.6346738303,-14772.2028000461,-14771.7573133902,-14770.3642911301
"Cml Pop Growth","Adult Male",2476.54428820582,0.615957926259108,2474.51954220057,2476.10225557445,2476.54041431418,2476.995474583,2478.42214651556
