"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",22948.0213016836,2.48579623561289,22943.0499576594,22946.3509625858,22947.9306767391,22949.5507542345,22954.21336197
"Num Offtake","Neonatal Female",1583.5173900495,0.31988959320817,1582.87786232058,1583.30315840705,1583.508587652,1583.71488900699,1584.31981825934
"Num Offtake","Neonatal Male",5181.14246533493,1.86863773098468,5177.31139374877,5179.87842157802,5181.12284085804,5182.30852064092,5185.87869717638
"Num Offtake","Neonatal Combined",6764.65985538443,2.18841158702486,6760.18925606935,6763.18157998507,6764.63142851004,6766.02340964791,6770.19851543571
"Num Offtake","Juvenile Female",5393.30417384653,0.258892191140142,5392.73891842455,5393.1097369741,5393.28992564056,5393.47264267357,5393.85636399345
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",5393.30417384653,0.258892191140142,5392.73891842455,5393.1097369741,5393.28992564056,5393.47264267357,5393.85636399345
"Num Offtake","Adult Female",10151.9883389437,0.0280779520199513,10151.919228376,10151.9689866425,10151.9871854849,10152.0088663108,10152.0550664579
"Num Offtake","Adult Male",638.068933508888,0.0292003071100969,637.997017120538,638.048908622298,638.067721734373,638.090228747549,638.138426229152
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",12953.1690047646,19.2822662272488,12906.4652252398,12939.7214214744,12951.9247786329,12967.7704788383,13006.5091521002
"Cml Pop Growth","Neonatal Female",709.303661338885,6.60979140408484,693.082288239631,704.697580942112,708.281398289129,714.125788202999,726.344905802416
"Cml Pop Growth","Neonatal Male",8942.06005742143,5.83815840632433,8928.01124351514,8938.33665830107,8941.29914517881,8946.49281472141,8956.20758631191
"Cml Pop Growth","Neonatal Combined",9651.36371876031,12.4231577294991,9621.09353175477,9642.8651070635,9649.5065890997,9660.36250496044,9682.55249211432
"Cml Pop Growth","Juvenile Female",1199.55699331416,3.81438143304545,1191.39343609751,1196.95225792211,1199.4445698133,1201.78816225437,1209.38665903998
"Cml Pop Growth","Juvenile Male",8429.96002225469,3.62968585617628,8422.10242094161,8427.47539798226,8429.78673359316,8432.02328254644,8439.35363454637
"Cml Pop Growth","Juvenile Combined",9629.51701556885,7.44385317545948,9613.49585703912,9624.42765590437,9629.23487715544,9633.81144480081,9648.74029358636
"Cml Pop Growth","Adult Female",-8995.04167522919,0.674032023954724,-8996.49055502762,-8995.54468645194,-8995.07800967462,-8994.60107586804,-8993.5884409053
