"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35729.4596429759,4.26853847697325,35721.6675599811,35727.1223450314,35729.5872878798,35731.9290231452,35736.2918643815
"Num Offtake","Neonatal Female",2566.53191206721,0.578724266275604,2565.47596142782,2566.21800389967,2566.54442633337,2566.8681954237,2567.46065606407
"Num Offtake","Neonatal Male",7787.41593772081,3.18746296076542,7781.50543484889,7785.87547343011,7787.46499961907,7789.22254423184,7792.55585963077
"Num Offtake","Neonatal Combined",10353.947849788,3.76568879874319,10346.9813962767,10352.0934773298,10354.0094259524,10356.0907396555,10360.0165156948
"Num Offtake","Juvenile Female",8579.24805743635,0.450107383359418,8578.54290885598,8578.92970674836,8579.28910596675,8579.55214419847,8579.90764212412
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8579.24805743635,0.450107383359418,8578.54290885598,8578.92970674836,8579.28910596675,8579.55214419847,8579.90764212412
"Num Offtake","Adult Female",16094.5961077131,0.0504231952990975,16094.5244585225,16094.5589474221,16094.6084472341,16094.6340838482,16094.6586240481
"Num Offtake","Adult Male",701.667628038399,0.0350578403242869,701.617845777189,701.641758433838,701.676260032791,701.694058331617,701.711149867384
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-1589.39902804899,26.6014329819164,-1633.12748303065,-1604.45468924167,-1582.90123658265,-1576.30428543298,-1545.11729337017
"Cml Pop Growth","Neonatal Female",-895.58811100613,10.0156048393931,-910.874908351074,-902.28224913756,-893.555318028901,-890.263082706203,-879.234730277858
"Cml Pop Growth","Neonatal Male",6247.44469328179,8.32636803190461,6235.33048229147,6240.89941907943,6249.621774657,6251.96694576655,6260.79069670737
"Cml Pop Growth","Neonatal Combined",5351.85658227566,18.3252750933102,5324.8626404833,5338.67218362466,5355.95642926252,5361.53301059377,5381.55596642951
"Cml Pop Growth","Juvenile Female",-1854.11279138232,4.01418363619211,-1861.6422278886,-1855.80023458807,-1854.11953208339,-1851.79054085951,-1847.60601632866
"Cml Pop Growth","Juvenile Male",7391.69810032371,3.71996876940833,7384.66770935884,7390.24746057494,7391.69981904221,7393.90257291762,7397.72431328617
"Cml Pop Growth","Juvenile Combined",5537.58530894139,7.73370355982172,5523.02548147025,5534.44722598687,5537.58028695882,5542.11203205811,5550.11829695751
