"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17880.5509335374,2.05052195593723,17875.2733438231,17879.1166031137,17880.4087221367,17881.9812672043,17885.1155352254
"Num Offtake","Neonatal Female",1172.99665851541,0.257700222792995,1172.34070955123,1172.81975256396,1172.97894772677,1173.17257850083,1173.56431720248
"Num Offtake","Neonatal Male",3972.62354827196,1.54141944044252,3968.73065587502,3971.5607431413,3972.53241811521,3973.63777183276,3975.98735398216
"Num Offtake","Neonatal Combined",5145.62020678736,1.79906831879339,5141.07136542625,5144.38049570526,5145.51136584198,5146.81035033359,5149.55167118464
"Num Offtake","Juvenile Female",4178.02865727579,0.212708893820823,4177.45127687162,4177.8868870495,4178.02680594114,4178.18978337456,4178.53775887591
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4178.02865727579,0.212708893820823,4177.45127687162,4177.8868870495,4178.02680594114,4178.18978337456,4178.53775887591
"Num Offtake","Adult Female",7943.05175654827,0.0234271594897355,7942.98595732604,7943.03728227628,7943.0517419227,7943.06746140979,7943.10770832764
"Num Offtake","Adult Male",613.850312925955,0.0304426480737706,613.764744199176,613.831586806735,613.850347742962,613.87081935958,613.922972077794
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",13766.776319149,21.9989271127225,13706.9778981864,13751.2353897511,13766.7526149161,13780.4312561692,13816.5195968911
"Cml Pop Growth","Neonatal Female",-753.437031186299,7.70033924124618,-775.434509356066,-758.750477242485,-754.329163669454,-747.036745038719,-737.173915769468
"Cml Pop Growth","Neonatal Male",8954.80766325218,7.07448542257348,8934.73529384673,8950.05369055249,8953.93793648042,8960.32609465636,8969.51616081919
"Cml Pop Growth","Neonatal Combined",8201.37063206588,14.7623927593255,8159.30078449066,8191.30188386477,8199.5556481157,8213.13474263314,8232.34224504972
"Cml Pop Growth","Juvenile Female",1403.59983778863,4.03159374112712,1393.67857223209,1401.07614327041,1403.39184363879,1406.08246989753,1412.25737825187
"Cml Pop Growth","Juvenile Male",8399.23645005965,3.88597967081477,8389.71355012196,8396.81520506609,8399.03437351721,8401.61220593707,8407.61539545383
"Cml Pop Growth","Juvenile Combined",9802.83628784828,7.9174587313618,9783.39212235405,9797.88995331049,9802.426217156,9807.6946758346,9819.8727737057
"Cml Pop Growth","Adult Female",-6921.40448622423,0.72547948850923,-6923.36315361317,-6921.89719863757,-6921.44309810842,-6920.85849322191,-6919.67160595825
"Cml Pop Growth","Adult Male",2683.97388545902,0.740011523547796,2681.97223472201,2683.47143786697,2683.94407895633,2684.53091175868,2685.74234001533
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",31647.3272526863,23.7543488767007,31583.8902862031,31629.8726908936,31647.7604235777,31662.9853970589,31701.2333067753
"Total Number Increase","Neonatal Female",419.559627329107,7.87510870609988,397.088243708185,414.077041102982,418.960184347956,426.134641576073,436.274219868526
"Total Number Increase","Neonatal Male",12927.4312115241,8.11845700741178,12904.4474188351,12921.8507309389,12926.9053925769,12933.7982603227,12944.850924351
"Total Number Increase","Neonatal Combined",13346.9908388532,15.9893520232606,13301.5356625433,13335.6409923645,13345.9770972198,13359.941070969,13381.1251442195
"Total Number Increase","Juvenile Female",5581.62849506441,4.23026611866552,5571.1298491037,5578.87226580984,5581.41072392515,5584.26547158516,5590.6892014136
"Total Number Increase","Juvenile Male",8399.23645005965,3.88597967081477,8389.71355012196,8396.81520506609,8399.03437351721,8401.61220593707,8407.61539545383
"Total Number Increase","Juvenile Combined",13980.8649451241,8.11539138499591,13960.8433992257,13975.7711284819,13980.4450974424,13985.8776775222,13998.2507866627
"Total Number Increase","Adult Female",1021.64727032404,0.74830772688401,1019.62280371287,1021.13907132246,1021.61989190644,1022.21080274166,1023.43610236938
"Total Number Increase","Adult Male",3297.82419838497,0.769705196010245,3295.73697892119,3297.30744427088,3297.80912784006,3298.40572491003,3299.66531209313
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",13043.2121912695,1.5678673444344,13039.1710453881,13042.0945832618,13043.1019301232,13044.3183691209,13046.7119345986
"Total Mortality","Neonatal Female",3211.52266960203,0.705551973616631,3209.72676084708,3211.03832255011,3211.4741796095,3212.00431719849,3213.07685028013
"Total Mortality","Neonatal Male",1685.10111542897,0.653836837765173,1683.44983454605,1684.65029644515,1685.06245998455,1685.53132716005,1686.52796916567
"Total Mortality","Neonatal Combined",4896.623785031,1.35930989285338,4893.17659539313,4895.68861899525,4896.53663959405,4897.53564435854,4899.6048194458
"Total Mortality","Juvenile Female",2004.45898676446,0.102049624059259,2004.18198164198,2004.39097081065,2004.45809856462,2004.53628892851,2004.70323431785
"Total Mortality","Juvenile Male",425.968958958059,0.0994202544846206,425.69935977732,425.902211551656,425.967012346008,426.044072800879,426.206769478695
"Total Mortality","Juvenile Combined",2430.42794572251,0.201469355225323,2429.8813414193,2430.29318236231,2430.42511091062,2430.58036172939,2430.91000379654
"Total Mortality","Adult Female",5716.16046051599,0.0168591879898573,5716.1131085757,5716.15004420954,5716.1604499908,5716.1717624074,5716.20072581435
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",228324759.423,18109.97365068,228277609.814894,228311347.021075,228323448.469992,228337876.154522,228365625.548212
"Value of Total Mortality","Neonatal Female",35699285.9952961,7842.91573872231,35679322.6735762,35693901.993467,35698746.9805392,35704639.9899784,35716562.2677139
"Value of Total Mortality","Neonatal Male",16144953.786925,6264.41074262814,16129132.8647857,16140634.490241,16144583.429112,16149075.6455204,16158624.4725763
"Value of Total Mortality","Neonatal Combined",51844239.7822211,14106.5165705496,51808455.5383618,51834536.4837079,51843330.4096512,51853715.6354989,51875186.7402902
"Value of Total Mortality","Juvenile Female",33951526.3178163,1728.51653231606,33946834.4050518,33950374.2635908,33951511.2734875,33952835.6618711,33955663.3828757
"Value of Total Mortality","Juvenile Male",8793703.18873017,2052.43173358047,8788137.58324299,8792325.25527238,8793663.00287099,8795253.83890135,8798612.54911819
"Value of Total Mortality","Juvenile Combined",42745229.5065465,3780.93851529252,42734971.9882948,42742699.5188632,42745174.2763585,42748089.5007724,42754275.9319939
"Value of Total Mortality","Adult Female",133735290.134232,394.437562210738,133734182.288237,133735046.434326,133735289.887985,133735554.553283,133736232.181153
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",29118106.8628852,9072811.42995407,6252804.27928261,22542139.9945047,30234055.8889122,36304484.5526194,50624274.0341399
"Population Liveweight (kg)","Neonatal Female",1661693.4902617,973525.194253266,22503.1828556413,822178.191067613,1722286.11471561,2499255.1124512,3310808.58332204
"Population Liveweight (kg)","Neonatal Male",1055391.81358379,646732.872846018,15582.9852363866,514993.930411786,1021182.27820621,1560509.34962323,2293756.21048573
"Population Liveweight (kg)","Juvenile Female",6378215.83704748,3594311.54338222,65887.5770393475,3714431.62210068,6439953.98362113,9711665.51732304,12190684.1063358
"Population Liveweight (kg)","Juvenile Male",2280392.47702618,1280147.95276525,23600.504104728,1141440.69225024,2335223.78672443,3390064.42212097,4354026.32382084
"Population Liveweight (kg)","Juvenile Combined",8658608.31407366,3802341.63587059,619417.516309017,5684433.15475138,8984400.86086554,11494411.2374775,15936710.7476654
"Population Liveweight (kg)","Adult Female",16133052.0574588,8848263.83749342,405905.698133254,9176228.46428782,16671018.793693,23296043.9549973,31776903.3917857
"Population Liveweight (kg)","Adult Male",1609361.18750723,882835.028802022,38202.9559615416,972840.541006696,1711012.22473197,2300515.03333342,2985392.39123538
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3276847.59533401,1386159.3036672,569402.813746492,2136438.02584167,3305297.39108089,4350222.65028819,5938006.19332305
"Offtake Liveweight (kg)","Juvenile Female",923845.550309281,459244.504073633,8356.35065754514,550451.353852905,1000568.09412335,1299368.36190194,1566734.27473376
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2181320.9552428,1258613.54380132,15886.1301613971,1072318.71393209,2096964.1628067,3272539.36388452,4368680.74673415
"Offtake Liveweight (kg)","Adult Male",171681.089781929,104885.439751675,1841.55290942799,86707.4544813378,161747.919255678,273151.270454669,337043.390783456
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10202102.67349,1421818.05202053,7616450.75776425,9090626.24058056,10069636.8793027,11175440.6149627,13861800.0793481
"Manure","Overall",69375279.6312101,2801603.73092453,62604119.7655578,67402982.4667727,69322194.5181998,71301465.0943328,75296940.2233565
"Manure","Neonatal Female",5419957.14522107,128005.420833101,5099809.39537164,5328960.09991371,5419520.0833536,5509345.63222284,5704383.29213481
"Manure","Neonatal Male",3004201.00412859,79899.3848100146,2822498.6320427,2958245.45122152,3007206.06738604,3056468.53122255,3213504.16714603
"Manure","Neonatal Combined",8424158.14934966,151480.327871549,8060809.92030524,8334211.17235669,8409102.95362317,8525871.3082468,8800470.09754238
"Manure","Juvenile Female",13369648.7136581,432567.73061721,12387497.2881604,13040025.6033638,13381165.3409143,13637137.7945277,14888854.7123954
"Manure","Juvenile Male",3144926.85444832,113307.768069299,2848278.84462666,3066330.70697313,3154367.51835111,3228750.56319862,3380103.21273969
"Manure","Juvenile Combined",16514575.5681065,458214.739553459,15605901.1891801,16197900.4034483,16512040.3650029,16829832.7881297,18131332.3267585
"Manure","Adult Female",41739858.0961722,2646803.79160232,35720491.8285296,40088966.2414012,41711511.0761699,43208971.1483622,47365672.8684718
"Manure","Adult Male",2696687.81758179,160613.628791721,2324085.54820848,2583091.97503098,2697518.58547982,2803315.84369835,3070634.44044914
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",4073.29420311925,0.108987794578542,4072.9972249975,4073.22335872404,4073.29543161263,4073.37706054164,4073.55536480545
"Hides","Juvenile Female",1002.22949338223,0.0510248120296295,1002.09099082099,1002.19548540533,1002.22904928231,1002.26814446425,1002.35161715892
"Hides","Juvenile Male",212.98447947903,0.0497101272423103,212.84967988866,212.951105775828,212.983506173004,213.02203640044,213.103384739348
"Hides","Juvenile Combined",1215.21397286126,0.100734677612661,1214.94067070965,1215.14659118115,1215.21255545531,1215.29018086469,1215.45500189827
"Hides","Adult Female",2858.08023025799,0.00842959399492865,2858.05655428785,2858.07502210477,2858.0802249954,2858.0858812037,2858.10036290718
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",187032931.536961,9784957.72741083,158195214.434608,181102052.106162,186409006.25932,192898372.35775,222609364.484084
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",270995619.745933,29274104.3379957,199356162.148408,250131691.511898,273850544.199884,287615881.507765,339066468.257705
"Cml Dry Matter","Neonatal Female",16677797.8404659,2087481.11366324,12414355.7349858,15204768.1449263,16597683.9777659,17987111.7050716,22101224.4644918
"Cml Dry Matter","Neonatal Male",9257577.7696418,1209411.54909185,6260795.99737427,8306226.15080659,9117030.62108261,10181151.3656653,11515353.8971652
"Cml Dry Matter","Neonatal Combined",25935375.6101077,2496623.49452381,19201689.0244927,24185182.9275447,25824839.5836791,27691199.5840603,32678803.6331041
"Cml Dry Matter","Juvenile Female",58472845.6036159,8537797.47668941,32062105.7410466,52626913.8124133,59380189.4616156,64289388.9449589,76107524.3343342
"Cml Dry Matter","Juvenile Male",13827426.034428,2317783.71789639,8210754.06870042,11925546.3209865,14069330.6548066,15700181.2140546,18845567.9234744
"Cml Dry Matter","Juvenile Combined",72300271.6380439,8514414.16069262,48538340.3796947,66757312.6580455,72708839.7193104,78386645.8726584,90464425.2853501
"Cml Dry Matter","Adult Female",162308234.418221,27842741.4208733,90116963.8585186,142983361.009449,163531701.114647,178527330.49042,230269745.075056
"Cml Dry Matter","Adult Male",10451738.0795604,1845571.57895015,7168419.85826819,9066734.69312843,10328467.5039527,11603247.3115062,14852883.6696562
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",280128287.685715,5291.42156952652,280113689.241941,280124805.615172,280128294.290145,280132165.345152,280141004.485783
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",70767449.3969373,3602.86324353714,70757669.7276514,70765048.0928444,70767418.0390309,70770178.5507983,70776072.5598402
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",70767449.3969373,3602.86324353714,70757669.7276514,70765048.0928444,70767418.0390309,70770178.5507983,70776072.5598402
"Value of Offtake","Adult Female",185835638.896203,548.101823422695,185834099.4576,185835300.256136,185835638.554024,185836006.327143,185836947.944033
"Value of Offtake","Adult Male",23525199.3925743,1166.68404477916,23521920.0566892,23524481.7327813,23525200.7269013,23525985.2811365,23527983.9819094
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",215516253.337077,312820.7183232,214726901.448217,215294817.766454,215511291.895174,215697621.506042,216226195.809404
