"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",27656.2754539002,3.05062513731082,27649.6972790296,27653.933878922,27656.285871322,27658.5472235126,27662.7112780559
"Num Offtake","Neonatal Female",1862.49621766936,0.39926911368821,1861.6401060174,1862.19479167234,1862.49676801466,1862.79202511592,1863.33125055242
"Num Offtake","Neonatal Male",5960.106538952,2.28185076561475,5955.2861406262,5958.37009223456,5960.09627320324,5961.85198700013,5964.75579836162
"Num Offtake","Neonatal Combined",7822.60275662137,2.68096365559042,7816.92624664361,7820.56099897075,7822.58839590286,7824.64549986741,7828.08704891405
"Num Offtake","Juvenile Female",6871.45611107368,0.329521817004353,6870.68867649334,6871.20757840769,6871.44696087225,6871.68452376075,6872.26457526602
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",6871.45611107368,0.329521817004353,6870.68867649334,6871.20757840769,6871.44696087225,6871.68452376075,6872.26457526602
"Num Offtake","Adult Female",12322.1500163679,0.0310450567974006,12322.0781646582,12322.125720385,12322.1486107994,12322.173301548,12322.2266085518
"Num Offtake","Adult Male",640.066569837229,0.0269692323926681,640.004191234473,640.045449478407,640.065270153329,640.086763342086,640.133045323964
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",4858.1685050422,19.4046380104728,4811.42676451607,4842.88173001342,4859.51039530824,4873.53862591903,4902.80376781669
"Cml Pop Growth","Neonatal Female",-2052.42252974232,6.69377010878271,-2069.00369226788,-2057.53970039177,-2051.89609708589,-2047.048364284,-2035.29655505565
"Cml Pop Growth","Neonatal Male",6815.23079390446,5.78470846083848,6801.17630266615,6811.08361520343,6815.47951628241,6819.40157952831,6830.56428432142
"Cml Pop Growth","Neonatal Combined",4762.80826416214,12.4472791286936,4732.17261039827,4753.48596215057,4763.8662876858,4772.44426312643,4795.26772926577
"Cml Pop Growth","Juvenile Female",1961.34339610456,3.89409243689342,1953.26858891274,1958.44622891417,1961.27782508636,1964.31260152553,1969.13531245714
"Cml Pop Growth","Juvenile Male",8288.60858648464,3.68270858974311,8281.02994170583,8285.90462954409,8288.52498037862,8291.41793777476,8296.00235834325
"Cml Pop Growth","Juvenile Combined",10249.9519825892,7.57663151466523,10234.2985306186,10244.356872918,10249.802805465,10255.6930434146,10265.1376708004
"Cml Pop Growth","Adult Female",-12418.6049214474,0.594697922222173,-12419.9872401413,-12419.049638325,-12418.6044190343,-12418.2003193799,-12417.1506081688
"Cml Pop Growth","Adult Male",2264.01317973823,0.60688914893798,2262.60181189764,2263.55818742515,2264.00845252351,2264.42893328726,2265.49816031893
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",32514.4439589424,22.1093988085837,32462.2181510255,32497.0570515357,32515.2327470383,32531.4194355689,32563.3373116424
"Total Number Increase","Neonatal Female",-189.92631207296,6.98139142048213,-207.230987733001,-195.24388327137,-189.275786903272,-184.181248118793,-172.244552560247
"Total Number Increase","Neonatal Male",12775.3373328565,7.40766071555833,12757.0651961216,12769.8101490795,12775.9930890018,12781.4333148695,12793.8634237861
"Total Number Increase","Neonatal Combined",12585.4110207835,14.3806453122289,12549.8342083886,12574.5081713777,12586.7911670259,12597.0996225198,12621.6188712258
"Total Number Increase","Juvenile Female",8832.79950717825,4.20707262408957,8823.95726540608,8829.59549623285,8832.77415099858,8836.05191038414,8841.30418949733
"Total Number Increase","Juvenile Male",8288.60858648464,3.68270858974311,8281.02994170583,8285.90462954409,8288.52498037862,8291.41793777476,8296.00235834325
"Total Number Increase","Juvenile Combined",17121.4080936629,7.88832980206401,17104.9872071119,17115.4903716942,17121.2978640954,17127.5101384243,17137.1439032704
"Total Number Increase","Adult Female",-96.4549050794684,0.6249642524797,-97.9090754831432,-96.9242782300726,-96.4632588469194,-96.025705683971,-94.9239996169927
"Total Number Increase","Adult Male",2904.07974957546,0.633201419787955,2902.60600313211,2903.60333908505,2904.0672414939,2904.51694161202,2905.63120564289
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",10150.7597591944,1.28050995854318,10148.027238352,10149.7928482877,10150.7509039542,10151.7209856536,10153.4141919764
"Total Mortality","Neonatal Female",3138.02393037626,0.672707961244365,3136.5815119566,3137.51607324188,3138.0248576247,3138.52232110439,3139.43083426408
"Total Mortality","Neonatal Male",1555.78367871235,0.595638040226191,1554.52539633247,1555.33040905278,1555.78099901455,1556.23929801506,1556.99728821083
"Total Mortality","Neonatal Combined",4693.80760908862,1.26820075897688,4691.10690828907,4692.84087830859,4693.79802998725,4694.76412575508,4696.42812247491
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",5456.95215010579,0.0137485251530235,5456.9203300629,5456.94139045624,5456.95152763972,5456.96246211414,5456.98606950153
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",177459089.939681,13471.6980691313,177430255.951322,177448985.501296,177459079.525656,177469133.393627,177487150.254085
"Value of Total Mortality","Neonatal Female",34882274.0100625,7477.82169719245,34866240.0869095,34876628.6701567,34882284.3173562,34887814.1213964,34897913.1536796
"Value of Total Mortality","Neonatal Male",14905963.4257431,5706.80806340699,14893907.8222614,14901620.6491346,14905937.7515584,14910328.7142823,14917591.0183479
"Value of Total Mortality","Neonatal Combined",49788237.4358056,13183.1416934746,49760147.9091709,49778204.6383134,49788135.0678509,49798170.6994404,49815504.1720275
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",127670852.503875,321.660494479791,127670108.042152,127670600.771114,127670837.940659,127671093.763622,127671646.082058
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",27198333.7063423,8993250.87273903,9064518.22749002,20381309.8597996,27107136.9571164,34551232.2324232,47506290.6215073
"Population Liveweight (kg)","Neonatal Female",1702562.47562296,889579.501395782,42416.8936780934,997364.297116403,1654281.67511787,2503352.19352424,3118844.04869691
"Population Liveweight (kg)","Neonatal Male",993361.085655863,544116.59458411,13452.5323014648,588491.315769121,1043048.97696422,1416508.70829458,1952575.27390401
"Population Liveweight (kg)","Juvenile Female",6171877.72696031,3750115.03194637,33507.2842348164,2982109.55391858,6148428.25370086,9389678.6794073,12530884.3087577
"Population Liveweight (kg)","Juvenile Male",2125793.16698726,1294077.38075691,23371.2261135474,1186735.85748566,2022472.64695319,3249863.88189592,4382512.62862501
"Population Liveweight (kg)","Juvenile Combined",8297670.89394757,3950188.38434529,2015271.1543775,4953699.21579903,7963794.78910794,11912522.63898,16671192.2113462
"Population Liveweight (kg)","Adult Female",14714882.0718097,8221784.75025378,314945.18685344,7965228.59251225,13621033.7125965,22399900.2715768,28659589.7445024
"Population Liveweight (kg)","Adult Male",1489857.17930619,821100.059156502,65502.135498806,789635.499384196,1654751.80862278,2193679.85840216,2765280.12552426
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",4590808.76939902,2083439.79891577,326657.389591496,2849128.26437328,4619546.3572298,5969129.57868858,8904339.62286561
"Offtake Liveweight (kg)","Juvenile Female",1181892.29190233,722388.14288413,48102.7987771718,506780.266744282,1247095.41474368,1777917.49887108,2494410.92027577
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",3235919.67449602,1952238.64637051,110899.735352841,1244538.92138948,3351626.91238539,4891886.70093166,6764869.51831417
"Offtake Liveweight (kg)","Adult Male",172996.803000666,100630.157331908,14081.5221609041,86247.0038028239,175693.781695696,256816.747606527,351395.327390422
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",15785129.0533705,2334897.63055369,10223996.1154404,14322865.6974715,16055600.2081744,17246905.0948265,23579470.8147291
"Manure","Overall",66621924.3480161,2588319.9905697,58705338.3896811,65107725.7117358,66712826.8370505,68377476.1148116,72006234.4993279
"Manure","Neonatal Female",5255892.69913105,139715.887862039,4897671.61336289,5169862.57230477,5258690.45932326,5358390.8633684,5614565.84156779
"Manure","Neonatal Male",2756781.1480435,77000.9024661681,2599471.76372803,2707516.38036149,2758021.72086262,2811626.38019941,2917617.40439092
"Manure","Neonatal Combined",8012673.84717454,140363.009221079,7634161.25705356,7914056.91312272,8017061.99863077,8110790.06284916,8368604.78788659
"Manure","Juvenile Female",13679068.1791494,415421.937206801,12604079.4700034,13461323.0190443,13674268.6063423,13970208.333349,14592691.8445592
"Manure","Juvenile Male",3133584.32561129,120482.044890112,2892735.83988669,3047959.95871271,3120772.1114112,3214390.17812275,3458009.06838116
"Manure","Juvenile Combined",16812652.5047607,412784.295589374,15751253.3126431,16537070.6001406,16816204.4588336,17097841.1186686,17761086.6492477
"Manure","Adult Female",39235037.5816227,2578274.14442987,31126724.6098085,37870726.1105481,39524089.2275375,40865216.0972422,44980832.522495
"Manure","Adult Male",2561560.41445816,154465.559559139,2233319.83464587,2461710.14654814,2561423.30849519,2657879.08295457,2994353.92656813
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",2728.4760750529,0.00687426257651175,2728.46016503145,2728.47069522812,2728.47576381986,2728.48123105707,2728.49303475076
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",2728.4760750529,0.00687426257651175,2728.46016503145,2728.47069522812,2728.47576381986,2728.48123105707,2728.49303475076
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",179407235.789228,9797896.6172028,161299452.305591,171538029.053826,179551848.631659,186873434.164622,204534915.736014
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",264758413.230021,27137822.4945273,187769203.847351,246887616.551868,267331197.933187,286008609.485099,319150762.535781
"Cml Dry Matter","Neonatal Female",16280440.185731,1830085.89742234,12083261.8298728,14804948.6307306,16162232.3196227,17491650.0815829,21614746.3446069
"Cml Dry Matter","Neonatal Male",8335763.70646939,1048306.67699296,6007472.33085173,7704964.66473925,8285926.96175156,8894989.35398566,11990317.770217
"Cml Dry Matter","Neonatal Combined",24616203.8922004,2174185.47660333,18878749.9276525,23111056.6946519,24351800.0755368,26290818.0412562,29257588.1637679
"Cml Dry Matter","Juvenile Female",59281998.2379037,8863135.2472739,40472028.9448748,52334670.7371664,58252922.4957548,66829623.9408433,84612090.5041974
"Cml Dry Matter","Juvenile Male",13423926.5448244,2403691.37530932,7753104.15253904,11810620.0555495,13296058.8145002,15121151.8623226,20173759.5359167
"Cml Dry Matter","Juvenile Combined",72705924.7827281,8875309.45287152,56024687.1122371,65941841.1266244,71089644.1789231,80273711.1240971,98051911.6554666
"Cml Dry Matter","Adult Female",157428683.407767,25847827.4579986,85769812.3888986,141689871.287797,158350558.648979,175663637.164243,221220936.344957
"Cml Dry Matter","Adult Male",10007601.1473259,1562882.83866094,5563483.19134601,9012914.4900466,10032428.2146202,10950637.913502,13449557.1288526
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",429207656.614752,7312.18018582005,429190586.167656,429202194.682004,429207491.457428,429212882.864153,429225689.93853
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",116388723.609366,5581.44053641948,116375724.802444,116384513.963069,116388568.623254,116392592.46346,116402417.375856
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",116388723.609366,5581.44053641948,116375724.802444,116384513.963069,116388568.623254,116392592.46346,116402417.375856
"Value of Offtake","Adult Female",288289021.782944,726.330148832852,288287340.740342,288288453.354129,288288988.898262,288289566.563018,288290813.733679
"Value of Offtake","Adult Male",24529911.222442,1033.56886221654,24527520.6248699,24529101.8058105,24529861.4133562,24530685.1183221,24532458.8289956
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",43033627.8564958,280956.030873411,42391362.2066292,42798449.9540848,43045120.2855387,43244374.4315755,43618248.6002675
"Value of Herd Increase","Neonatal Female",-22814728.8406157,74407.9485292286,-22999045.0432498,-22871611.3095549,-22808877.0152067,-22754989.6173809,-22624356.5059987
"Value of Herd Increase","Neonatal Male",65296726.2363986,55423.2917632933,65162070.1558444,65256992.1172641,65299109.2455018,65336686.5334608,65443636.4080835
"Value of Herd Increase","Neonatal Combined",42481997.395783,129511.880802604,42163025.1125946,42385028.2041506,42493376.5964218,42582586.4745692,42819279.9020849
"Value of Herd Increase","Juvenile Female",33221234.4432191,65958.1376961009,33084463.359004,33172162.2253482,33220123.8013127,33271526.8446394,33353213.922399
"Value of Herd Increase","Juvenile Male",171110035.659389,76025.8361266565,170953582.116575,171054215.172308,171108309.694936,171168031.907422,171262672.685638
"Value of Herd Increase","Juvenile Combined",204331270.102608,141980.810795838,204038045.475579,204226501.560162,204328433.496249,204438898.659742,204615886.608037
"Value of Herd Increase","Adult Female",-290545680.742183,13913.5525883073,-290578021.470346,-290556085.338253,-290545668.987727,-290536214.672213,-290511655.628718
"Value of Herd Increase","Adult Male",86766041.100288,23258.4197438997,86711951.8391651,86748603.9748813,86765859.9345109,86781974.4393009,86822951.4960627
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",472241284.471248,287168.950944969,471588903.275079,471994087.844542,472250596.478259,472456395.316708,472835581.296016
"Value of Herd Increase plus Offtake","Neonatal Female",-22814728.8406157,74407.9485292286,-22999045.0432498,-22871611.3095549,-22808877.0152067,-22754989.6173809,-22624356.5059987
"Value of Herd Increase plus Offtake","Neonatal Male",65296726.2363986,55423.2917632933,65162070.1558444,65256992.1172641,65299109.2455018,65336686.5334608,65443636.4080835
"Value of Herd Increase plus Offtake","Neonatal Combined",42481997.395783,129511.880802604,42163025.1125946,42385028.2041506,42493376.5964218,42582586.4745692,42819279.9020849
"Value of Herd Increase plus Offtake","Juvenile Female",149609958.052585,71259.3961068308,149460188.161448,149555688.515192,149609528.569614,149665047.258087,149754010.361706
"Value of Herd Increase plus Offtake","Juvenile Male",171110035.659389,76025.8361266565,170953582.116575,171054215.172308,171108309.694936,171168031.907422,171262672.685638
"Value of Herd Increase plus Offtake","Juvenile Combined",320719993.711974,147258.045782894,320413770.278023,320609760.762434,320717674.231224,320833474.078454,321013928.173615
"Value of Herd Increase plus Offtake","Adult Female",-2256658.95923924,14621.6636510135,-2290680.73000365,-2267640.4134708,-2256854.40398252,-2246617.41018218,-2220841.89503914
"Value of Herd Increase plus Offtake","Adult Male",111295952.32273,24266.8112119548,111239472.464035,111277694.367095,111295472.963012,111312707.270339,111355410.325058
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",33310962.1740081,1294159.99528485,29352669.1948405,32553862.8558679,33356413.4185252,34188738.0574058,36003117.2496639
"Value of Manure","Neonatal Female",2627946.34956552,69857.9439310195,2448835.80668144,2584931.28615239,2629345.22966163,2679195.4316842,2807282.9207839
"Value of Manure","Neonatal Male",1378390.57402175,38500.4512330841,1299735.88186402,1353758.19018074,1379010.86043131,1405813.19009971,1458808.70219546
"Value of Manure","Neonatal Combined",4006336.92358727,70181.5046105393,3817080.62852678,3957028.45656136,4008530.99931538,4055395.03142458,4184302.39394329
"Value of Manure","Juvenile Female",6839534.0895747,207710.968603401,6302039.73500172,6730661.50952217,6837134.30317114,6985104.1666745,7296345.92227962
"Value of Manure","Juvenile Male",1566792.16280564,60241.022445056,1446367.91994335,1523979.97935635,1560386.0557056,1607195.08906137,1729004.53419058
"Value of Manure","Juvenile Combined",8406326.25238034,206392.147794687,7875626.65632156,8268535.3000703,8408102.22941682,8548920.55933432,8880543.32462383
"Value of Manure","Adult Female",19617518.7908114,1289137.07221493,15563362.3049042,18935363.0552741,19762044.6137688,20432608.0486211,22490416.2612475
"Value of Manure","Adult Male",1280780.20722908,77232.7797795697,1116659.91732293,1230855.07327407,1280711.6542476,1328939.54147729,1497176.96328407
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",230200.684516659,0.57997941236463,230199.342193059,230200.230622502,230200.658258024,230201.11952714,230202.115401134
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",230200.684516659,0.57997941236463,230199.342193059,230200.230622502,230200.658258024,230201.11952714,230202.115401134
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",5561624309.46608,303734795.133287,5000283021.47332,5317678900.66862,5566107307.58142,5793076459.10328,6340582387.81644
"Total Production Value","Overall",6067406756.79585,303763317.638038,5506902319.34004,5824033477.34651,6071840294.85569,6299995529.6214,6845434716.66612
"Total Production Value","Neonatal Female",-20186782.4910501,94372.921510407,-20401749.3541576,-20256603.7697855,-20186725.2473455,-20120002.8927387,-20000596.7226612
"Total Production Value","Neonatal Male",66675116.8104204,71515.4194555127,66494171.8167344,66630899.727247,66681995.3130326,66728261.8732314,66851949.0571605
"Total Production Value","Neonatal Combined",46488334.3193702,142292.269725718,46166109.1308325,46376574.2676185,46484904.4733563,46595747.5279008,46786054.0861121
"Total Production Value","Juvenile Female",156449492.14216,222001.431742911,155914809.812317,156298334.461863,156463410.419312,156598590.743255,156961584.205238
"Total Production Value","Juvenile Male",172676827.822195,98511.8846860197,172464809.63255,172595825.923946,172675120.974219,172744717.991348,172962238.452501
"Total Production Value","Juvenile Combined",329126319.964354,259009.380788057,328595768.809748,328917653.794219,329114762.91735,329291533.067523,329787103.295984
"Total Production Value","Adult Female",5579215369.98217,303756436.418597,5019359089.79386,5335639362.06948,5583381340.24892,5811451099.41045,6357439985.60873
"Total Production Value","Adult Male",112576732.529959,81272.6433706333,112404822.336987,112526213.376129,112565727.923706,112635118.703141,112745277.404415
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",1064955327.5828,36490115.7458454,989037761.851882,1037011273.56106,1059285746.48403,1091824435.45297,1179753339.52008
"Feed Cost","Neonatal Female",65015041.9877776,3358466.56025052,56781119.1994106,62718402.3798257,64804353.6164066,67485269.440891,72657473.869912
"Feed Cost","Neonatal Male",34065753.9230673,1475920.15268697,30242299.7000743,33082809.8190896,34063658.7062764,34967452.31987,37885405.6241821
