"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6568883.99024635,2481.4922445542,6565609.12464839,6567426.17545373,6568485.29711106,6569357.8567368,6574609.10498871
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97366.7099468538,666.118867897984,96480.1479536045,97105.3300983591,97288.7569456684,97524.7480625729,98924.2191887429
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97366.7099468538,666.118867897984,96480.1479536045,97105.3300983591,97288.7569456684,97524.7480625729,98924.2191887429
"Num Offtake","Adult Female",1163535.62026509,347.451465730634,1163081.53012397,1163379.49268331,1163499.06378606,1163610.54650043,1164352.84654843
"Num Offtake","Adult Male",838291.623548774,1440.66511873775,836429.641155091,837626.449948325,838027.73509287,838553.675301453,841512.159011569
"Num Offtake","Oxen",4469690.03648563,57.6584787959604,4469617.80541573,4469659.98050129,4469679.12805747,4469702.67353834,4469819.88023997
"Cml Pop Growth","Overall",2721890.30988472,367276.956574903,2275881.52972884,2421565.07921346,2632984.05159441,2996778.73005939,3381320.59568042
"Cml Pop Growth","Neonatal Female",1236740.86938139,105685.770802443,1090270.51492445,1155914.58036069,1202018.23105643,1327231.47306289,1409520.00141765
"Cml Pop Growth","Neonatal Male",893987.036623113,100458.184063266,726562.988859093,830356.415635399,903488.484029596,963445.003994125,1038235.42045074
"Cml Pop Growth","Neonatal Combined",2130727.9060045,202334.522001211,1816833.50378354,2006003.77018752,2096537.02243589,2295980.60361053,2447755.42186839
"Cml Pop Growth","Juvenile Female",1752507.13529367,71373.1663622611,1657021.132516,1700511.74465999,1742531.05221556,1797851.98051231,1889054.01419322
"Cml Pop Growth","Juvenile Male",1585560.09693327,76104.4298811483,1475622.54239552,1529705.79021144,1566367.12203507,1639818.85366318,1713368.45294689
"Cml Pop Growth","Juvenile Combined",3338067.23222694,145378.843175195,3132643.67491152,3224298.97581565,3308898.17425063,3443780.39553052,3602422.4671401
"Cml Pop Growth","Adult Female",-363188.975443676,17113.3277965056,-385981.367845533,-369891.826603147,-365208.328716262,-359066.844658154,-323197.517696826
"Cml Pop Growth","Adult Male",1589702.75277701,16581.7523961989,1566566.22069228,1581480.98715986,1586653.03432397,1593046.08285999,1625394.45986665
"Cml Pop Growth","Oxen",-3973418.60568005,1058.21641435309,-3974788.52539594,-3973908.14997882,-3973610.26753049,-3973228.36247819,-3971054.23549788
"Total Number Increase","Overall",9290774.30013107,369380.833076333,8844699.32207876,8988658.23803066,9201129.22740114,9565749.0103302,9955929.70066913
"Total Number Increase","Neonatal Female",1236740.86938139,105685.770802443,1090270.51492445,1155914.58036069,1202018.23105643,1327231.47306289,1409520.00141765
"Total Number Increase","Neonatal Male",893987.036623113,100458.184063266,726562.988859093,830356.415635399,903488.484029596,963445.003994125,1038235.42045074
"Total Number Increase","Neonatal Combined",2130727.9060045,202334.522001211,1816833.50378354,2006003.77018752,2096537.02243589,2295980.60361053,2447755.42186839
"Total Number Increase","Juvenile Female",1849873.84524052,71989.8191956589,1753501.28046961,1797683.81425483,1839819.80916123,1895539.23799895,1987978.23338196
"Total Number Increase","Juvenile Male",1585560.09693327,76104.4298811483,1475622.54239552,1529705.79021144,1566367.12203507,1639818.85366318,1713368.45294689
"Total Number Increase","Juvenile Combined",3435433.94217379,145987.473246969,3229123.82286513,3321096.27033757,3406186.9311963,3541178.94729822,3701346.68632885
"Total Number Increase","Adult Female",800346.644821415,17459.0204014374,777100.162278432,793503.35251779,798293.3012632,804526.732307943,841155.328851603
"Total Number Increase","Adult Male",2427994.37632578,18013.2903196364,2402995.86184737,2419107.43710818,2424729.4689754,2431575.40838216,2466906.61887821
"Total Number Increase","Oxen",496271.430805581,1115.77253762701,494829.280019791,495756.232461948,496067.125735304,496474.311060155,498765.644742083
"Total Mortality","Overall",2424553.27351346,59113.4849999993,2347666.69325318,2384356.24988916,2421048.36247312,2451379.31831796,2544998.87543748
"Total Mortality","Neonatal Female",659991.772390848,31933.9747349231,603520.707698734,639023.890126706,655051.019332194,691749.55237137,698259.919677246
"Total Mortality","Neonatal Male",720664.503066762,49698.760211115,636097.383402638,696316.735620764,707003.619686634,759465.716312396,801819.952334158
"Total Mortality","Neonatal Combined",1380656.27545761,57628.8064882813,1301345.64994371,1350208.98910897,1377307.82112673,1414147.09263371,1497686.46463574
"Total Mortality","Juvenile Female",395117.626765636,8113.48742978181,382755.296275919,389937.004263344,393850.250285372,399459.15837244,409759.66298826
