"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556944.69607678,314.632178488121,6556055.9259003,6556731.0451896,6556951.96052568,6557165.85937726,6557896.6176312
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95747.4765388819,109.011426070537,95382.9709487768,95679.2054521195,95752.9105114301,95820.7952937987,96083.4741956458
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95747.4765388819,109.011426070537,95382.9709487768,95679.2054521195,95752.9105114301,95820.7952937987,96083.4741956458
"Num Offtake","Adult Female",1153135.35267332,48.3865576294096,1152983.3648196,1153104.11130655,1153138.38457051,1153169.50529672,1153273.42582356
"Num Offtake","Adult Male",838304.691682619,205.665557729951,837620.041873621,838173.721709863,838318.511905486,838448.082970854,838943.320069239
"Num Offtake","Oxen",4469757.17518196,7.41046454062135,4469732.238825,4469752.59155038,4469757.5839002,4469762.30087529,4469779.16376218
"Cml Pop Growth","Overall",-1460158.78245045,75976.4805775463,-1747755.39929578,-1515861.24780514,-1459430.04074357,-1409126.36025993,-1212375.57464013
"Cml Pop Growth","Neonatal Female",-301490.04458019,29599.7391298501,-390674.335966042,-321892.486015281,-300411.275311856,-281442.173763496,-218980.204497225
"Cml Pop Growth","Neonatal Male",-632956.018837548,29807.1434083957,-760151.838873868,-652194.626200791,-632585.79633781,-612443.780933939,-544025.645651757
"Cml Pop Growth","Neonatal Combined",-934446.063417738,51351.664595268,-1150711.48080597,-968562.856924353,-933615.850486724,-899129.321479663,-789265.004779732
"Cml Pop Growth","Juvenile Female",1349405.5198515,14906.1483280292,1303561.98783042,1340107.50407837,1349754.45227345,1359504.9158282,1395213.66154172
"Cml Pop Growth","Juvenile Male",1243973.06681478,15688.3655990038,1201770.21795004,1233251.1567136,1244106.51251484,1255385.19710673,1301930.35583155
"Cml Pop Growth","Juvenile Combined",2593378.58666628,26119.2609334378,2512769.12809691,2574601.32847381,2594190.8370358,2611056.54480363,2680792.47631707
"Cml Pop Growth","Adult Female",-706850.948080822,2811.35883152484,-716268.206339773,-708612.224535841,-706716.734602858,-704949.609293695,-698164.41883683
"Cml Pop Growth","Adult Male",1561237.56281631,2805.85493824906,1553064.2363436,1559313.67071933,1561386.74504522,1563231.59595216,1570794.68089404
"Cml Pop Growth","Oxen",-3973477.92043448,152.008151493098,-3973983.31802046,-3973575.82514566,-3973467.2652329,-3973371.26351366,-3973005.17970025
