"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7379363.41672735,259.145638160989,7378598.38027376,7379192.72219365,7379367.57472818,7379540.13982537,7380122.1197872
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",96788.1171847847,74.0979684550645,96565.5466784142,96737.2346529272,96787.4972134387,96835.8879138777,97010.1455004447
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",96788.1171847847,74.0979684550645,96565.5466784142,96737.2346529272,96787.4972134387,96835.8879138777,97010.1455004447
"Num Offtake","Adult Female",1163661.74941005,32.6142297819513,1163566.79887189,1163640.69563575,1163662.37846763,1163683.8757121,1163757.09567185
"Num Offtake","Adult Male",970747.103006437,148.484808874656,970314.599820444,970650.834737593,970749.558641391,970846.440641019,971180.40280245
"Num Offtake","Oxen",5148166.44712608,5.27606664964733,5148151.434903,5148162.89337765,5148166.58991216,5148170.096898,5148182.12748556
"Cml Pop Growth","Overall",-565342.159852076,61002.4765511504,-809186.558073819,-606205.865547575,-565700.985330552,-524264.588923056,-398795.357071608
"Cml Pop Growth","Neonatal Female",83230.643457561,20611.3840622507,486.894357448444,69610.5637200554,83481.6738472022,97074.8623033983,138289.102291723
"Cml Pop Growth","Neonatal Male",-223309.768723467,20611.3840622507,-306053.517823579,-236929.848460974,-223058.738333827,-209465.549877631,-168251.309889304
"Cml Pop Growth","Neonatal Combined",-140079.125265906,41222.7681245015,-305566.62346613,-167319.284740918,-139577.064486625,-112390.687574232,-29962.2075975817
"Cml Pop Growth","Juvenile Female",1526789.08873609,10377.0896587293,1493391.39295862,1519680.84991656,1526943.53131038,1533825.19128037,1556195.80192917
"Cml Pop Growth","Juvenile Male",1436427.17147384,10439.4345031399,1402830.60396947,1429265.30699677,1436595.85499311,1443507.62635031,1465998.66347368
