"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6565669.0965871,398.752476306742,6565015.51198746,6565497.51086388,6565546.84051951,6565887.42598523,6566421.17458824
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93026.4720845017,152.51259887899,92847.0681034255,92905.5600015392,93004.8542489989,93128.2496245199,93288.7195776084
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93026.4720845017,152.51259887899,92847.0681034255,92905.5600015392,93004.8542489989,93128.2496245199,93288.7195776084
"Num Offtake","Adult Female",1151716.40942917,70.2438627445397,1151621.27971912,1151662.25854679,1151721.5850109,1151758.88673892,1151837.64593413
"Num Offtake","Adult Male",831670.774908586,263.650362934809,831194.877750235,831547.951567071,831768.404008736,831792.138971744,832029.544022546
"Num Offtake","Oxen",4489255.44016484,11.1274676678111,4489237.12237202,4489248.37539677,4489261.63298537,4489262.46117639,4489265.26505396
"Cml Pop Growth","Overall",-2162058.51045298,86045.6047698228,-2267659.47186784,-2225276.98197567,-2175449.75129163,-2111400.26232676,-2003655.44806056
"Cml Pop Growth","Neonatal Female",-313154.311689415,34667.3366284977,-356773.025743812,-339642.072928816,-314092.530142932,-291887.66345748,-245539.543331177
"Cml Pop Growth","Neonatal Male",-633954.767198059,28371.6671838411,-682463.85802713,-646497.811859759,-631266.193889522,-620415.351174105,-583311.082933174
"Cml Pop Growth","Neonatal Combined",-947109.078887474,50214.7521428122,-1016938.00108251,-981541.03606541,-954704.673373298,-924336.835646478,-863716.942063318
"Cml Pop Growth","Juvenile Female",1040664.91429908,21494.8051670867,1013302.85154433,1024340.56866817,1035683.36348458,1056194.9314744,1073312.48890116
"Cml Pop Growth","Juvenile Male",879977.205482872,15198.709702777,860827.39368956,870696.549354045,878436.824168968,883766.238654441,915968.581962814
"Cml Pop Growth","Juvenile Combined",1920642.11978195,33299.0155804157,1876573.56182053,1895377.39451986,1917049.8718548,1937645.93613744,1989281.07086397
"Cml Pop Growth","Adult Female",-776337.549259598,3925.42927579545,-780967.557601012,-779455.307896652,-776942.493964554,-773705.220898416,-769596.163738266
"Cml Pop Growth","Adult Male",1484739.62995826,3036.93340035774,1479343.7801812,1483811.4168653,1485046.00271124,1485790.87321451,1490721.06134586
"Cml Pop Growth","Oxen",-3843993.63204611,193.785293986434,-3844344.54480718,-3844082.89712325,-3843923.30351121,-3843905.56891352,-3843725.1015882
"Total Number Increase","Overall",4403610.58613412,86310.620400512,4297922.17422588,4340293.33751749,4390050.06266047,4454660.24334151,4562765.72652767
"Total Number Increase","Neonatal Female",-313154.311689415,34667.3366284977,-356773.025743812,-339642.072928816,-314092.530142932,-291887.66345748,-245539.543331177
"Total Number Increase","Neonatal Male",-633954.767198059,28371.6671838411,-682463.85802713,-646497.811859759,-631266.193889522,-620415.351174105,-583311.082933174
"Total Number Increase","Neonatal Combined",-947109.078887474,50214.7521428122,-1016938.00108251,-981541.03606541,-954704.673373298,-924336.835646478,-863716.942063318
"Total Number Increase","Juvenile Female",1133691.38638358,21634.5269343337,1106149.91964776,1117259.30621622,1128626.25217428,1149372.65663181,1166601.20847877
"Total Number Increase","Juvenile Male",879977.205482872,15198.709702777,860827.39368956,870696.549354045,878436.824168968,883766.238654441,915968.581962814
"Total Number Increase","Juvenile Combined",2013668.59186645,33438.0793084725,1969495.61645465,1988256.38680246,2009992.76054451,2030770.378581,2082569.79044158
"Total Number Increase","Adult Female",375378.860169575,3994.16978913397,370672.288856842,372208.553281537,374781.153186721,378052.634770315,382241.482195864
"Total Number Increase","Adult Male",2316410.40486684,3287.31404435434,2310538.65793144,2315359.36843237,2316815.75806501,2317570.84678248,2322750.6053684
"Total Number Increase","Oxen",645261.80811873,204.556316069024,644892.577564836,645166.514146867,645337.554834365,645355.96989187,645540.163465764
"Total Mortality","Overall",2360713.32205226,64882.4862004622,2237685.46700949,2314797.55268106,2380105.18669807,2407131.41349008,2431943.33774447
"Total Mortality","Neonatal Female",575097.060058797,49131.2108356927,492972.159345525,538256.56126575,584124.522587402,607445.096034512,639449.674729008
"Total Mortality","Neonatal Male",602961.686142787,35299.6066514908,533060.955104426,594284.408048071,609673.222973146,621612.415076464,644233.503666595
"Total Mortality","Neonatal Combined",1178058.74620158,65104.6766832473,1063282.07604978,1126297.1334097,1200445.51163331,1230430.70245066,1241706.5537539
"Total Mortality","Juvenile Female",378591.265730557,4158.0342176116,370632.883105363,376031.842574085,378796.275063583,381707.67460466,383873.798564479
"Total Mortality","Juvenile Male",449119.735744096,8981.06712893343,436149.008012825,444281.14149389,447268.984626184,451952.384694506,464797.875843178
