"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1364158.34611445,1299.32337570128,1361264.76553168,1363193.57457609,1364024.92540309,1364918.75898197,1369862.51782927
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",49729.8602555502,316.550367810584,48991.2031745942,49491.3261334487,49694.4537395045,49925.2549606929,51079.7218771258
"Num Offtake","Juvenile Male",26192.7522760724,253.514845523592,25601.2514793345,26001.7004280958,26164.3763180208,26349.233725015,27273.8888934614
"Num Offtake","Juvenile Combined",75922.6125316226,570.065209626952,74592.4546539287,75493.0265615444,75858.8300575253,76274.4886857078,78353.6107705872
"Num Offtake","Adult Female",256135.265325652,71.2546285755476,255980.478318674,256082.527829993,256126.892249647,256175.136947577,256452.075031174
"Num Offtake","Adult Male",1032100.46825717,665.128522443816,1030652.24475357,1031606.7791694,1032024.31912178,1032472.25568973,1035056.83202751
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",3768839.41608183,192592.795646703,3219023.57493888,3634522.59665314,3754490.13772051,3890900.16981873,4563554.91392735
"Cml Pop Growth","Neonatal Female",482051.333460966,65987.6684582217,308789.377350929,435321.74581728,475666.286565662,526753.050536883,733268.59096436
"Cml Pop Growth","Neonatal Male",924240.444842911,65987.6684582217,750978.488732874,877510.857199225,917855.397947608,968942.161918828,1175457.70234631
"Cml Pop Growth","Neonatal Combined",1406291.77830388,131975.336916443,1059767.8660838,1312832.60301651,1393521.68451327,1495695.21245571,1908726.29331067
"Cml Pop Growth","Juvenile Female",1336573.33565679,32453.3780616512,1248852.58774147,1312948.87850586,1332431.77570059,1357814.61046664,1460614.44646993
"Cml Pop Growth","Juvenile Male",1257699.73046352,32506.0969731603,1169846.20456331,1234025.0728948,1253552.28159056,1278980.18142752,1381951.12550572
"Cml Pop Growth","Juvenile Combined",2594273.06612031,64959.4721230839,2418698.79230478,2546973.95140066,2585984.05729115,2636796.32034569,2842565.57197566
"Cml Pop Growth","Adult Female",145556.23301301,6100.57173632198,131264.242246648,140971.205399763,144928.11320906,149305.576509865,171503.29993918
"Cml Pop Growth","Adult Male",-377281.661355363,5689.02208560695,-390707.325696348,-381523.336719215,-377893.878801322,-373704.672132587,-353209.609690974
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",5132997.76219628,193468.680380449,4580344.75594427,4997757.10032584,5119009.19128687,5256899.50005652,5932335.77630103
"Total Number Increase","Neonatal Female",482051.333460966,65987.6684582217,308789.377350929,435321.74581728,475666.286565662,526753.050536883,733268.59096436
"Total Number Increase","Neonatal Male",924240.444842911,65987.6684582217,750978.488732874,877510.857199225,917855.397947608,968942.161918828,1175457.70234631
"Total Number Increase","Neonatal Combined",1406291.77830388,131975.336916443,1059767.8660838,1312832.60301651,1393521.68451327,1495695.21245571,1908726.29331067
"Total Number Increase","Juvenile Female",1386303.19591234,32747.9325380098,1297843.79091607,1362380.47957607,1382201.80311992,1407753.88594856,1511520.01843689
"Total Number Increase","Juvenile Male",1283892.48273959,32742.0000423617,1195447.45604264,1259978.54142965,1279790.51643355,1305339.39426393,1409085.4032322
"Total Number Increase","Juvenile Combined",2670195.67865193,65489.9324732531,2493291.24695871,2622359.02100573,2661992.31955348,2713093.28021249,2920605.42166909
"Total Number Increase","Adult Female",401691.498338662,6170.04273962388,387254.355918396,397052.499326971,401040.263291423,405482.777079327,427955.374970354
"Total Number Increase","Adult Male",654818.806901811,6337.87113808986,640031.286983362,650042.510702394,654109.407950519,658730.843125374,681847.222336535
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
