"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1297116.4415854,33.8540584711745,1296996.67599967,1297092.46273116,1297115.65584779,1297139.51045393,1297219.9120727
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46573.500892043,14.1105501300874,46531.395933804,46563.8283129358,46574.1714920946,46582.8866875223,46618.1607379679
"Num Offtake","Juvenile Male",23802.1696821904,8.10265909584323,23778.1606040822,23796.5851360451,23801.6190774482,23807.5768813574,23829.560750564
"Num Offtake","Juvenile Combined",70375.6705742334,16.4952098367197,70325.4041877558,70364.3499623477,70376.2935526984,70386.6081098108,70431.1568410437
"Num Offtake","Adult Female",245714.88616412,3.14717186086688,245705.486542226,245712.722497179,245714.876011439,245717.011406482,245723.507044375
"Num Offtake","Adult Male",981025.884847044,20.6394404329097,980962.830819629,981011.957229235,981024.505493333,981039.409128091,981092.756336341
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",532149.847321055,5127.2672470942,515983.30507464,528642.885004137,532452.43111976,535422.324973445,548091.749531416
"Cml Pop Growth","Neonatal Female",-397903.551417499,2662.52410556793,-406275.075672624,-399577.571249584,-397823.933180156,-396202.603593618,-388026.177351929
"Cml Pop Growth","Neonatal Male",76098.2500348152,2116.48861498839,69836.3706321332,74644.3571016587,76163.2502501253,77471.0792752834,82108.0157448086
"Cml Pop Growth","Neonatal Combined",-321805.301382684,3412.29072118678,-332848.036986192,-324226.200545562,-321726.473637418,-319570.373477055,-310725.612707646
"Cml Pop Growth","Juvenile Female",936853.999237802,1420.90407643786,932933.361516943,935907.700667965,936918.413220911,937761.116406963,942133.78287756
"Cml Pop Growth","Juvenile Male",876419.333688991,1059.56638467579,873000.076397805,875690.769964857,876388.311721799,877102.837695152,879737.665435798
"Cml Pop Growth","Juvenile Combined",1813273.33292679,1800.64551297302,1808169.38380204,1812001.03540595,1813285.32280464,1814444.26851394,1819497.96931279
"Cml Pop Growth","Adult Female",-343744.738594228,266.289562740252,-344538.055462044,-343928.372155725,-343730.594849433,-343567.847223043,-342895.719548751
"Cml Pop Growth","Adult Male",-615573.445628827,177.86058927673,-616095.861228549,-615695.912767706,-615586.780184289,-615454.834816466,-614971.191182874
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1829266.28890645,5149.05928929547,1813065.05732178,1825750.43658599,1829567.6908699,1832544.23815112,1845308.03189382
"Total Number Increase","Neonatal Female",-397903.551417499,2662.52410556793,-406275.075672624,-399577.571249584,-397823.933180156,-396202.603593618,-388026.177351929
"Total Number Increase","Neonatal Male",76098.2500348152,2116.48861498839,69836.3706321332,74644.3571016587,76163.2502501253,77471.0792752834,82108.0157448086
"Total Number Increase","Neonatal Combined",-321805.301382684,3412.29072118678,-332848.036986192,-324226.200545562,-321726.473637418,-319570.373477055,-310725.612707646
"Total Number Increase","Juvenile Female",983427.500129845,1434.12879309954,979470.196072955,982469.853404494,983490.905664587,984343.735602652,988751.943615528
"Total Number Increase","Juvenile Male",900221.503371181,1067.05603401889,896781.412427893,899485.392356956,900190.298304589,900910.765719175,903567.226186362
"Total Number Increase","Juvenile Combined",1883649.00350103,1815.9138486359,1878505.485134,1882369.07980566,1883659.86929853,1884835.80902477,1889929.12615384
