"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293593.49165119,26.5490445252285,1293502.52736426,1293575.36873841,1293593.45147887,1293611.28296196,1293676.48814193
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45460.0248829851,10.1740943352834,45427.5957009269,45453.1922372924,45459.7264175172,45466.9539531146,45498.9978102922
"Num Offtake","Juvenile Male",23314.4267351478,5.31391605264374,23296.1875939648,23311.0331024473,23314.5440356617,23317.8225639721,23330.6723161282
"Num Offtake","Juvenile Combined",68774.4516181328,11.9428443616359,68734.4450959874,68766.4219079074,68774.3822949604,68782.4340394337,68815.8053570837
"Num Offtake","Adult Female",245397.140203529,3.02825161816114,245387.010648144,245395.178194515,245397.1518441,245399.174684251,245407.074985788
"Num Offtake","Adult Male",979421.899829533,16.9993010924847,979369.105380571,979410.819127662,979422.11267274,979433.068619809,979472.7848395
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663381.787412856,1900.8390140983,656592.927362284,662206.015492719,663371.855457223,664629.136632027,669445.108660953
"Cml Pop Growth","Neonatal Female",-241264.126652584,506.962374867102,-242874.138153809,-241594.196193256,-241260.432613907,-240937.743461423,-239605.928144335
"Cml Pop Growth","Neonatal Male",200924.984729361,506.962374867107,199314.973228136,200594.915188689,200928.678768039,201251.367920523,202583.18323761
"Cml Pop Growth","Neonatal Combined",-40339.1419232222,1013.92474973421,-43559.1649256723,-40999.2810045665,-40331.7538458681,-39686.3755408998,-37022.7449067254
"Cml Pop Growth","Juvenile Female",859561.253540791,852.608348126014,856927.01095947,858979.791184732,859560.596197805,860129.397484932,861923.845216866
"Cml Pop Growth","Juvenile Male",834312.52541565,597.122489144916,831827.238781552,833907.945006085,834303.353066635,834701.458377586,836189.935120087
"Cml Pop Growth","Juvenile Combined",1693873.77895644,1094.92967433319,1690216.58155993,1693139.31789123,1693826.00841668,1694596.22897344,1696966.76447996
"Cml Pop Growth","Adult Female",-364365.216081762,188.82746942159,-364972.098046676,-364493.969845502,-364368.839474566,-364238.406710064,-363637.317215768
"Cml Pop Growth","Adult Male",-625787.633538601,113.288868192375,-626189.168953653,-625858.799594942,-625784.73835926,-625714.596908565,-625444.28828171
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1956975.27906405,1916.17012307766,1950095.81571332,1955781.88917969,1956950.8007377,1958240.09326114,1963096.14208368
"Total Number Increase","Neonatal Female",-241264.126652584,506.962374867102,-242874.138153809,-241594.196193256,-241260.432613907,-240937.743461423,-239605.928144335
"Total Number Increase","Neonatal Male",200924.984729361,506.962374867107,199314.973228136,200594.915188689,200928.678768039,201251.367920523,202583.18323761
"Total Number Increase","Neonatal Combined",-40339.1419232222,1013.92474973421,-43559.1649256723,-40999.2810045665,-40331.7538458681,-39686.3755408998,-37022.7449067254
"Total Number Increase","Juvenile Female",905021.278423777,860.037722168788,902371.001928379,904437.691045604,905022.548641778,905583.157767226,907402.339458362
"Total Number Increase","Juvenile Male",857626.952150798,601.064233403259,855123.426375517,857219.182660576,857618.183766619,858015.183798974,859519.350188522
"Total Number Increase","Juvenile Combined",1762648.23057457,1103.89640354016,1758951.02665591,1761911.01689183,1762601.46009179,1763374.56440205,1765764.51493543
"Total Number Increase","Adult Female",-118968.075878233,191.638071628493,-119582.993134914,-119098.724675635,-118971.9178535,-118839.637482595,-118230.24222998
"Total Number Increase","Adult Male",353634.266290931,129.10420110268,353188.613179629,353551.753245724,353637.242538892,353716.768246962,354028.49655779
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1002632.85908491,1147.99552024303,999339.868577856,1001864.36331328,1002644.26762512,1003405.54231082,1005917.67601262
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",190870.887471743,964.479322305896,187838.17850634,190224.258298902,190866.242127492,191498.9709933,193686.76719322
"Total Mortality","Juvenile Male",122415.931643784,644.42288830189,120145.15859062,122001.288751462,122433.461164976,122826.418421242,124734.816227044
"Total Mortality","Juvenile Combined",313286.819115527,1152.21026004617,309977.057279267,312515.663748177,313302.471756646,314065.691397586,316594.109739822
"Total Mortality","Adult Female",460119.637881617,5.67797178405293,460100.644965269,460115.959114715,460119.659707688,460123.452532971,460138.265598353
"Total Mortality","Adult Male",229226.402087763,3.9785598301533,229214.045940134,229223.808732006,229226.451902131,229229.016059955,229238.311345415
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",25610315001.2852,20567867.0632366,25550879874.2937,25596683097.9341,25610387739.8678,25624203231.5222,25671137375.7973
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",3326014753.396,16806504.6368566,3273168377.00357,3314746936.71984,3325933806.09325,3336959403.3986,3375082778.4965
"Value of Total Mortality","Juvenile Male",2338075176.00777,12308113.3130141,2294704692.81447,2330155730.87976,2338409979.96503,2345915241.6885,2382364562.26123
