"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291696.87568926,40.3066693165739,1291582.28603892,1291670.19365816,1291697.46432716,1291723.25537214,1291848.89665211
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44839.8058052149,16.3630552419459,44794.3035286248,44828.387367109,44839.9194925954,44850.6790021557,44892.3138028099
"Num Offtake","Juvenile Male",22953.1176423883,9.32731841851623,22925.0705153282,22946.7615067575,22953.195625463,22959.3159403933,22985.9349189131
"Num Offtake","Juvenile Combined",67792.9234476032,18.7980575398625,67735.544982272,67780.1149118959,67793.2964259118,67805.9317068357,67864.2514838146
"Num Offtake","Adult Female",245277.800728079,4.12559400124295,245266.579772364,245274.8499703,245277.873760396,245280.359984877,245292.456570583
"Num Offtake","Adult Male",978626.151513581,25.8858911504681,978549.457260956,978608.597346678,978625.432159577,978644.215036227,978715.864867089
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225330.30063622,5149.13715674002,210134.668561738,221742.82486307,225229.487434867,228942.178568871,241897.737234969
"Cml Pop Growth","Neonatal Female",-400473.085638747,2627.49459403036,-408350.984613359,-402199.720484609,-400418.052636737,-398648.104033862,-391818.899632992
"Cml Pop Growth","Neonatal Male",73696.0516210668,2183.94696563338,66951.5537125901,72238.2867355701,73722.4907521192,75207.0135556277,79150.4988042274
"Cml Pop Growth","Neonatal Combined",-326777.03401768,3442.92966627367,-338581.039975761,-329098.002419827,-326832.293623269,-324383.753202978,-316343.012551956
"Cml Pop Growth","Juvenile Female",784491.294742294,1556.09896343505,780028.321798169,783460.044156387,784472.352135163,785506.690212202,789318.72023236
"Cml Pop Growth","Juvenile Male",777604.661345162,1167.20060996718,773871.40585934,776809.00814072,777636.995341234,778414.474893456,781324.666316486
"Cml Pop Growth","Juvenile Combined",1562095.95608746,1943.4041942385,1555723.43353188,1560779.37386509,1562051.18383164,1563431.68102151,1568147.12132603
"Cml Pop Growth","Adult Female",-376150.247859481,307.069784270573,-377007.312129783,-376362.558541039,-376147.418115566,-375946.33198458,-375164.108280237
"Cml Pop Growth","Adult Male",-633838.373574075,202.792999359411,-634450.018881571,-633972.561436288,-633837.500735009,-633701.263165822,-633128.65175677
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517027.17632548,5172.26630132859,1501800.45546523,1513447.50893638,1516940.21039653,1520639.03308803,1533639.73850025
"Total Number Increase","Neonatal Female",-400473.085638747,2627.49459403036,-408350.984613359,-402199.720484609,-400418.052636737,-398648.104033862,-391818.899632992
"Total Number Increase","Neonatal Male",73696.0516210668,2183.94696563338,66951.5537125901,72238.2867355701,73722.4907521192,75207.0135556277,79150.4988042274
"Total Number Increase","Neonatal Combined",-326777.03401768,3442.92966627367,-338581.039975761,-329098.002419827,-326832.293623269,-324383.753202978,-316343.012551956
"Total Number Increase","Juvenile Female",829331.100547509,1570.14157928188,824828.960591033,828290.777170775,829319.161818689,830357.182961089,834203.149398257
"Total Number Increase","Juvenile Male",800557.77898755,1175.35404512508,796797.951494553,799753.629794648,800588.602085773,801372.458681413,804310.601235399
"Total Number Increase","Juvenile Combined",1629888.87953506,1959.38263126593,1623473.81875623,1628576.70646173,1629841.82059403,1631242.44142851,1635998.14995895
"Total Number Increase","Adult Female",-130872.447131402,310.94765826213,-131739.720101512,-131086.899044505,-130871.093425415,-130665.223990785,-129873.971780086
"Total Number Increase","Adult Male",344787.777939506,227.38660716888,344103.580134712,344633.234328013,344789.5824508,344939.102354215,345587.213110319
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1441130.58471037,4965.26126227446,1423577.91749615,1437593.98912976,1441052.83784435,1444613.02399451,1457984.11225563
"Total Mortality","Neonatal Female",248961.160840756,3922.39104178365,234815.742857409,246248.193371831,248864.569112152,251709.390864244,261195.391825922
"Total Mortality","Neonatal Male",194360.585748308,3121.19438055787,183420.889806135,192239.083294118,194360.119558098,196463.344707947,203562.673054312
"Total Mortality","Neonatal Combined",443321.746589064,4948.9591148441,426270.725543276,439714.981386616,443281.445273805,446757.340825825,458849.924019418
"Total Mortality","Juvenile Female",188349.932099384,910.892319450764,185419.271923673,187694.656244763,188356.882000921,188939.514752911,191450.205907051
"Total Mortality","Juvenile Male",120522.86653657,598.97795965088,118731.7563864,120099.362646368,120529.979472632,120919.696854408,122435.323740119
"Total Mortality","Juvenile Combined",308872.798635954,1089.34919426779,305445.972141002,308095.085628171,308864.284155592,309646.925634063,312346.367527552
"Total Mortality","Adult Female",459895.876365148,7.73548875232633,459874.837073182,459890.343694313,459896.013300742,459900.674971645,459923.356069843
"Total Mortality","Adult Male",229040.1631202,6.05840005649249,229022.2134015,229036.054698159,229039.994760752,229044.39075316,229061.15986251
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",26229672741.09,54951535.4495792,26035234971.0034,26190681891.0086,26229056530.1793,26267942621.5493,26421045734.4128
"Value of Total Mortality","Neonatal Female",2758607979.43879,43461956.8361697,2601870025.65685,2728547010.56132,2757537697.18122,2789059674.17915,2894169073.00055
"Value of Total Mortality","Neonatal Male",1996397120.15473,32059707.2127474,1884028774.53447,1974605863.59085,1996392331.62834,2017995850.75764,2090917418.73476
"Value of Total Mortality","Neonatal Combined",4755005099.59352,53334004.8028251,4568421909.62937,4715898262.99433,4753986204.34439,4792395179.13014,4920176236.28945
"Value of Total Mortality","Juvenile Female",2836534334.12765,13717962.6773208,2792398835.28563,2826665934.18059,2836638999.06756,2845413399.92233,2883224200.17975
"Value of Total Mortality","Juvenile Male",2488631179.62497,12368069.8039408,2451647222.19062,2479886407.64822,2488778051.95693,2496825179.07398,2528120786.56199
"Value of Total Mortality","Juvenile Combined",5325165513.75262,18454982.8577309,5267382409.76705,5312257788.58872,5325199874.05835,5338094745.35966,5388165333.05448
