"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1354893.4674955,10.1060044417826,1354877.32356456,1354888.43920256,1354895.28392042,1354900.50682822,1354908.8491074
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47282.8429057088,2.45457401112974,47278.8334327299,47281.6353487404,47283.2964842497,47284.5545508946,47286.5850732342
"Num Offtake","Juvenile Male",24233.2840410942,1.96580366073934,24230.0730562854,24232.3169081269,24233.6472845617,24234.6550029459,24236.2810722887
"Num Offtake","Juvenile Combined",71516.126946803,4.42037764613384,71508.9064890153,71513.9522568673,71516.9437688114,71519.2095538404,71522.8661455229
"Num Offtake","Adult Female",255667.483954501,0.554174778903891,255666.625261396,255667.207712687,255667.580957432,255667.865786851,255668.317247732
"Num Offtake","Adult Male",1027709.8565942,5.18067718952873,1027701.79181415,1027707.27923301,1027710.75919418,1027713.39574092,1027717.66571415
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1728553.2726557,1437.72734930538,1726258.50403043,1727576.42650815,1728998.22995086,1729626.51863079,1730295.45147149
"Cml Pop Growth","Neonatal Female",-184614.906884981,483.262872908601,-185379.42060772,-185011.704758334,-184475.483030037,-184272.143869532,-183959.156857603
"Cml Pop Growth","Neonatal Male",257574.204496964,483.262872908638,256809.690774225,257177.406623611,257713.628351909,257916.967512413,258229.954524342
"Cml Pop Growth","Neonatal Combined",72959.2976119829,966.525745817239,71430.2701665054,72165.7018652773,73238.1453218722,73644.8236428811,74270.7976667392
"Cml Pop Growth","Juvenile Female",1029310.01570285,231.78062628944,1028954.0168468,1029215.64104243,1029272.54520477,1029496.2216496,1029606.6244015
"Cml Pop Growth","Juvenile Male",949995.220272342,232.197386649885,949638.508088768,949900.660811664,949957.815037029,950181.653197594,950292.207023629
"Cml Pop Growth","Juvenile Combined",1979305.23597519,463.977995914348,1978592.52493557,1979116.3018541,1979230.3602418,1979677.8748472,1979898.83142513
"Cml Pop Growth","Adult Female",98166.4946353666,47.2949004851362,98089.1515844129,98143.259186455,98174.8750152513,98199.5283498734,98238.5757731274
"Cml Pop Growth","Adult Male",-421877.755566843,44.0771034244886,-421949.965407017,-421899.356529833,-421870.967583789,-421846.686209692,-421810.638906932
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3083446.7401512,1445.64558566622,3081137.16422368,3082468.48872228,3083892.95315366,3084531.91855436,3085190.96694024
"Total Number Increase","Neonatal Female",-184614.906884981,483.262872908601,-185379.42060772,-185011.704758334,-184475.483030037,-184272.143869532,-183959.156857603
"Total Number Increase","Neonatal Male",257574.204496964,483.262872908638,256809.690774225,257177.406623611,257713.628351909,257916.967512413,258229.954524342
"Total Number Increase","Neonatal Combined",72959.2976119829,966.525745817239,71430.2701665054,72165.7018652773,73238.1453218722,73644.8236428811,74270.7976667392
"Total Number Increase","Juvenile Female",1076592.85860856,234.11681645474,1076232.85027953,1076497.44460793,1076555.85340261,1076780.26766006,1076891.54296037
"Total Number Increase","Juvenile Male",974228.504313436,234.068404357413,973868.581145053,974133.112493368,974191.472380891,974415.900247198,974527.15301333
"Total Number Increase","Juvenile Combined",2050821.362922,468.185220124179,2050101.43142459,2050630.5571013,2050747.3257835,2051196.16790726,2051418.6959737
"Total Number Increase","Adult Female",353833.978589867,47.8365621407979,353755.776845809,353810.466899143,353842.638159618,353867.338733868,353906.893020859
"Total Number Increase","Adult Male",605832.101027355,49.1450915182592,605751.826407135,605807.922703173,605841.182114041,605866.375073646,605907.026807219
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
