"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1301756.22625992,31.1619077768466,1301711.41477554,1301736.21055861,1301753.68114265,1301769.25649776,1301809.15483406
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44923.2518956332,10.7816871149883,44902.0856659489,44920.8498036181,44922.2527663685,44925.7479416205,44945.4124661189
"Num Offtake","Juvenile Male",23012.3870246241,7.25478222676785,23003.0483591227,23004.8996345094,23015.9663735096,23017.5864251617,23021.6913211796
"Num Offtake","Juvenile Combined",67935.6389202573,12.709076217116,67920.337210986,67928.0763107051,67935.5886669509,67941.8085506087,67963.0517932038
"Num Offtake","Adult Female",255102.1266944,2.74521189774582,255096.323512124,255101.849083323,255102.467893652,255102.959677551,255106.955701491
"Num Offtake","Adult Male",978718.460645267,21.2035232187363,978688.96641701,978703.808814417,978720.260153345,978732.283382866,978753.813553519
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",788000.108251418,5326.3636806869,780570.297462448,785217.840411294,787366.660426202,790313.386577062,798887.984516755
"Cml Pop Growth","Neonatal Female",-348679.857078391,2412.97779283938,-351883.85106175,-350097.88475665,-349144.709405062,-347635.495622463,-343746.314499633
"Cml Pop Growth","Neonatal Male",124862.089924224,2272.16050154867,121858.361921545,123262.953533318,124425.922830955,126132.427908032,128827.38810124
"Cml Pop Growth","Neonatal Combined",-223817.767154168,4045.87763435509,-230025.489140205,-226600.289120877,-223838.487972141,-222141.09560047,-215823.016346062
"Cml Pop Growth","Juvenile Female",799599.526571146,1155.21988698774,797713.679245299,798924.056277646,799680.801580413,800059.546583869,801885.235648986
"Cml Pop Growth","Juvenile Male",791840.172193864,776.60826684695,790385.855279387,791523.994730575,791962.896836815,792450.24666061,792731.091667564
"Cml Pop Growth","Juvenile Combined",1591439.69876501,1317.78478971359,1589331.35575449,1590539.25920324,1591281.9980567,1592304.58137566,1593799.84077606
"Cml Pop Growth","Adult Female",52848.7290553032,207.396628006485,52444.6409361986,52806.9164076876,52826.1471739579,52897.3506564174,53275.9332007673
"Cml Pop Growth","Adult Male",-632470.552414727,157.654858378466,-632685.108371979,-632626.442373712,-632386.625226813,-632354.769854998,-632281.571994
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2089756.33451134,5344.76700659486,2082303.05619991,2086996.45063638,2089103.38966994,2092067.23448991,2100697.13935082
"Total Number Increase","Neonatal Female",-348679.857078391,2412.97779283938,-351883.85106175,-350097.88475665,-349144.709405062,-347635.495622463,-343746.314499633
"Total Number Increase","Neonatal Male",124862.089924224,2272.16050154867,121858.361921545,123262.953533318,124425.922830955,126132.427908032,128827.38810124
"Total Number Increase","Neonatal Combined",-223817.767154168,4045.87763435509,-230025.489140205,-226600.289120877,-223838.487972141,-222141.09560047,-215823.016346062
"Total Number Increase","Juvenile Female",844522.77846678,1165.23638130566,842615.764911248,843845.933187362,844605.91719763,844980.656274856,846830.648115105
"Total Number Increase","Juvenile Male",814852.559218488,781.214021889175,813389.236924529,814541.749997554,814973.991739301,815467.483655085,815749.343212601
"Total Number Increase","Juvenile Combined",1659375.33768527,1328.13184173262,1657252.04000594,1658465.29623064,1659213.16543057,1660243.46639635,1661762.89256927
"Total Number Increase","Adult Female",307950.855749703,209.874060588568,307540.964448323,307907.163904293,307929.058013535,307999.869324035,308382.888902258
"Total Number Increase","Adult Male",346247.908230539,176.818809469281,346021.344497489,346066.658697202,346336.970791213,346373.829451299,346472.241559518
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",986672.016244765,6866.77533366725,972546.223043028,984046.495835535,988569.437803283,990631.95488817,995242.700549099
"Total Mortality","Neonatal Female",250623.186629586,4251.25907897768,241255.063271854,248774.386065786,251581.614081086,253381.366503799,255619.972381427
"Total Mortality","Neonatal Male",197786.308879339,3580.54221541541,191475.96857571,196892.778740054,198763.285885708,199799.782611562,202310.93726927
"Total Mortality","Neonatal Combined",448409.495508926,7047.4944287898,433288.177887718,445907.740540155,450086.020014232,452160.656705933,456677.617854554
"Total Mortality","Juvenile Female",188540.120528895,948.175475003965,187468.328006391,187775.743832417,188324.49806389,189401.906249925,189934.399750664
"Total Mortality","Juvenile Male",120660.632821882,564.379945238758,119901.299540128,120193.718515976,120676.998492598,121003.465898813,121554.721006264
"Total Mortality","Juvenile Combined",309200.753350777,949.049340101973,307675.367876895,308489.342540588,309202.009389242,310024.97741789,310537.164287832
"Total Mortality","Adult Female",0,0,0,0,0,0,0
