"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293602.06428773,32.5079543539006,1293530.69303858,1293592.31872693,1293611.08138341,1293624.8014745,1293637.37356144
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45464.0322876436,8.91006707012431,45451.184803946,45459.66865354,45463.9902864082,45466.1011094695,45482.6686212548
"Num Offtake","Juvenile Male",23314.9119043852,6.72154818392757,23302.201732333,23310.8135929719,23314.5077503335,23320.0549500852,23325.3169749797
"Num Offtake","Juvenile Combined",68778.9441920288,12.924650982025,68753.386536279,68770.4822465119,68780.9494902264,68790.238398974,68793.2634706737
"Num Offtake","Adult Female",245398.348603643,2.30267772448697,245395.072139865,245397.263750987,245398.157329102,245398.643421891,245403.745186797
"Num Offtake","Adult Male",979424.771492062,19.8192775928309,979382.234362436,979419.765561781,979428.68999087,979437.315679808,979447.351317157
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",664366.08285733,1558.02688431753,662248.697705135,663437.247881166,664045.569626774,665481.33917132,667249.509578152
"Cml Pop Growth","Neonatal Female",-241108.803443739,312.286974062297,-241642.655428594,-241325.736338435,-241060.016097238,-240851.702568903,-240739.258029122
"Cml Pop Growth","Neonatal Male",201080.307938206,312.286974062173,200546.455953351,200863.37504351,201129.095284707,201337.408813042,201449.853352823
"Cml Pop Growth","Neonatal Combined",-40028.4955055323,624.57394812447,-41096.1994752428,-40462.3612949253,-39930.9208125317,-39514.2937558603,-39289.4046762998
"Cml Pop Growth","Juvenile Female",859946.572463912,902.220009053925,858292.428006741,859444.306746799,859984.31526198,860339.059950897,861300.690908151
"Cml Pop Growth","Juvenile Male",834518.39332178,815.755979447795,833537.36094378,833826.738005962,834442.884408425,835008.881287895,836070.895200294
