"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291699.40913065,41.5719526781707,1291548.05330092,1291670.04745712,1291699.91015067,1291727.40351734,1291852.53674524
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44841.7949521577,17.0056820920119,44791.0004178461,44829.9899783854,44841.3255060986,44853.432144907,44895.3184601257
"Num Offtake","Juvenile Male",22953.428254004,9.55483094166483,22925.2880533758,22946.6794551192,22953.3448571992,22959.9539365964,22983.6045856998
"Num Offtake","Juvenile Combined",67795.2232061616,19.3155114924568,67723.7551376382,67781.5206894571,67795.4090368212,67808.4296759995,67854.8294867521
"Num Offtake","Adult Female",245278.306156488,4.25837054670068,245266.344765697,245275.451033557,245278.15953198,245281.21364924,245291.403556277
"Num Offtake","Adult Male",978625.879768,26.8438011476132,978545.287968277,978607.821115532,978625.97749087,978644.280399624,978714.552203275
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",226137.948687967,5216.66323215579,211283.015054684,222431.80061222,226148.422229629,229890.237792225,243651.91368364
"Cml Pop Growth","Neonatal Female",-400171.251270337,2682.16902468145,-410102.935474033,-402002.779675124,-400195.402088401,-398313.516208989,-391837.333536335
"Cml Pop Growth","Neonatal Male",73895.0325779479,2271.06527814775,67800.6636256331,72266.5386937168,73937.6601805405,75399.9594581363,81173.6075948228
"Cml Pop Growth","Neonatal Combined",-326276.218692389,3526.58414542526,-337146.451602897,-328631.450556059,-326344.695906909,-323802.600809261,-314451.592032885
"Cml Pop Growth","Juvenile Female",784640.644986337,1595.41245956618,779438.457274488,783513.637008087,784600.227994429,785765.678204643,789482.653126854
"Cml Pop Growth","Juvenile Male",777716.883332564,1185.05166938893,774386.010657341,776899.865393947,777714.111249334,778545.406583765,781397.593142164
"Cml Pop Growth","Juvenile Combined",1562357.5283189,1932.15179273064,1554615.65040217,1560982.08004841,1562342.65122507,1563723.47121351,1568480.16730069
"Cml Pop Growth","Adult Female",-376113.088000473,319.17456574245,-377069.81704941,-376328.315229425,-376123.510960396,-375895.21098943,-375107.075989874
"Cml Pop Growth","Adult Male",-633830.272938072,207.261739319821,-634436.45156795,-633977.264715037,-633830.416471065,-633688.400455382,-633185.290204101
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517837.35781862,5240.78206916234,1502831.0683556,1514133.37644616,1517844.37000213,1521629.51556354,1535426.82655497
"Total Number Increase","Neonatal Female",-400171.251270337,2682.16902468145,-410102.935474033,-402002.779675124,-400195.402088401,-398313.516208989,-391837.333536335
