"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505106.361691517,40.8380662514557,505027.364141345,505084.034526351,505115.982458582,505136.080328293,505157.383641866
"Num Offtake","Neonatal Female",35694.8175453992,5.55292652967476,35684.0915529213,35691.7027415482,35696.157807264,35698.8519417944,35701.7750291077
"Num Offtake","Neonatal Male",109998.081151973,30.0380404299907,109939.908255201,109978.889884914,110003.575294414,110019.763664955,110035.894542333
"Num Offtake","Neonatal Combined",145692.898697372,35.5784099805611,145623.999808122,145670.592626462,145699.733101678,145718.615606749,145737.66957144
"Num Offtake","Juvenile Female",114000.225490464,4.81780494382181,113991.832322519,113999.18960399,114000.795562812,114004.050275179,114005.507107214
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114000.225490464,4.81780494382181,113991.832322519,113999.18960399,114000.795562812,114004.050275179,114005.507107214
"Num Offtake","Adult Female",237036.793895,0.667592746704089,237035.631774706,237036.590364265,237036.977112398,237037.313467678,237037.4700873
"Num Offtake","Adult Male",8376.44360868141,0.3811629876889,8375.78024014815,8376.32726615714,8376.54824299505,8376.74022089734,8376.82964454328
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71417.8982555835,185.061201011917,71160.6948663483,71263.7644353567,71420.8416444283,71537.3973385547,71691.6352962705
"Cml Pop Growth","Neonatal Female",-14695.5254128787,77.1976108944393,-14785.4240919219,-14759.1787566977,-14702.0171307956,-14645.4979010489,-14589.516422989
"Cml Pop Growth","Neonatal Male",92442.6800926173,70.9557396599893,92356.1334691703,92376.8133434184,92442.872202324,92500.211891989,92533.7448286456
"Cml Pop Growth","Neonatal Combined",77747.1546797387,147.365632821179,77570.7093772483,77625.7147872846,77737.1076693354,77854.7139909401,77943.851362942
"Cml Pop Growth","Juvenile Female",-13117.711092255,37.719691506559,-13190.3634250994,-13145.0858935598,-13112.5152945281,-13090.8004721475,-13070.1029515034
"Cml Pop Growth","Juvenile Male",107108.517898561,34.5919488449242,107042.058934902,107085.174236359,107111.894599234,107134.042087397,107151.994050703
"Cml Pop Growth","Juvenile Combined",93990.8068063059,72.2963610842517,93851.6955098023,93939.8870954804,93999.379304706,94043.2416152495,94081.8910991992
"Cml Pop Growth","Adult Female",-137264.61017422,8.28496869465823,-137279.118239333,-137266.469424395,-137263.44290526,-137258.036239812,-137255.381229149
"Cml Pop Growth","Adult Male",36944.5469437587,8.24189864944006,36930.1110483194,36942.6965976382,36945.6989087522,36951.0844544697,36953.7192399719
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576524.259947101,211.634564781067,576188.059007693,576380.846423142,576528.77148598,576665.785171782,576833.782279456
"Total Number Increase","Neonatal Female",20999.2921325205,78.7303595058807,20911.2904042826,20929.0950717476,20998.069191425,21044.4033374423,21110.1364737422
"Total Number Increase","Neonatal Male",202440.76124459,79.6858898327909,202353.404913546,202364.916948625,202438.42929937,202489.833259086,202557.107367469
"Total Number Increase","Neonatal Combined",223440.05337711,158.1360925327,223272.28474883,223287.643829864,223437.740403852,223532.737342372,223667.243841211
"Total Number Increase","Juvenile Female",100882.514398209,41.9202630055998,100801.46889742,100854.821654945,100890.069915769,100912.6769901,100935.40415571
"Total Number Increase","Juvenile Male",107108.517898561,34.5919488449242,107042.058934902,107085.174236359,107111.894599234,107134.042087397,107151.994050703
"Total Number Increase","Juvenile Combined",207991.03229677,76.4174334368501,207843.527832322,207937.063113065,208001.964515003,208045.618986198,208087.398206413
"Total Number Increase","Adult Female",99772.1837207805,8.93601177308127,99756.5900991946,99770.2361448062,99773.3037972663,99779.2772278663,99782.0297069456
"Total Number Increase","Adult Male",45320.9905524401,8.61347661741582,45305.934720495,45319.0895811918,45322.1157169543,45327.8246753671,45330.5152670892
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",65838.5549470127,6.938826957763,65825.1359738215,65834.6940233881,65840.1837663867,65843.6001509232,65847.2371975278
"Total Mortality","Neonatal Female",22714.8838925268,3.53368051888366,22708.0582609499,22712.9017446216,22715.7367864407,22717.4512356873,22719.3113821595
"Total Mortality","Neonatal Male",10844.8812403353,2.96149694380221,10839.1458843156,10842.9891435831,10845.4229163507,10847.0189528829,10848.6093210751
