"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505090.233246576,40.1419867246234,505050.81702953,505063.273211972,505077.938982211,505110.650210847,505182.009965284
"Num Offtake","Neonatal Female",35692.6204707015,5.49169269854264,35687.2249625932,35689.0012631392,35690.9469643031,35695.4226847582,35705.2139244084
"Num Offtake","Neonatal Male",109987.122499411,31.0865123580658,109955.623919222,109967.154983109,109978.045755753,110001.842843181,110058.417347474
"Num Offtake","Neonatal Combined",145679.742970112,36.5665898072451,145642.848881816,145656.312251324,145668.992720056,145697.434676426,145763.631271882
"Num Offtake","Juvenile Female",113997.76084317,3.70724959874732,113993.527082914,113995.559796218,113996.466354052,113999.935099643,114004.784538539
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113997.76084317,3.70724959874732,113993.527082914,113995.559796218,113996.466354052,113999.935099643,114004.784538539
"Num Offtake","Adult Female",237036.470478759,0.492134301899247,237035.723707963,237036.227128561,237036.330131637,237036.869407188,237037.294441654
"Num Offtake","Adult Male",8376.25895453514,0.280967341429477,8375.83236265586,8376.12005864553,8376.17881962782,8376.48681594525,8376.72912745508
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71411.6299424723,284.504785467153,71082.7117489632,71250.1931089663,71341.4174350405,71482.9791107082,71929.5154258492
"Cml Pop Growth","Neonatal Female",-14684.5849784473,111.708592837254,-14814.2743780379,-14742.9825349649,-14722.133748792,-14659.31172736,-14482.7826241316
"Cml Pop Growth","Neonatal Male",92457.5257125784,93.8885712327701,92348.9254974656,92412.0368455509,92422.6671573027,92484.7413507084,92638.6452216534
"Cml Pop Growth","Neonatal Combined",77772.9407341311,205.433623631583,77534.6511194277,77669.054310586,77700.5334085107,77825.4296233483,78155.8625975218
"Cml Pop Growth","Juvenile Female",-13130.3853508415,40.8984726125763,-13172.6580454567,-13156.9525003521,-13141.7653660635,-13113.9811702861,-13036.7003520299
"Cml Pop Growth","Juvenile Male",107097.615727916,38.2836509160478,107057.575385958,107072.621402043,107087.225053067,107111.833067926,107184.839160555
"Cml Pop Growth","Juvenile Combined",93967.2303770744,79.1718856518566,93884.9173405018,93915.668901691,93945.459687003,93997.8518976398,94148.1388085252
"Cml Pop Growth","Adult Female",-137268.863472795,6.45665443719769,-137275.88219987,-137272.745787799,-137271.113969776,-137265.28218604,-137256.184137719
"Cml Pop Growth","Adult Male",36940.322304062,6.41367889518851,36933.3062595529,36936.4732948475,36938.0833234077,36943.9015483171,36952.8826262828
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576501.863189048,320.79728881539,576133.528778494,576315.140193972,576434.912040907,576587.625894614,577111.525391134
"Total Number Increase","Neonatal Female",21008.0354922543,116.260762508508,20872.9505845553,20946.1747332506,20970.8965167651,21033.4283300017,21212.7106924812
"Total Number Increase","Neonatal Male",202444.648211989,120.481289497691,202304.549416688,202379.19182866,202410.470046566,202473.979910025,202649.988865337
"Total Number Increase","Neonatal Combined",223452.683704243,236.662176821259,223177.500001243,223325.36656191,223381.366563331,223507.408240027,223859.020806384
"Total Number Increase","Juvenile Female",100867.375492328,43.8466786808253,100822.814332044,100839.148222742,100854.700987989,100887.361664589,100968.084186509
"Total Number Increase","Juvenile Male",107097.615727916,38.2836509160478,107057.575385958,107072.621402043,107087.225053067,107111.833067926,107184.839160555
"Total Number Increase","Juvenile Combined",207964.991220244,82.0565076193104,207880.389718002,207911.769624785,207941.926041055,207999.194732515,208152.923347064
"Total Number Increase","Adult Female",99767.6070059638,6.90238039401742,99759.8415080929,99763.4916623742,99765.1976591088,99771.5872211484,99780.83673258
