"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",509007.879592507,49.9921544798618,508850.498306777,508975.969733187,509009.524879988,509038.69638841,509198.683222325
"Num Offtake","Neonatal Female",35816.4361389875,6.81768637698227,35794.9520409082,35812.0985626511,35816.6653659112,35820.646559413,35842.4981332276
"Num Offtake","Neonatal Male",110707.247245249,37.5046297508753,110588.690556449,110683.339185346,110708.260285521,110730.818031244,110849.219611962
"Num Offtake","Neonatal Combined",146523.683384237,44.3152884097395,146383.642597357,146495.27819483,146524.947144248,146551.505448751,146691.717745189
"Num Offtake","Juvenile Female",114052.94867432,5.09999715309157,114038.153049835,114049.503449744,114053.041068647,114056.352876409,114072.339368219
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114052.94867432,5.09999715309157,114038.153049835,114049.503449744,114053.041068647,114056.352876409,114072.339368219
"Num Offtake","Adult Female",240052.565133811,0.638258555664636,240050.824616075,240052.154278651,240052.566825232,240052.981072246,240054.718930371
"Num Offtake","Adult Male",8378.68240013957,0.362727747647182,8377.69372701859,8378.44877032341,8378.68319672101,8378.91880788609,8379.9071785461
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101019.702103502,268.354350955208,100157.402249663,100846.632239568,101024.89307307,101191.348751862,101869.577065474
"Cml Pop Growth","Neonatal Female",-11272.6802772229,100.578493910606,-11614.3555105661,-11337.0453040585,-11275.1886666951,-11203.3102372479,-10942.1850933501
"Cml Pop Growth","Neonatal Male",95392.2516897923,85.3027481478121,95094.083683467,95337.4179434689,95389.7863305823,95450.0925978458,95672.644491668
"Cml Pop Growth","Neonatal Combined",84119.5714125695,185.289013415542,83481.5329552552,83998.7555337465,84113.6285901493,84246.785830968,84730.4593983179
"Cml Pop Growth","Juvenile Female",-12168.2292509838,47.848879172318,-12319.7214225496,-12198.0719980881,-12167.2703224666,-12138.0459476724,-11988.7283163978
"Cml Pop Growth","Juvenile Male",108007.956290807,44.104263835123,107868.459125357,107980.007223279,108009.06402809,108035.489383856,108171.947577852
"Cml Pop Growth","Juvenile Combined",95839.7270398232,91.9453464640219,95548.737702807,95781.5302661916,95841.3987515885,95897.3093578855,96183.2192614541
