"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505203.57123348,60.0160202985049,505121.665005979,505159.070787873,505205.313237237,505251.84000978,505281.717198244
"Num Offtake","Neonatal Female",35694.8667511211,8.18350911855013,35683.6921644587,35688.8376322542,35695.115748845,35701.4086127498,35705.5683659388
"Num Offtake","Neonatal Male",109999.276779982,44.4855355482983,109938.605038854,109967.858367033,109999.121034238,110034.25234934,110058.750592302
"Num Offtake","Neonatal Combined",145694.143531103,52.6651940306165,145622.297203313,145656.76623174,145694.236783083,145735.66096209,145764.318958241
"Num Offtake","Juvenile Female",113999.386198535,6.3537116542429,113990.872987885,113993.497612381,114000.411636563,114005.122210929,114006.990364984
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.386198535,6.3537116542429,113990.872987885,113993.497612381,114000.411636563,114005.122210929,114006.990364984
"Num Offtake","Adult Female",237036.58079572,0.76688926512928,237035.483242059,237035.945269522,237036.764566864,237037.188576831,237037.519308018
"Num Offtake","Adult Male",8473.46070812221,0.439942201094603,8472.8309868941,8473.09616974213,8473.5661913113,8473.80917150339,8473.9991917468
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72930.8453415571,245.046118988721,72615.642634026,72764.3601795947,72834.6876789274,73128.5075822176,73343.4950982544
"Cml Pop Growth","Neonatal Female",-14670.860376775,79.9123552801841,-14773.2968099152,-14729.7113668826,-14680.5461787071,-14615.4396829618,-14533.4974759892
"Cml Pop Growth","Neonatal Male",92464.8754819794,63.6591427453874,92355.8318394983,92423.630635324,92468.1748626267,92502.9114131859,92567.9341630724
"Cml Pop Growth","Neonatal Combined",77794.0151052044,142.486588752773,77582.5350295831,77693.9192684414,77787.6286839196,77887.4717302241,78034.4366870832
"Cml Pop Growth","Juvenile Female",-13114.7781721818,56.0726970181537,-13191.1531228884,-13153.23159856,-13116.5407604789,-13071.7994592462,-13038.0003061841
"Cml Pop Growth","Juvenile Male",107111.67153021,51.2727798925529,107041.991772617,107077.218303038,107108.957623462,107150.699688356,107182.512581511
"Cml Pop Growth","Juvenile Combined",93996.8933580285,107.340690135502,93850.8386497285,93923.9867044784,93992.4168629828,94078.90022911,94144.5122753266
"Cml Pop Growth","Adult Female",-137265.903702608,11.0787217267402,-137280.797149446,-137276.272095524,-137264.237339622,-137255.988268897,-137252.691798293
"Cml Pop Growth","Adult Male",38405.8405809318,11.0849134935903,38390.9403453518,38395.478985495,38407.5240822581,38415.7704333386,38419.0711684789
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",578134.416575037,299.450633357304,577747.861182202,577954.327089887,577999.63877343,578395.463375987,578625.212296499
"Total Number Increase","Neonatal Female",21024.0063743461,85.8249369886369,20919.2503894914,20959.936075623,21008.3265697737,21085.2732093092,21172.0708899496
"Total Number Increase","Neonatal Male",202464.152261962,94.7695948358179,202346.418275069,202392.663123054,202436.624685655,202534.137360762,202626.684755375
"Total Number Increase","Neonatal Combined",223488.158636308,180.362554408187,223265.66866456,223353.488145875,223444.951255429,223619.410570072,223798.755645324
"Total Number Increase","Juvenile Female",100884.608026353,62.2266740908915,100799.719864997,100840.847132759,100884.2049355,100933.155721974,100968.311192056
"Total Number Increase","Juvenile Male",107111.67153021,51.2727798925529,107041.991772617,107077.218303038,107108.957623462,107150.699688356,107182.512581511
"Total Number Increase","Juvenile Combined",207996.279556563,113.470605128471,207841.711637614,207918.065435798,207993.162558961,208083.855410331,208150.823773567
"Total Number Increase","Adult Female",99770.6770931121,11.8363965003793,99754.8008382266,99759.6731739979,99772.5466739657,99781.3341377922,99784.8275097253
"Total Number Increase","Adult Male",46879.301289054,11.519530611781,46863.8371724603,46868.5751552371,46881.10148682,46889.6565631319,46893.0703602258
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",64278.868640887,10.1346678116331,64265.0338049545,64271.4477209182,64279.1326295758,64286.9752821813,64292.1333481284
"Total Mortality","Neonatal Female",22714.9152052589,5.20768762089645,22707.8041046556,22711.0784932527,22715.0736583559,22719.0782081135,22721.7253237792
"Total Mortality","Neonatal Male",10844.9991191532,4.38589787095999,10839.0173981968,10841.9015291441,10844.983763939,10848.4474147237,10850.8627344523
"Total Mortality","Neonatal Combined",33559.9143244121,9.59225911731509,33546.8215028524,33553.024715776,33560.0574222949,33567.5256228372,33572.5880582316
"Total Mortality","Juvenile Female",4384.59177686672,0.244373525163037,4384.2643456879,4384.36529278387,4384.63121679087,4384.81239272802,4384.88424480707
"Total Mortality","Juvenile Male",937.586025781081,0.230390612235633,937.276743449206,937.371503104742,937.6220297364,937.793131262638,937.861407204515
"Total Mortality","Juvenile Combined",5322.1778026478,0.474761052919842,5321.5410891371,5321.73679588861,5322.25324652727,5322.60552399066,5322.74565201158
"Total Mortality","Adult Female",25396.7765138271,0.0821667069768978,25396.658918792,25396.7084217345,25396.7962035926,25396.8416332319,25396.8770687162
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",356698527.310368,98618223.5955406,179347187.939312,285122698.985832,361143661.239749,438265460.557747,486377968.072822
"Population Liveweight (kg)","Neonatal Female",23625236.1726134,13968222.4619223,3754936.25435204,12753468.8637079,26601180.739136,32697532.793439,45671596.9515886
"Population Liveweight (kg)","Neonatal Male",11554521.9610183,8316813.26574172,372263.850222433,5581910.76275338,11161398.8512326,19218199.5751115,21955435.0801877
"Population Liveweight (kg)","Juvenile Female",87143510.4465724,53321125.7478159,13361466.2953907,46543903.2259494,83175313.8539418,139406937.758375,153882979.16145
"Population Liveweight (kg)","Juvenile Male",26487319.644947,15435507.2151952,2168710.76794516,17749031.578931,23395010.0200599,35505726.9833986,54387264.2786051
