"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505115.535846884,39.7874761437265,505052.36177653,505104.971537214,505117.269247848,505133.949896335,505191.719063659
"Num Offtake","Neonatal Female",35696.0849312311,5.4199571074245,35687.4525163082,35694.6827612845,35696.2841516804,35698.6021492941,35706.45415884
"Num Offtake","Neonatal Male",110006.116763781,30.2317532431936,109956.632366894,109997.494105711,110007.247377674,110020.206433096,110064.750406317
"Num Offtake","Neonatal Combined",145702.201695012,35.6435738665267,145644.084883203,145692.200658005,145703.483947335,145718.80858239,145771.204565157
"Num Offtake","Juvenile Female",114000.211471929,3.85693710301666,113992.732114214,113998.561214664,114001.529919483,114002.048373113,114006.322973788
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114000.211471929,3.85693710301666,113992.732114214,113998.561214664,114001.529919483,114002.048373113,114006.322973788
"Num Offtake","Adult Female",237036.720749338,0.487579485627463,237035.759391354,237036.379433803,237036.849374322,237037.022960656,237037.401033164
"Num Offtake","Adult Male",8376.40193060614,0.278417821357376,8375.85300719413,8376.20701748507,8376.47538221715,8376.57449212096,8376.79049155045
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71521.7579186255,267.385176462129,71037.240428112,71426.1878699073,71520.3412364183,71625.5664892586,72035.1480444048
"Cml Pop Growth","Neonatal Female",-14651.8269886254,106.096044617234,-14838.5433370395,-14692.1458524679,-14641.11880116,-14599.3493182549,-14461.6477453582
"Cml Pop Growth","Neonatal Male",92479.828492004,91.0957224433148,92324.5693483011,92443.8203653585,92492.1764256936,92530.1524396305,92634.2442484875
"Cml Pop Growth","Neonatal Combined",77828.0015033786,196.932594198296,77486.0260112616,77751.6745128906,77851.0576245336,77930.8031213756,78172.5965031293
"Cml Pop Growth","Juvenile Female",-13106.1478864431,38.9908154659,-13171.4749063913,-13118.1068521124,-13104.335311816,-13087.9023455389,-13029.9816287216
"Cml Pop Growth","Juvenile Male",107119.804124671,36.2857532743883,107058.422787425,107108.027162404,107121.652394524,107136.73164618,107191.035340947
"Cml Pop Growth","Juvenile Combined",94013.656238228,75.2674178854474,93886.9478810339,93989.920310292,94017.3170827076,94048.8293006414,94161.0537122254
"Cml Pop Growth","Adult Female",-137264.527124187,6.70480194564877,-137277.464652519,-137267.176467336,-137262.297794965,-137261.31516565,-137253.797361274
"Cml Pop Growth","Adult Male",36944.6273012061,6.66444286584869,36931.7760109227,36941.9713771625,36946.8454260355,36947.8235311738,36955.2951903237
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576637.29376551,301.572827075542,576089.602204642,576518.231687001,576652.024316385,576740.014339471,577226.867108063
"Total Number Increase","Neonatal Female",21044.2579426057,110.122483129987,20848.9091792687,21002.8555320059,21052.9854763838,21096.6200551149,21244.8064134818
