"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1956454.55562715,8742.58571251765,1945863.80407715,1948070.5411063,1956775.56718175,1962692.90059198,1968360.29176259
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",1449067.1701888,0,1449067.1701888,1449067.1701888,1449067.1701888,1449067.1701888,1449067.1701888
"Num Offtake","Adult Male",507387.385438346,8742.58571251765,496796.633888349,499003.370917502,507708.396992946,513625.730403175,519293.121573786
"Cml Pop Growth","Overall",-3106887.5088932,167.248228547756,-3107076.29026385,-3107001.17010015,-3106966.8449856,-3106739.16919426,-3106597.9088681
"Cml Pop Growth","Neonatal Female",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Cml Pop Growth","Neonatal Male",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Cml Pop Growth","Neonatal Combined",-752307.421839294,0,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294
"Cml Pop Growth","Juvenile Female",-403030.151621558,0,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558
"Cml Pop Growth","Juvenile Male",-187786.68457153,0,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153
"Cml Pop Growth","Juvenile Combined",-590816.836193088,0,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088
"Cml Pop Growth","Adult Female",-1526250.8095998,0,-1526250.8095998,-1526250.8095998,-1526250.8095998,-1526250.8095998,-1526250.8095998
"Cml Pop Growth","Adult Male",-237512.441261019,167.248228547752,-237701.22263166,-237626.102467962,-237591.777353411,-237364.101562077,-237222.841235915
"Total Number Increase","Overall",-1150432.95326606,8750.68641610867,-1160734.10479095,-1158908.97798868,-1150214.43284587,-1144218.01966012,-1138606.52846037
"Total Number Increase","Neonatal Female",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Total Number Increase","Neonatal Male",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Total Number Increase","Neonatal Combined",-752307.421839294,0,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294
"Total Number Increase","Juvenile Female",-403030.151621558,0,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558
"Total Number Increase","Juvenile Male",-187786.68457153,0,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153
"Total Number Increase","Juvenile Combined",-590816.836193088,0,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088
"Total Number Increase","Adult Female",-77183.6394110003,0,-77183.6394110003,-77183.6394110003,-77183.6394110003,-77183.6394110003,-77183.6394110003
"Total Number Increase","Adult Male",269874.944177327,8750.68641610867,259573.792652434,261398.919454702,270093.464597511,276089.877783265,281701.368983014
"Total Mortality","Overall",1070964.08287883,8750.68641610865,1059137.65807314,1064749.14927289,1070745.56245865,1079440.10760146,1081265.23440372
"Total Mortality","Neonatal Female",137174.224947825,0,137174.224947825,137174.224947825,137174.224947825,137174.224947825,137174.224947825
"Total Mortality","Neonatal Male",137174.224947825,0,137174.224947825,137174.224947825,137174.224947825,137174.224947825,137174.224947825
"Total Mortality","Neonatal Combined",274348.449895651,0,274348.449895651,274348.449895651,274348.449895651,274348.449895651,274348.449895651
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",639724.406617155,0,639724.406617155,639724.406617155,639724.406617155,639724.406617155,639724.406617155
"Total Mortality","Adult Male",156891.226366024,8750.68641610865,145064.801560337,150676.292760086,156672.705945841,165367.251088649,167192.377890917
"Value of Total Mortality","Overall",108118960.585582,1316103.23698274,106340266.294807,107184234.571249,108086095.114386,109393754.703865,109668253.774926
"Value of Total Mortality","Neonatal Female",4389575.19833041,0,4389575.19833041,4389575.19833041,4389575.19833041,4389575.19833041,4389575.19833041
"Value of Total Mortality","Neonatal Male",4389575.19833041,0,4389575.19833041,4389575.19833041,4389575.19833041,4389575.19833041,4389575.19833041
"Value of Total Mortality","Neonatal Combined",8779150.39666083,0,8779150.39666083,8779150.39666083,8779150.39666083,8779150.39666083,8779150.39666083
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",75743369.7434712,0,75743369.7434712,75743369.7434712,75743369.7434712,75743369.7434712,75743369.7434712
"Value of Total Mortality","Adult Male",23596440.4454501,1316103.23698274,21817746.1546747,22661714.431117,23563574.9742544,24871234.5637328,25145733.6347939
"Population Liveweight (kg)","Overall",44851.9141340962,2030.30350097942,40602.3437922443,44360.5719943145,45274.0662095907,46411.9385875656,46964.2125116838
"Population Liveweight (kg)","Neonatal Female",0.000371041707259976,8.83933995869552e-05,0.000208063634285291,0.000329520575800224,0.000368722330681321,0.000454331168819454,0.000465845185568754
"Population Liveweight (kg)","Neonatal Male",0.000264706133688582,9.38840270876428e-05,0.000105661246378498,0.000200526320031727,0.000258829271802285,0.000319357783205803,0.000434473578213749
"Population Liveweight (kg)","Juvenile Female",7814.36222594452,535.888113153094,6863.22495049824,7393.67044490505,7991.28975439873,8210.60002014452,8455.39110126237
"Population Liveweight (kg)","Juvenile Male",10881.2043622832,1626.66555774772,7913.662030015,10208.1636431273,10968.3031677368,11978.2798180497,13559.0152050353
"Population Liveweight (kg)","Juvenile Combined",18695.5665882277,1910.4978466031,15298.9780026274,17494.457036255,18692.8204982424,20123.9280555984,21770.701305768
"Population Liveweight (kg)","Adult Female",14375.250812037,619.448693433388,13187.3318964054,14011.2726896832,14506.6204393122,14762.2104249701,15203.2504502254
"Population Liveweight (kg)","Adult Male",11781.0960980837,1244.20834260669,10173.4959532583,10971.0572125786,11442.0940063302,12624.6890363464,14192.1664796936
"Offtake Liveweight (kg)","Overall",4506753.16196191,243848.422399938,4140510.33908401,4304535.69823139,4532972.58071901,4713917.44636948,4819233.77065621
"Offtake Liveweight (kg)","Juvenile Female",0,0,0,0,0,0,0
