"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2041350.25001828,13100.5805138537,2004461.10503212,2032503.20512357,2041052.73433784,2050346.3096054,2077702.26631133
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",1477028.90881833,7114.57590055479,1460143.94149046,1471697.59643572,1477130.9961351,1482088.723832,1495071.98551401
"Num Offtake","Adult Male",564321.341199946,10958.1636830911,531171.363094621,556339.395525014,564154.009271082,571956.237354251,602807.249396482
"Cml Pop Growth","Overall",-3105063.83733464,1064.79550375266,-3107783.03551332,-3105782.53586255,-3105113.0710627,-3104357.7491989,-3101494.03611766
"Cml Pop Growth","Neonatal Female",-376061.879797119,0,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119
"Cml Pop Growth","Neonatal Male",-376061.879797119,0,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119
"Cml Pop Growth","Neonatal Combined",-752123.759594238,0,-752123.759594238,-752123.759594238,-752123.759594238,-752123.759594238,-752123.759594238
"Cml Pop Growth","Juvenile Female",-403348.888750211,419.64730015209,-404435.96009553,-403648.138246981,-403356.374329756,-403078.35196014,-401956.314522716
"Cml Pop Growth","Juvenile Male",-187156.289863219,363.095552897812,-188033.846766263,-187415.401507202,-187173.382871902,-186915.678487734,-186089.161290228
"Cml Pop Growth","Juvenile Combined",-590505.17861343,547.397355779506,-592140.844045958,-590890.446436631,-590526.939214351,-590128.896788965,-588760.466204954
"Cml Pop Growth","Adult Female",-1525664.92964957,463.410910407457,-1526789.59630017,-1526008.57368732,-1525684.6703663,-1525342.82164844,-1524257.57066449
"Cml Pop Growth","Adult Male",-236769.969477397,338.105416514212,-237664.048695832,-237032.347753816,-236778.996119004,-236525.687925257,-235752.947126726
"Total Number Increase","Overall",-1063713.58731636,13575.7503534708,-1103068.23334844,-1072931.99071172,-1064211.39417478,-1054669.27516032,-1025855.94051545
"Total Number Increase","Neonatal Female",-376061.879797119,0,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119
"Total Number Increase","Neonatal Male",-376061.879797119,0,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119,-376061.879797119
"Total Number Increase","Neonatal Combined",-752123.759594238,0,-752123.759594238,-752123.759594238,-752123.759594238,-752123.759594238,-752123.759594238
"Total Number Increase","Juvenile Female",-403348.888750211,419.64730015209,-404435.96009553,-403648.138246981,-403356.374329756,-403078.35196014,-401956.314522716
"Total Number Increase","Juvenile Male",-187156.289863219,363.095552897812,-188033.846766263,-187415.401507202,-187173.382871902,-186915.678487734,-186089.161290228
"Total Number Increase","Juvenile Combined",-590505.17861343,547.397355779506,-592140.844045958,-590890.446436631,-590526.939214351,-590128.896788965,-588760.466204954
"Total Number Increase","Adult Female",-48636.0208312402,7399.78444586162,-66617.7159879494,-54177.7657430128,-48527.3233226205,-43398.3149261565,-29341.790084508
"Total Number Increase","Adult Male",327551.371722549,11051.4958593566,294862.028546175,319365.713081801,327350.333865408,335307.135986006,366200.617003394
"Total Mortality","Overall",982711.256073306,13798.7879512715,943964.896534838,973547.902176744,983210.416916919,991983.556881946,1022804.57748562
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",94975.691628939,11137.6450276812,65533.4635771136,87107.186279845,94875.9020968543,103239.329370267,122340.034556263
"Total Mortality","Juvenile Male",68526.954155177,7999.3613886606,47463.0082366256,63312.4566511202,68560.7966496727,74140.3115246147,88865.3063847945
"Total Mortality","Juvenile Combined",163502.645784116,13430.0852900454,123014.995180174,153928.379911256,163701.258733149,172965.288155893,198969.411469024
"Total Mortality","Adult Female",652068.766506578,3140.89501159708,644614.504946598,649715.134652501,652113.835327049,654302.539532289,660034.302383834
"Total Mortality","Adult Male",167139.843782612,9292.32068674147,142530.894979818,160701.776165272,167597.541316722,173914.954940901,190769.367932751
"Value of Total Mortality","Overall",116469403.055031,1578944.88425172,111957799.961657,115398610.756801,116462342.98205,117589995.787432,120789463.66676
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",8205899.75674033,962292.530391654,5662091.25306261,7526060.89457861,8197277.94116821,8919878.05759107,10570178.9856611
"Value of Total Mortality","Juvenile Male",5920728.83900729,691144.823980276,4100803.91164445,5470196.25465679,5923652.83053172,6405722.91572671,7677962.47164625
"Value of Total Mortality","Juvenile Combined",14126628.5957476,1160359.36905992,10628495.5835671,13299412.0243325,14143788.7545441,14944200.8966692,17190957.1509237
"Value of Total Mortality","Adult Female",77204941.9543789,371881.969373095,76322357.3856772,76926271.9428561,77210278.1027227,77469420.680623,78148061.4022459
"Value of Total Mortality","Adult Male",25137832.5049048,1397565.03128592,21436646.6049647,24169547.135257,25206670.214035,26156809.2231115,28691712.9370858
"Population Liveweight (kg)","Overall",48977.2697201744,3499.34980925535,39966.6724550735,46505.0506916211,48807.7796355868,51413.9988961971,60183.735840828
"Population Liveweight (kg)","Neonatal Female",8.49209778835374,2.58945933487685,2.87622997776851,6.67437801848133,8.51523280741533,10.3073048480908,15.8150720705505
"Population Liveweight (kg)","Neonatal Male",8.81478933195515,2.54903979320826,2.58313879881403,6.98113523517728,8.83007111944719,10.5580407760408,15.3807100612543
"Population Liveweight (kg)","Juvenile Female",7378.28139829476,641.515522275662,5612.36105227219,6932.4267213353,7365.37620668257,7783.45223481603,9410.42436271775
"Population Liveweight (kg)","Juvenile Male",11478.4910356857,2127.77140218107,6057.81563292971,9916.96807173041,11470.3781960308,12966.4120906858,18945.9076627367
"Population Liveweight (kg)","Juvenile Combined",18856.7724339805,2205.73522123208,13420.7882679175,17166.1489687692,18954.3808777363,20397.0660457719,26648.2627720322
"Population Liveweight (kg)","Adult Female",15272.0672285485,947.701097218442,12488.0621479731,14601.1223807348,15270.3052474268,15913.8383893673,18199.6545510929
"Population Liveweight (kg)","Adult Male",14831.1231705251,2243.69257341014,9451.68325366122,13256.3043249361,14819.5583857671,16267.5254526537,22924.4461451131
"Offtake Liveweight (kg)","Overall",4710780.51467014,289395.574892697,4019010.87773986,4500741.20981974,4703449.95273837,4924682.40584214,5434599.15651742
"Offtake Liveweight (kg)","Juvenile Female",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2585640.47617776,86684.9329404644,2347410.16421746,2521458.83381251,2586801.08939195,2653073.7325463,2796798.6721812
"Offtake Liveweight (kg)","Adult Male",2125140.03849238,273803.850560463,1469938.25455668,1917639.31286885,2122386.90543595,2336796.09611344,2812688.47790613
"Meat (kg)","Overall",31828078.636192,599218.713368367,30164315.0261747,31394950.0896096,31841182.8611982,32245209.4665396,33550465.7012901
"Eggs Sold","Overall",18298878.2294268,151580.793477048,17935531.3314718,18185421.1499082,18300628.6528965,18406387.1954817,18687805.0914025
"Eggs Consumed","Overall",0,0,0,0,0,0,0
"Value of Offtake","Overall",132846929.42481,57553111.9680904,4996624.60641114,87597692.82359,131276565.246455,179812528.292557,258227705.132752
